outcome,estimator,horizon,horizon_key,partial_horizon,term,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,horizon_cells,horizon_months,effect_percent,formula,fixed_effects,cluster_variables,converged
admissoes,ppml,2022-12_to_2023-11,h1,False,h1_treat,-0.05229624276091285,0.02716441208364188,-0.10572771051611657,0.001135224994290869,0.055041418085286065,340,22049,341,4066,12,-5.095232330930828,admissoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
admissoes,ppml,2023-12_to_2024-11,h2,False,h2_treat,-0.05221369439631504,0.03892810314587456,-0.1287839393773425,0.024356550584712408,0.18072308123127412,340,22049,341,4065,12,-5.087397774206737,admissoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
admissoes,ppml,2024-12_to_2025-11,h3,False,h3_treat,-0.053515216675876734,0.0456777288479528,-0.14336174413082023,0.03633131077906676,0.24218516399493062,340,22049,341,4074,12,-5.21084828639208,admissoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
admissoes,ppml,2025-12_to_cutoff,h4,True,h4_treat,-0.06003786615680395,0.04992522388487343,-0.1582390708050845,0.03816333849147661,0.22998506520076223,340,22049,341,2040,6,-5.827112674408833,admissoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
desligamentos,ppml,2022-12_to_2023-11,h1,False,h1_treat,-0.03819536072799156,0.02383337785697954,-0.08507479830027195,0.008684076844288832,0.10995166871345186,340,22049,341,4066,12,-3.7475117039614627,desligamentos ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
desligamentos,ppml,2023-12_to_2024-11,h2,False,h2_treat,-0.048511819092552665,0.03332057131876182,-0.11405224111683443,0.017028602931729107,0.1463396979585656,340,22049,341,4065,12,-4.735392017289079,desligamentos ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
desligamentos,ppml,2024-12_to_2025-11,h3,False,h3_treat,-0.04518679609523716,0.042195756391983655,-0.12818440304224674,0.03781081085177241,0.2849807987532822,340,22049,341,4074,12,-4.418107808589605,desligamentos ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
desligamentos,ppml,2025-12_to_cutoff,h4,True,h4_treat,-0.030321450550484172,0.047076280461421594,-0.12291888110647602,0.06227598000550767,0.5199501055506832,340,22049,341,2040,6,-2.986636656954784,desligamentos ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
n_movimentacoes,ppml,2022-12_to_2023-11,h1,False,h1_treat,-0.045499886712635856,0.024102820592254773,-0.09290930891250192,0.0019095354872302045,0.059912096820184946,340,22049,341,4066,12,-4.4480289179742245,n_movimentacoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
n_movimentacoes,ppml,2023-12_to_2024-11,h2,False,h2_treat,-0.05046045207204036,0.03452154592327251,-0.11836314999090605,0.017442245846825327,0.1447445935120446,340,22049,341,4065,12,-4.920847023627688,n_movimentacoes ~ h1_treat + h2_treat + h3_treat + h4_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,True
