model_id,outcome,estimator,term,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,formula,controls,fixed_effects,effect_percent,converged,specification_id,specification_label,causal_role,trend_scale,pre_slope_source,may_absorb_gradual_diffusion,baseline_coefficient,baseline_standard_error,baseline_p_value,coefficient_minus_baseline
00_no_trend_control__admissoes,admissoes,ppml,post_treat,-0.05377239815857147,0.038560210688242606,-0.129619011281607,0.022074214964464052,0.1640757055204185,340,22049,341,admissoes ~ post_treat | cbo_4d + periodo,,cbo_4d + periodo,-5.235223166454913,True,00_no_trend_control,"Principal specification, no trend control",principal_reference_only,log1p,none,False,-0.05377239815857147,0.038560210688242606,0.1640757055204185,0.0
01_predetermined_pretrend_control__admissoes,admissoes,ppml,post_treat,-0.06618824644469899,0.02254533551535074,-0.11053414886693945,-0.021842344022458535,0.0035535746710015914,340,22049,341,admissoes ~ post_treat + predetermined_pretrend | cbo_4d + periodo,predetermined_pretrend,cbo_4d + periodo,-6.404534242969229,True,01_predetermined_pretrend_control,Predetermined pre-period CBO slope as a control,robustness,log1p,pre_period_only,True,-0.05377239815857147,0.038560210688242606,0.1640757055204185,-0.012415848286127525
02_differential_linear_trend__admissoes,admissoes,ppml,post_treat,-0.05541446011711544,0.015541726134188614,-0.08598450287166393,-0.02484441736256695,0.00041513896744338474,340,22049,341,admissoes ~ post_treat + treated_trend_time | cbo_4d + periodo,treated_trend_time,cbo_4d + periodo,-5.390705111073568,True,02_differential_linear_trend,Treated-versus-control linear trend on the full sample,robustness,log1p,full_sample_differential_trend,True,-0.05377239815857147,0.038560210688242606,0.1640757055204185,-0.0016420619585439736
00_no_trend_control__desligamentos,desligamentos,ppml,post_treat,-0.042014072599854,0.034701524852274686,-0.11027078290492506,0.026242637705217065,0.22684099515925737,340,22049,341,desligamentos ~ post_treat | cbo_4d + periodo,,cbo_4d + periodo,-4.114371312330363,True,00_no_trend_control,"Principal specification, no trend control",principal_reference_only,log1p,none,False,-0.042014072599854,0.034701524852274686,0.22684099515925737,0.0
01_predetermined_pretrend_control__desligamentos,desligamentos,ppml,post_treat,-0.04569371362877926,0.03172215252592197,-0.10809010065882074,0.016702673401262212,0.15066443197871493,340,22049,341,desligamentos ~ post_treat + predetermined_pretrend | cbo_4d + periodo,predetermined_pretrend,cbo_4d + periodo,-4.466547667086484,True,01_predetermined_pretrend_control,Predetermined pre-period CBO slope as a control,robustness,log1p,pre_period_only,True,-0.042014072599854,0.034701524852274686,0.22684099515925737,-0.0036796410289252623
02_differential_linear_trend__desligamentos,desligamentos,ppml,post_treat,-0.04256747067434322,0.017717602587241546,-0.07741738785365851,-0.007717553495027944,0.016816652614811467,340,22049,341,desligamentos ~ post_treat + treated_trend_time | cbo_4d + periodo,treated_trend_time,cbo_4d + periodo,-4.1674195548658375,True,02_differential_linear_trend,Treated-versus-control linear trend on the full sample,robustness,log1p,full_sample_differential_trend,True,-0.042014072599854,0.034701524852274686,0.22684099515925737,-0.0005533980744892239
00_no_trend_control__n_movimentacoes,n_movimentacoes,ppml,post_treat,-0.04809316111943876,0.03533672322980323,-0.11759928486745756,0.021412962628580043,0.17441613820101187,340,22049,341,n_movimentacoes ~ post_treat | cbo_4d + periodo,,cbo_4d + periodo,-4.695500379708144,True,00_no_trend_control,"Principal specification, no trend control",principal_reference_only,log1p,none,False,-0.04809316111943876,0.03533672322980323,0.17441613820101187,0.0
01_predetermined_pretrend_control__n_movimentacoes,n_movimentacoes,ppml,post_treat,-0.05887179326983476,0.02252662845208065,-0.10318089953963751,-0.014562687000032007,0.009362140122226581,340,22049,341,n_movimentacoes ~ post_treat + predetermined_pretrend | cbo_4d + periodo,predetermined_pretrend,cbo_4d + periodo,-5.717236174257147,True,01_predetermined_pretrend_control,Predetermined pre-period CBO slope as a control,robustness,log1p,pre_period_only,True,-0.04809316111943876,0.03533672322980323,0.17441613820101187,-0.010778632150395998
02_differential_linear_trend__n_movimentacoes,n_movimentacoes,ppml,post_treat,-0.04922787818844661,0.014418106587413413,-0.07758779979633537,-0.020867956580557838,0.0007167438461974651,340,22049,341,n_movimentacoes ~ post_treat + treated_trend_time | cbo_4d + periodo,treated_trend_time,cbo_4d + periodo,-4.803582689162767,True,02_differential_linear_trend,Treated-versus-control linear trend on the full sample,robustness,log1p,full_sample_differential_trend,True,-0.04809316111943876,0.03533672322980323,0.17441613820101187,-0.0011347170690078484
00_no_trend_control__ln_salario_real_adm,ln_salario_real_adm,ols,post_treat,-0.05074045381976594,0.010332362098836718,-0.07106385602038032,-0.030417051619151564,1.4112230075635779e-06,340,22012,341,ln_salario_real_adm ~ post_treat | cbo_4d + periodo,,cbo_4d + periodo,,True,00_no_trend_control,"Principal specification, no trend control",principal_reference_only,level,none,False,-0.05074045381976594,0.010332362098836718,1.4112230075635779e-06,0.0
