model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,step_id,step_label,causal_role,sample,start_period,end_period
01_no_controls__admissoes,admissoes,post_treat,ppml,-0.05377239815857147,0.038560210688242606,-0.129619011281607,0.022074214964464052,0.1640757055204185,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,admissoes ~ post_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-5.235223166454913,01_no_controls,No contemporaneous controls,principal,v_a,202101,202605
01_no_controls__desligamentos,desligamentos,post_treat,ppml,-0.042014072599854,0.034701524852274686,-0.11027078290492506,0.026242637705217065,0.22684099515925737,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,desligamentos ~ post_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-4.114371312330363,01_no_controls,No contemporaneous controls,principal,v_a,202101,202605
01_no_controls__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.04809316111943876,0.03533672322980323,-0.11759928486745756,0.021412962628580043,0.17441613820101187,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,n_movimentacoes ~ post_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-4.695500379708144,01_no_controls,No contemporaneous controls,principal,v_a,202101,202605
01_no_controls__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.05074045381976594,0.010332362098836718,-0.07106385602038032,-0.030417051619151564,1.4112230075635779e-06,340,"{""cbo_4d"": 341}",341,22012,22049,22012,37,37,0,0,True,ln_salario_real_adm ~ post_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,01_no_controls,No contemporaneous controls,principal,v_a,202101,202605
01_no_controls__asinh_saldo,asinh_saldo,post_treat,ols,-0.5512668862460224,0.37831660562305724,-1.295402686143535,0.19286891365149017,0.14599583874579913,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,asinh_saldo ~ post_treat | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,01_no_controls,No contemporaneous controls,principal,v_a,202101,202605
02_pre_treatment_controls_x_post__admissoes,admissoes,post_treat,ppml,-0.06380306308547762,0.0368323772679937,-0.13625185049218916,0.008645724321233922,0.0841377627795794,339,"{""cbo_4d"": 340}",340,22027,22049,22027,22,22,0,0,True,admissoes ~ post_treat + pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post,-6.181025446779971,02_pre_treatment_controls_x_post,Pre-treatment composition interacted with post,robustness,v_a,202101,202605
02_pre_treatment_controls_x_post__desligamentos,desligamentos,post_treat,ppml,-0.026797542035434427,0.03653539562429863,-0.09866217056987962,0.04506708649901077,0.4637799831183289,339,"{""cbo_4d"": 340}",340,22027,22049,22027,22,22,0,0,True,desligamentos ~ post_treat + pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post,-2.644167378990821,02_pre_treatment_controls_x_post,Pre-treatment composition interacted with post,robustness,v_a,202101,202605
02_pre_treatment_controls_x_post__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.0449984046150613,0.033974202735252465,-0.11182520141315182,0.02182839218302922,0.1862334253189235,339,"{""cbo_4d"": 340}",340,22027,22049,22027,22,22,0,0,True,n_movimentacoes ~ post_treat + pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post,-4.400099298169951,02_pre_treatment_controls_x_post,Pre-treatment composition interacted with post,robustness,v_a,202101,202605
02_pre_treatment_controls_x_post__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.0359977297931129,0.013606621724146471,-0.06276177050228668,-0.009233689083939116,0.008534428095331004,339,"{""cbo_4d"": 340}",340,21990,22049,21990,59,59,0,0,True,ln_salario_real_adm ~ post_treat + pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post,,02_pre_treatment_controls_x_post,Pre-treatment composition interacted with post,robustness,v_a,202101,202605
02_pre_treatment_controls_x_post__asinh_saldo,asinh_saldo,post_treat,ols,-0.9027457859488672,0.3938628889045528,-1.6774687558516328,-0.12802281604610166,0.02251630145374417,339,"{""cbo_4d"": 340}",340,22027,22049,22027,22,22,0,0,True,asinh_saldo ~ post_treat + pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,pre_idade_media_adm_x_post + pre_pct_mulher_adm_x_post + pre_pct_superior_adm_x_post + pre_pct_negra_adm_x_post,,02_pre_treatment_controls_x_post,Pre-treatment composition interacted with post,robustness,v_a,202101,202605
