competenciamov,grande_grupo_cbo,linhas_mov,linhas_for,linhas_exc,meses_for_possiveis,fracao_for_sobre_mov_pct
202101,1,63008,9618,516,12,15.264728288471305
202101,2,146391,18458,814,12,12.608698622183057
202101,3,216253,23774,1158,12,10.9936047129982
202101,4,563720,56683,2518,12,10.05516923295253
202101,5,784656,111605,3894,12,14.223430394975633
202101,6,147759,26226,573,12,17.749172639230096
202101,7,759136,74298,3177,12,9.787179108881675
202101,8,97282,8138,333,12,8.365370777738944
202101,9,64886,8647,314,12,13.326449465215918
202102,1,62488,7706,364,12,12.331967737805659
202102,2,177889,19952,988,12,11.215983000635228
202102,3,240785,23299,1109,12,9.67626720933613
202102,4,585658,50160,2556,12,8.564725488254236
202102,5,815374,100109,4190,12,12.277678709402066
202102,6,162852,26334,564,12,16.170510647704663
202102,7,807387,67502,3175,12,8.360550764379411
202102,8,105632,7471,321,12,7.072667373523175
202102,9,74870,7709,285,12,10.296513957526379
202103,1,65986,7678,406,12,11.635801533658654
202103,2,180066,18115,853,12,10.060200148834316
202103,3,260302,24000,1190,12,9.220059776720886
202103,4,577269,46982,4124,12,8.138666722100096
202103,5,803248,92660,3652,12,11.535665199290879
202103,6,190417,26339,670,12,13.83227337895251
202103,7,817721,69035,2873,12,8.442366039272564
202103,8,107500,7760,300,12,7.21860465116279
202103,9,74931,7739,284,12,10.328168581761888
202104,1,61235,6584,341,12,10.752020903078305
202104,2,157775,13808,835,12,8.75170337505942
202104,3,230732,18490,1189,12,8.013626198360003
202104,4,501955,39112,2050,12,7.7919335398591505
202104,5,676274,74874,3160,12,11.071547922883328
202104,6,173041,24202,513,12,13.98628070804029
202104,7,717975,58743,2892,12,8.18176120338452
202104,8,93583,5897,270,12,6.301358152655931
202104,9,66130,6648,320,12,10.052926054740663
202105,1,63005,4823,341,12,7.654948019998413
202105,2,155781,11006,741,12,7.065046443404523
202105,3,230718,14765,867,12,6.3995873750639305
202105,4,538534,30523,1580,12,5.667794419665239
202105,5,757069,59712,2841,12,7.887259945923027
202105,6,174760,27340,759,12,15.644312199588006
202105,7,752590,50048,2516,12,6.650101648972216
202105,8,95572,4738,285,12,4.957518938601264
202105,9,69898,5229,225,12,7.480900741079859
202106,1,65393,3996,290,12,6.11074579847996
202106,2,161900,8842,511,12,5.461395923409512
202106,3,236475,12957,698,12,5.479226133840786
202106,4,559069,28938,1605,12,5.1761052750197205
202106,5,783327,49975,2453,12,6.3798388157180845
202106,6,165281,24071,525,12,14.563682455938673
202106,7,770181,41360,2292,12,5.37016623365157
202106,8,97349,4101,185,12,4.212678096333809
202106,9,70485,4163,210,12,5.906221181811733
202107,1,67300,5362,522,12,7.9673105497771175
202107,2,169913,11438,590,12,6.7316803305220905
202107,3,243679,16353,796,12,6.710877835184813
202107,4,579735,33729,1648,12,5.818003053119098
202107,5,825084,67280,3014,12,8.154321256987167
202107,6,155792,21861,481,12,14.032171099928108
202107,7,796483,53444,3049,12,6.709998832366793
202107,8,103421,5129,201,12,4.9593409462294895
202107,9,73970,5232,252,12,7.0731377585507635
202108,1,69060,4402,270,12,6.374167390674776
202108,2,192247,10589,622,12,5.5080183305851325
202108,3,262112,14049,1108,12,5.35992247588817
202108,4,624560,29111,1593,12,4.6610413731266815
202108,5,916282,61602,3017,12,6.7230394136303016
202108,6,164729,16826,766,12,10.214352057014855
202108,7,852631,47250,2956,12,5.541670429529304
202108,8,108859,4585,222,12,4.211870401161135
202108,9,74998,4695,228,12,6.260166937785008
202109,1,70816,4460,247,12,6.298011748757343
202109,2,174550,9923,745,12,5.684904038957319
202109,3,252968,15008,987,12,5.932766199677429
202109,4,620051,28758,1636,12,4.638005583411687
202109,5,931570,63975,2643,12,6.867438839808066
202109,6,184262,17417,403,12,9.452301614006144
202109,7,847365,48314,2657,12,5.701675193098605
202109,8,106930,4603,196,12,4.304685308145515
202109,9,74429,4750,233,12,6.381921025406763
202110,1,69427,3770,279,12,5.430164057211171
202110,2,162226,8549,478,12,5.269808785274863
202110,3,244475,11324,749,12,4.631966458738113
202110,4,638810,27280,1713,12,4.2704403500258294
202110,5,956073,55812,2539,12,5.837629553391843
202110,6,174361,13900,958,12,7.971966208039642
202110,7,845546,42044,2337,12,4.972408360988048
202110,8,102530,4800,177,12,4.681556617575343
202110,9,74947,3928,196,12,5.241036999479633
202111,1,65625,3993,272,12,6.0845714285714285
202111,2,150102,9585,469,12,6.385657752728145
202111,3,239676,15466,976,12,6.452878052036916
202111,4,643411,38080,1946,12,5.918456476497915
202111,5,978555,62787,2600,12,6.416297499885035
202111,6,166578,11075,801,12,6.648537021695542
202111,7,805402,45259,2174,12,5.619429800273652
202111,8,99585,6447,153,12,6.473866546166591
202111,9,72486,4057,251,12,5.596942857931187
202112,1,61223,2531,312,12,4.1340672623033825
202112,2,183077,11977,1657,12,6.542056074766355
202112,3,249526,11729,994,12,4.700512171076361
202112,4,616410,19877,1959,12,3.2246394445255593
202112,5,995022,37318,2996,12,3.750469838857834
202112,6,151815,5939,435,12,3.9119981556499686
202112,7,719947,23805,1923,12,3.306493394652662
202112,8,90635,4016,139,12,4.430959342417388
202112,9,73976,2267,165,12,3.0645074078079375
202201,1,73965,3921,397,12,5.301155952139525
202201,2,190433,12622,694,12,6.628052910997568
202201,3,268669,13336,931,12,4.963728602853325
202201,4,665055,26388,1941,12,3.967792137492388
202201,5,990600,42798,2870,12,4.320411871592974
202201,6,187170,7311,487,12,3.9060746914569644
202201,7,843992,29520,2349,12,3.497663484961943
202201,8,100703,4672,207,12,4.639385122588205
202201,9,79527,3130,221,12,3.935770241553183
202202,1,74976,3359,292,12,4.48010029876227
202202,2,242678,16897,1128,12,6.962724268372082
202202,3,315418,16279,1204,12,5.16108782631302
202202,4,711211,23019,1866,12,3.236592234934499
202202,5,1048602,38108,3028,12,3.634171973732646
202202,6,192369,5912,350,12,3.0732602446340107
202202,7,914005,25984,2270,12,2.842872850804974
202202,8,111403,4109,198,12,3.6884105454969793
202202,9,87117,2974,184,12,3.4137998324092886
202203,1,79596,3322,318,12,4.1735765616362634
202203,2,213860,12047,1021,12,5.633124473954924
202203,3,300596,13069,1580,12,4.347695910790563
202203,4,721592,23480,1794,12,3.253916340535926
202203,5,1078324,42817,2783,12,3.9706989735923526
202203,6,227355,9995,410,12,4.396208572496756
202203,7,942438,34190,2250,12,3.62782485426097
202203,8,118258,3330,208,12,2.815877149960256
202203,9,87934,3356,247,12,3.816498737689631
202204,1,76702,1880,444,12,2.4510443013219994
202204,2,193910,5559,574,12,2.8667938734464444
202204,3,279515,5831,580,12,2.0861134465055544
202204,4,672250,8966,1694,12,1.3337300111565638
202204,5,1029648,21511,2560,12,2.0891605674949107
202204,6,203374,4038,267,12,1.985504538436575
202204,7,868031,13139,1808,12,1.5136556182901302
202204,8,105959,1131,184,12,1.0673939920157798
202204,9,82759,1446,187,12,1.7472419918075375
202205,1,77894,2254,344,12,2.8936760212596604
202205,2,187821,6446,948,12,3.4319910979070496
202205,3,282560,7349,700,12,2.6008635334088335
202205,4,695813,13814,1564,12,1.9853035226418592
202205,5,1050183,28516,2122,12,2.7153362794865274
202205,6,215892,5322,607,12,2.465121449613696
202205,7,936074,20673,1754,12,2.2084792441623207
202205,8,111402,1671,108,12,1.4999730705014274
202205,9,87263,2388,188,12,2.736555011860697
202206,1,74924,1971,245,12,2.630665741284502
202206,2,184035,5147,550,12,2.7967506180889505
202206,3,267891,5299,628,12,1.978043308659119
202206,4,673537,10883,1535,12,1.6157983896949981
202206,5,1019064,22525,2042,12,2.2103616652143536
202206,6,204793,4240,265,12,2.070383265053005
202206,7,903970,15568,1873,12,1.722181045831167
202206,8,107994,1333,119,12,1.2343278330277607
202206,9,83600,1576,169,12,1.8851674641148326
202207,1,73605,2018,257,12,2.7416615719040824
202207,2,186510,6272,579,12,3.3628223687737924
202207,3,270820,6574,498,12,2.427442581788642
202207,4,681119,11058,1482,12,1.6235048501069564
202207,5,1044858,23744,1795,12,2.272461903914216
202207,6,187408,3410,228,12,1.8195594638435926
202207,7,913522,15791,1656,12,1.7285845332679455
202207,8,111421,1356,127,12,1.2170057709049462
202207,9,84909,1770,209,12,2.084584673002862
202208,1,79235,1762,248,12,2.223764750425948
202208,2,214683,6037,615,12,2.8120531201818495
202208,3,297001,6840,628,12,2.303022548745627
202208,4,725076,9174,1449,12,1.2652466775896596
202208,5,1125954,20014,2346,12,1.777514889595845
202208,6,198726,3188,207,12,1.6042188742288377
202208,7,979534,13249,1686,12,1.3525819420254936
202208,8,117076,1082,160,12,0.9241859988383614
202208,9,87676,1380,139,12,1.5739769150052465
202209,1,73485,1651,252,12,2.2467170170783155
202209,2,177221,4261,643,12,2.4043426004818844
202209,3,269114,4654,810,12,1.72937862764479
202209,4,690912,8651,1391,12,1.2521131489972674
202209,5,1062168,19083,2069,12,1.7966084461215175
202209,6,198042,3472,228,12,1.753163470374971
202209,7,911515,13820,1908,12,1.5161571669144227
202209,8,109160,1110,124,12,1.01685599120557
202209,9,83442,1294,167,12,1.5507777857673595
202210,1,68736,1813,286,12,2.6376280260707636
202210,2,156116,4000,421,12,2.5621973404391607
202210,3,244043,4616,614,12,1.891469945870195
202210,4,672805,10339,1269,12,1.5367008271341622
202210,5,1045567,21632,1785,12,2.0689252816892654
