competenciamov,linhas_liquidas,admissoes_liquidas,desligamentos_liquidos,tipo_mov_admissao_ni,tipo_mov_desligamento_ni,categoria_ni,indicador_aprendiz_ni,unidade_salario_ni,unidade_salario_nao_mensal,raca_cor_ni,grau_instrucao_ni,tipo_empregador_ni,tipo_empregador_codigo_1,tipo_estabelecimento_codigo_menos_1,horas_validas_admissoes,horas_validas_desligamentos,transferencia_70_liquida,transferencia_80_liquida,transferencia_70_linhas,transferencia_80_linhas,exc_mesmo_mes_linhas,tipo_mov_admissao_ni_pct,tipo_mov_desligamento_ni_pct,categoria_ni_pct,indicador_aprendiz_ni_pct,unidade_salario_ni_pct,unidade_salario_nao_mensal_pct,raca_cor_ni_pct,grau_instrucao_ni_pct,tipo_empregador_ni_pct,tipo_empregador_codigo_1_pct,tipo_estabelecimento_codigo_menos_1_pct,horas_validas_admissoes_pct,horas_validas_desligamentos_pct
202101,3167241,1710870.0,1456371.0,64404.0,62.0,206319.0,0.0,212028.0,499937.0,677909.0,10.0,2650.0,0.0,0.0,1710870.0,1447457.0,0.0,0.0,0.0,0.0,6.0,3.764400568132003,0.004257157001890315,6.514155380029496,0.0,6.694406898622492,15.784621378669954,21.403770663489137,0.0003157322098318379,0.08366903560543704,0.0,0.0,100.0,99.38793068524436
202102,3329625,1863737.0,1465888.0,68033.0,90.0,195666.0,0.0,201392.0,531965.0,721843.0,2.0,3011.0,0.0,0.0,1863737.0,1456474.0,0.0,0.0,0.0,0.0,5.0,3.650354100390774,0.006139623218144906,5.876517625858768,0.0,6.048488943950145,15.976724105567444,21.67940834178023,6.006682434208056e-05,0.09043060404700229,0.0,0.0,100.0,99.35779541138204
202103,3363396,1758814.0,1604582.0,68581.0,127.0,182469.0,0.0,188136.0,506888.0,733774.0,4.0,2784.0,0.0,0.0,1758814.0,1595929.0,0.0,0.0,0.0,0.0,0.0,3.8992753071103596,0.007914833894434812,5.4251417317496955,0.0,5.593632150362312,15.070720188761596,21.816461695262763,0.0001189274174078818,0.08277348251588573,0.0,0.0,100.0,99.46073182922406
202104,2915488,1502885.0,1412603.0,68693.0,122.0,138036.0,0.0,161482.0,423236.0,635133.0,0.0,2200.0,0.0,0.0,1502821.0,1405946.0,0.0,0.0,0.0,0.0,0.0,4.570742272362822,0.00863653836215837,4.734576167008748,0.0,5.538764007946526,14.516815023762746,21.784792117134423,0.0,0.07545906551493266,0.0,0.0,99.99574152380255,99.52874232887797
202105,3035956,1651316.0,1384640.0,93226.0,183.0,99943.0,0.0,104547.0,389086.0,680797.0,3.0,2314.0,0.0,0.0,1651257.0,1378979.0,0.0,0.0,0.0,0.0,0.0,5.645557845984657,0.01321643170788075,3.291977881102361,0.0,3.4436269827362453,12.81593013864496,22.42446860231176,9.881566136004606e-05,0.0762198134623822,0.0,0.0,99.99642709208898,99.59115726831523
202106,3079094,1698618.0,1380476.0,1659259.0,232.0,81732.0,0.0,87115.0,369029.0,701382.0,1.0,2039.0,0.0,0.0,1698511.0,1376303.0,0.0,0.0,0.0,0.0,0.0,97.68288102445635,0.01680579742059985,2.6544171759615005,0.0,2.829241328780479,11.984986492780019,22.77884338704827,3.247708579211937e-05,0.0662207779301314,0.0,0.0,99.99370076144254,99.69771296277516
202107,3224652,1765833.0,1458819.0,1727054.0,339.0,85240.0,0.0,89782.0,385865.0,754281.0,3.0,1933.0,0.0,0.0,1765771.0,1452776.0,0.0,0.0,0.0,0.0,0.0,97.80392596581896,0.023237975375971935,2.6433860149870436,0.0,2.7842384232469115,11.966097426947156,23.391082200497912,9.30332947555271e-05,0.0599444529208113,0.0,0.0,99.99648890920037,99.58576081062833
202108,3447805,1917823.0,1529982.0,1880160.0,485.0,79062.0,0.0,84501.0,411824.0,814291.0,2.0,1366.0,0.0,0.0,1917640.0,1525495.0,0.0,0.0,0.0,0.0,0.0,98.03615870703396,0.03169971934310338,2.2931111243240263,0.0,2.450863665433515,11.944527025165286,23.61766399201811,5.800792098161004e-05,0.03961941003043966,0.0,0.0,99.99045793068495,99.70672857589174
202109,3450402,1890272.0,1560130.0,1853634.0,484.0,75769.0,0.0,82782.0,388797.0,823438.0,1.0,1256.0,0.0,0.0,1890110.0,1555680.0,0.0,0.0,0.0,0.0,0.0,98.06176042389667,0.031023055770993443,2.1959470229845683,0.0,2.399198702064281,11.268165274654953,23.864987326114463,2.8982130198162416e-05,0.036401555528891995,0.0,0.0,99.99142980481116,99.71476735913033
202110,3430376,1841630.0,1588746.0,1834334.0,458.0,54133.0,0.0,59821.0,355613.0,831497.0,4.0,1060.0,0.0,0.0,1841513.0,1585209.0,0.0,0.0,0.0,0.0,0.0,99.60382921650928,0.02882776730830479,1.5780485870936598,0.0,1.7438613143282253,10.366589551699288,24.239237914444363,0.00011660529341389981,0.03090040275468345,0.0,0.0,99.99364693233711,99.7773715874029
202111,3408527,1861339.0,1547188.0,1842251.0,452.0,41088.0,0.0,44922.0,347610.0,830893.0,2.0,805.0,0.0,0.0,1861144.0,1543481.0,0.0,0.0,0.0,0.0,0.0,98.97450168937523,0.029214290700289816,1.2054473970721078,0.0,1.3179300031949286,10.19824692601819,24.37689359655945,5.867637252103328e-05,0.023617239939715894,0.0,0.0,99.98952367086275,99.76040403622572
202112,3250510,1479592.0,1770918.0,1469094.0,508.0,41154.0,0.0,47175.0,356271.0,786669.0,0.0,756.0,0.0,0.0,1479518.0,1768816.0,0.0,0.0,0.0,0.0,0.0,99.29048007829185,0.02868568731019731,1.2660782461829068,0.0,1.4513107173951165,10.96046466554479,24.20140224149441,0.0,0.02325788876207118,0.0,0.0,99.99499862124154,99.8813044985708
202201,3533715,1850572.0,1683143.0,1836022.0,655.0,28877.0,0.0,36721.0,351814.0,902332.0,0.0,3860.0,0.0,0.0,1850339.0,1681086.0,0.0,0.0,0.0,0.0,0.0,99.21375661146932,0.038915291214115494,0.8171853134732144,0.0,1.0391613358745682,9.955924572298558,25.534939857911574,0.0,0.1092334837416147,0.0,0.0,99.98740929831425,99.87778816179018
202202,3823900,2088684.0,1735216.0,2059998.0,667.0,45493.0,0.0,58100.0,424656.0,985928.0,1.0,3133.0,0.0,0.0,2087889.0,1732934.0,0.0,0.0,0.0,0.0,0.0,98.6265993324026,0.038439018542936444,1.1897016135359189,0.0,1.519391197468553,11.105311331363268,25.783310233008184,2.6151311488271138e-05,0.08193205889275347,0.0,0.0,99.96193775602245,99.86848899503002
202203,3904948,2002055.0,1902893.0,1984352.0,784.0,31860.0,0.0,37823.0,404450.0,1021754.0,3.0,2830.0,0.0,0.0,2001417.0,1898878.0,0.0,0.0,0.0,0.0,0.0,99.11575855808157,0.041200424826829465,0.8158879452428047,0.0,0.9685916432177842,10.357372236454877,26.165623716372153,7.682560689668595e-05,0.07247215583920708,0.0,0.0,99.96813274360595,99.78900547744934
202204,3567351,1886426.0,1680925.0,1872865.0,724.0,22694.0,0.0,26118.0,343964.0,940060.0,0.0,2602.0,0.0,0.0,1841378.0,1640092.0,0.0,0.0,0.0,0.0,0.0,99.28112738055985,0.043071523119710874,0.6361583146710262,0.0,0.7321398987652182,9.642000464770637,26.35176633866418,0.0,0.07293927623045784,0.0,0.0,97.6119922011253,97.57080179068073
202205,3725000,2001373.0,1723627.0,1988002.0,812.0,23654.0,0.0,7255.0,346525.0,994805.0,1.0,2666.0,0.0,0.0,2001373.0,1721872.0,0.0,0.0,0.0,0.0,0.0,99.3319086447154,0.047109960565714044,0.635006711409396,0.0,0.19476510067114094,9.302684563758389,26.706174496644294,2.6845637583892618e-05,0.07157046979865772,0.0,0.0,100.0,99.89817982660982
