competenciamov,pdet_admissoes,pdet_desligamentos,pdet_saldo,v2_admissoes,v2_desligamentos,v2_saldo,diferenca_admissoes,diferenca_admissoes_abs,diferenca_admissoes_pct,diferenca_desligamentos,diferenca_desligamentos_abs,diferenca_desligamentos_pct,diferenca_saldo,diferenca_saldo_abs,diferenca_saldo_pct
202101,1710870,1456371,254499,1710870,1456371,254499,0,0,0.0,0,0,0.0,0,0,0.0
202102,1863737,1465888,397849,1863737,1465888,397849,0,0,0.0,0,0,0.0,0,0,0.0
202103,1758814,1604582,154232,1758814,1604582,154232,0,0,0.0,0,0,0.0,0,0,0.0
202104,1502885,1412603,90282,1502885,1412603,90282,0,0,0.0,0,0,0.0,0,0,0.0
202105,1651316,1384640,266676,1651316,1384640,266676,0,0,0.0,0,0,0.0,0,0,0.0
202106,1698618,1380476,318142,1698618,1380476,318142,0,0,0.0,0,0,0.0,0,0,0.0
202107,1765833,1458819,307014,1765833,1458819,307014,0,0,0.0,0,0,0.0,0,0,0.0
202108,1917823,1529982,387841,1917823,1529982,387841,0,0,0.0,0,0,0.0,0,0,0.0
202109,1890272,1560130,330142,1890272,1560130,330142,0,0,0.0,0,0,0.0,0,0,0.0
202110,1841630,1588746,252884,1841630,1588746,252884,0,0,0.0,0,0,0.0,0,0,0.0
202111,1861339,1547188,314151,1861339,1547188,314151,0,0,0.0,0,0,0.0,0,0,0.0
202112,1479592,1770918,-291326,1479592,1770918,-291326,0,0,0.0,0,0,0.0,0,0,-0.0
202201,1850572,1683143,167429,1850572,1683143,167429,0,0,0.0,0,0,0.0,0,0,0.0
202202,2088684,1735216,353468,2088684,1735216,353468,0,0,0.0,0,0,0.0,0,0,0.0
202203,2002055,1902893,99162,2002055,1902893,99162,0,0,0.0,0,0,0.0,0,0,0.0
202204,1886426,1680925,205501,1886426,1680925,205501,0,0,0.0,0,0,0.0,0,0,0.0
202205,2001373,1723627,277746,2001373,1723627,277746,0,0,0.0,0,0,0.0,0,0,0.0
202206,1933091,1647833,285258,1933091,1647833,285258,0,0,0.0,0,0,0.0,0,0,0.0
202207,1922357,1696977,225380,1922357,1696977,225380,0,0,0.0,0,0,0.0,0,0,0.0
202208,2084541,1795668,288873,2084541,1795668,288873,0,0,0.0,0,0,0.0,0,0,0.0
202209,1952012,1673451,278561,1952012,1673451,278561,0,0,0.0,0,0,0.0,0,0,0.0
202210,1818631,1658162,160469,1818631,1658162,160469,0,0,0.0,0,0,0.0,0,0,0.0
202211,1773049,1645073,127976,1773049,1645073,127976,0,0,0.0,0,0,0.0,0,0,0.0
202212,1408349,1863096,-454747,1408349,1863096,-454747,0,0,0.0,0,0,0.0,0,0,-0.0
202301,1919683,1829571,90112,1919683,1829571,90112,0,0,0.0,0,0,0.0,0,0,0.0
202302,1990180,1737717,252463,1990180,1737717,252463,0,0,0.0,0,0,0.0,0,0,0.0
202303,2204671,2009638,195033,2204671,2009638,195033,0,0,0.0,0,0,0.0,0,0,0.0
202304,1899958,1717997,181961,1899958,1717997,181961,0,0,0.0,0,0,0.0,0,0,0.0
202305,2024711,1868501,156210,2024711,1868501,156210,0,0,0.0,0,0,0.0,0,0,0.0
202306,1937202,1781388,155814,1937202,1781388,155814,0,0,0.0,0,0,0.0,0,0,0.0
202307,1903152,1760775,142377,1903152,1760775,142377,0,0,0.0,0,0,0.0,0,0,0.0
202308,2117060,1897143,219917,2117060,1897143,219917,0,0,0.0,0,0,0.0,0,0,0.0
202309,1941183,1736377,204806,1941183,1736377,204806,0,0,0.0,0,0,0.0,0,0,0.0
202310,1962956,1775720,187236,1962956,1775720,187236,0,0,0.0,0,0,0.0,0,0,0.0
202311,1881423,1759920,121503,1881423,1759920,121503,0,0,0.0,0,0,0.0,0,0,0.0
202312,1514004,1965609,-451605,1514004,1965609,-451605,0,0,0.0,0,0,0.0,0,0,-0.0
202401,2110658,1937413,173245,2110658,1937413,173245,0,0,0.0,0,0,0.0,0,0,0.0
202402,2276518,1968723,307795,2276518,1968723,307795,0,0,0.0,0,0,0.0,0,0,0.0
202403,2285312,2039668,245644,2285312,2039668,245644,0,0,0.0,0,0,0.0,0,0,0.0
202404,2283071,2042744,240327,2283071,2042744,240327,0,0,0.0,0,0,0.0,0,0,0.0
