outcome,estimator,position,event_time,coefficient,is_pre
asinh_saldo,ols,0,-23,-3.79911220772807,TRUE
asinh_saldo,ols,1,-22,-3.64459821815514,TRUE
asinh_saldo,ols,2,-21,-3.74429724443884,TRUE
asinh_saldo,ols,3,-20,-3.11369727328965,TRUE
asinh_saldo,ols,4,-19,-2.55440008237546,TRUE
asinh_saldo,ols,5,-18,-2.59038441585046,TRUE
asinh_saldo,ols,6,-17,-2.5509071373286,TRUE
asinh_saldo,ols,7,-16,-2.44094597709248,TRUE
asinh_saldo,ols,8,-15,-2.38115140314022,TRUE
asinh_saldo,ols,9,-14,-1.80257443720198,TRUE
asinh_saldo,ols,10,-13,-0.476947405351068,TRUE
asinh_saldo,ols,11,-12,-1.98631195433844,TRUE
asinh_saldo,ols,12,-11,-4.04869495434682,TRUE
asinh_saldo,ols,13,-10,-3.18778050953574,TRUE
asinh_saldo,ols,14,-9,-2.64497622236215,TRUE
asinh_saldo,ols,15,-8,-2.59624162745341,TRUE
asinh_saldo,ols,16,-7,-3.54252437435234,TRUE
asinh_saldo,ols,17,-6,-3.19478304067102,TRUE
asinh_saldo,ols,18,-5,-3.64689396616965,TRUE
asinh_saldo,ols,19,-4,-3.19871070685181,TRUE
asinh_saldo,ols,20,-3,-3.44750837934885,TRUE
asinh_saldo,ols,21,-2,-1.78220858389137,TRUE
asinh_saldo,ols,22,0,-3.30222696105828,FALSE
asinh_saldo,ols,23,1,-3.83511335542924,FALSE
asinh_saldo,ols,24,2,-5.79443683341221,FALSE
asinh_saldo,ols,25,3,-4.44195143061626,FALSE
asinh_saldo,ols,26,4,-3.1822484695178,FALSE
asinh_saldo,ols,27,5,-4.13149166633555,FALSE
asinh_saldo,ols,28,6,-3.0668755369717,FALSE
asinh_saldo,ols,29,7,-3.76564258120527,FALSE
asinh_saldo,ols,30,8,-3.11169348780462,FALSE
asinh_saldo,ols,31,9,-3.49696821017646,FALSE
asinh_saldo,ols,32,10,-2.1541894788602,FALSE
asinh_saldo,ols,33,11,-1.17839504818844,FALSE
asinh_saldo,ols,34,12,-2.79732893363974,FALSE
asinh_saldo,ols,35,13,-3.41058999923943,FALSE
asinh_saldo,ols,36,14,-4.63644084285118,FALSE
asinh_saldo,ols,37,15,-3.70397453062429,FALSE
asinh_saldo,ols,38,16,-2.74258552183989,FALSE
asinh_saldo,ols,39,17,-2.63551742305767,FALSE
asinh_saldo,ols,40,18,-3.49328203171503,FALSE
asinh_saldo,ols,41,19,-3.40369165197456,FALSE
asinh_saldo,ols,42,20,-3.91290416731366,FALSE
asinh_saldo,ols,43,21,-3.09890673514039,FALSE
asinh_saldo,ols,44,22,-2.63455662341109,FALSE
asinh_saldo,ols,45,23,-1.4583910632087,FALSE
ln_salario_real_adm,ols,0,-23,0.00186730392871656,TRUE
ln_salario_real_adm,ols,1,-22,0.019436297787563,TRUE
ln_salario_real_adm,ols,2,-21,0.0641629503454962,TRUE
ln_salario_real_adm,ols,3,-20,0.0611433301149256,TRUE
ln_salario_real_adm,ols,4,-19,0.0796456769416849,TRUE
ln_salario_real_adm,ols,5,-18,0.0525139354779075,TRUE
ln_salario_real_adm,ols,6,-17,0.0294511120939694,TRUE
ln_salario_real_adm,ols,7,-16,0.0654149816650162,TRUE
ln_salario_real_adm,ols,8,-15,0.0580450889943732,TRUE
ln_salario_real_adm,ols,9,-14,0.0332645661778308,TRUE
ln_salario_real_adm,ols,10,-13,0.0401568726456381,TRUE
ln_salario_real_adm,ols,11,-12,0.0813911175148052,TRUE
ln_salario_real_adm,ols,12,-11,0.0408144705787149,TRUE
ln_salario_real_adm,ols,13,-10,0.00523621559343489,TRUE
ln_salario_real_adm,ols,14,-9,0.0253289676013061,TRUE
ln_salario_real_adm,ols,15,-8,0.0295926177512841,TRUE
ln_salario_real_adm,ols,16,-7,0.0459918616444339,TRUE
ln_salario_real_adm,ols,17,-6,0.0134668389577942,TRUE
ln_salario_real_adm,ols,18,-5,0.0338678308629399,TRUE
ln_salario_real_adm,ols,19,-4,0.0260391983859794,TRUE
ln_salario_real_adm,ols,20,-3,0.00545442334817967,TRUE
ln_salario_real_adm,ols,21,-2,0.0073468167822609,TRUE
ln_salario_real_adm,ols,22,0,0.0139731489651917,FALSE
ln_salario_real_adm,ols,23,1,-0.0272500295177161,FALSE
ln_salario_real_adm,ols,24,2,-0.0284943246184608,FALSE
ln_salario_real_adm,ols,25,3,-0.0350656723292139,FALSE
ln_salario_real_adm,ols,26,4,-0.00799296202014752,FALSE
ln_salario_real_adm,ols,27,5,-0.02265837851431,FALSE
ln_salario_real_adm,ols,28,6,0.0213837644202539,FALSE
ln_salario_real_adm,ols,29,7,-0.00669201672037033,FALSE
ln_salario_real_adm,ols,30,8,-0.0097780381488049,FALSE
ln_salario_real_adm,ols,31,9,-0.0279588495887963,FALSE
ln_salario_real_adm,ols,32,10,-0.0300506931952569,FALSE
ln_salario_real_adm,ols,33,11,-0.0287563194146323,FALSE
ln_salario_real_adm,ols,34,12,-0.0275038739136922,FALSE
ln_salario_real_adm,ols,35,13,-0.0162295206471447,FALSE
ln_salario_real_adm,ols,36,14,-0.037503715296496,FALSE
ln_salario_real_adm,ols,37,15,-0.0402778269613561,FALSE
ln_salario_real_adm,ols,38,16,-0.0316801223375585,FALSE
ln_salario_real_adm,ols,39,17,-0.0100769208210549,FALSE
ln_salario_real_adm,ols,40,18,-0.000496175303337899,FALSE
ln_salario_real_adm,ols,41,19,-0.00324959354571474,FALSE
ln_salario_real_adm,ols,42,20,0.00128805440466241,FALSE
ln_salario_real_adm,ols,43,21,0.0115041567268864,FALSE
ln_salario_real_adm,ols,44,22,-0.00346881090099129,FALSE
ln_salario_real_adm,ols,45,23,-0.0216837286955753,FALSE
