outcome,estimator_python,position,event_time,coefficient_python,is_pre_python,estimator_r,coefficient_r,is_pre_r,_merge,coefficient_absolute_difference,same_estimator,same_is_pre,comparison_pass
asinh_saldo,ols,0,-23,-3.79911220771972,True,ols,-3.79911220772807,True,both,8.349765323600877e-12,True,True,True
asinh_saldo,ols,1,-22,-3.6445982181470447,True,ols,-3.64459821815514,True,both,8.095302206356791e-12,True,True,True
asinh_saldo,ols,2,-21,-3.7442972444307094,True,ols,-3.74429724443884,True,both,8.130385253934946e-12,True,True,True
asinh_saldo,ols,3,-20,-3.113697273281737,True,ols,-3.11369727328965,True,both,7.913225630318266e-12,True,True,True
asinh_saldo,ols,4,-19,-2.5544000823675725,True,ols,-2.55440008237546,True,both,7.887468456146962e-12,True,True,True
asinh_saldo,ols,5,-18,-2.5903844158427343,True,ols,-2.59038441585046,True,both,7.72581998376154e-12,True,True,True
asinh_saldo,ols,6,-17,-2.5509071373208863,True,ols,-2.5509071373286,True,both,7.713829575095588e-12,True,True,True
asinh_saldo,ols,7,-16,-2.440945977084806,True,ols,-2.44094597709248,True,both,7.673861546209082e-12,True,True,True
asinh_saldo,ols,8,-15,-2.381151403132388,True,ols,-2.38115140314022,True,both,7.831957304915704e-12,True,True,True
asinh_saldo,ols,9,-14,-1.8025744371943409,True,ols,-1.80257443720198,True,both,7.639222587840777e-12,True,True,True
asinh_saldo,ols,10,-13,-0.4769474053439205,True,ols,-0.476947405351068,True,both,7.147504810234295e-12,True,True,True
asinh_saldo,ols,11,-12,-1.986311954330909,True,ols,-1.98631195433844,True,both,7.531086865242287e-12,True,True,True
asinh_saldo,ols,12,-11,-4.048694954338594,True,ols,-4.04869495434682,True,both,8.22542034484286e-12,True,True,True
asinh_saldo,ols,13,-10,-3.187780509527805,True,ols,-3.18778050953574,True,both,7.934986001600919e-12,True,True,True
asinh_saldo,ols,14,-9,-2.6449762223544004,True,ols,-2.64497622236215,True,both,7.749356711883593e-12,True,True,True
asinh_saldo,ols,15,-8,-2.596241627445675,True,ols,-2.59624162745341,True,both,7.73514585716839e-12,True,True,True
asinh_saldo,ols,16,-7,-3.542524374344382,True,ols,-3.54252437435234,True,both,7.958078640513122e-12,True,True,True
asinh_saldo,ols,17,-6,-3.194783040662955,True,ols,-3.19478304067102,True,both,8.065104140086987e-12,True,True,True
asinh_saldo,ols,18,-5,-3.646893966161656,True,ols,-3.64689396616965,True,both,7.994049866510977e-12,True,True,True
asinh_saldo,ols,19,-4,-3.1987107068439675,True,ols,-3.19871070685181,True,both,7.842615445952106e-12,True,True,True
asinh_saldo,ols,20,-3,-3.4475083793406895,True,ols,-3.44750837934885,True,both,8.16058332020475e-12,True,True,True
asinh_saldo,ols,21,-2,-1.782208583884009,True,ols,-1.78220858389137,True,both,7.361000697869713e-12,True,True,True
asinh_saldo,ols,22,0,-3.30222696105044,False,ols,-3.30222696105828,False,both,7.840394999902855e-12,True,True,True
asinh_saldo,ols,23,1,-3.835113355420946,False,ols,-3.83511335542924,False,both,8.29425417236962e-12,True,True,True
asinh_saldo,ols,24,2,-5.794436833403477,False,ols,-5.79443683341221,False,both,8.732570222491631e-12,True,True,True
asinh_saldo,ols,25,3,-4.441951430607981,False,ols,-4.44195143061626,False,both,8.279599228444567e-12,True,True,True
