analysis_family_python,model_id,outcome_python,estimator_python,term_python,event_time_python,is_reference_python,coefficient_python,standard_error_python,n_obs_python,minimum_clusters_python,sample_id_python,status_python,reference_event_time_python,event_key,analysis_family_r,outcome_r,estimator_r,n_obs_r,minimum_clusters_r,sample_id_r,status_r,reference_event_time_r,term_r,event_time_r,is_reference_r,coefficient_r,standard_error_r,_merge,coefficient_absolute_difference,standard_error_absolute_difference,same_n_obs,same_minimum_clusters,same_sample_id,same_status,same_reference_event_time,comparison_pass
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-23]:treatment",-23.0,False,0.0156507446833495,0.0213078177571547,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-23,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-23:treatment,-23.0,False,0.0156507446833524,0.021307817757154,both,2.9004576518332215e-15,7.008282842946301e-16,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-22]:treatment",-22.0,False,-0.0029720948218543,0.0243326562848177,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-22,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-22:treatment,-22.0,False,-0.0029720948218508,0.0243326562848181,both,3.5002382936522025e-15,4.0245584642661925e-16,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-21]:treatment",-21.0,False,0.0392116312286975,0.0264163079224043,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-21,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-21:treatment,-21.0,False,0.0392116312287003,0.0264163079224069,both,2.796374243274613e-15,2.6020852139652106e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-20]:treatment",-20.0,False,-0.0167753088073506,0.0222018523287758,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-20,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-20:treatment,-20.0,False,-0.0167753088073484,0.0222018523287797,both,2.1996293675385914e-15,3.899658373995862e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-19]:treatment",-19.0,False,-0.0030972748256272,0.0240931393511605,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-19,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-19:treatment,-19.0,False,-0.0030972748256244,0.024093139351166,both,2.7998436902265667e-15,5.4990734188464785e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-18]:treatment",-18.0,False,0.0015012616735497,0.0198723802696765,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-18,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-18:treatment,-18.0,False,0.0015012616735529,0.019872380269678,both,3.1999142918737178e-15,1.502270530195915e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-17]:treatment",-17.0,False,0.0146512571795418,0.0227650576190442,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-17,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-17:treatment,-17.0,False,0.0146512571795445,0.0227650576190429,both,2.699229728619912e-15,1.3010426069826053e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-16]:treatment",-16.0,False,0.037109957783703,0.0520344604009024,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-16,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-16:treatment,-16.0,False,0.0371099577837086,0.0520344604009089,both,5.599687380453133e-15,6.501743587961073e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-15]:treatment",-15.0,False,0.0138827245717077,0.0244327109657736,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-15,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-15:treatment,-15.0,False,0.0138827245717106,0.0244327109657728,both,2.9004576518332215e-15,8.014422459012849e-16,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-14]:treatment",-14.0,False,0.0066810260191755,0.0225009877973422,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-14,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-14:treatment,-14.0,False,0.0066810260191791,0.0225009877973448,both,3.599551212651875e-15,2.6020852139652106e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-13]:treatment",-13.0,False,0.0321208276600499,0.0228439174663141,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-13,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-13:treatment,-13.0,False,0.0321208276600528,0.0228439174663124,both,2.9004576518332215e-15,1.700029006457271e-15,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-12]:treatment",-12.0,False,0.0054441861421046,0.0207315212867812,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-12,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-12:treatment,-12.0,False,0.0054441861421085,0.0207315212867804,both,3.899658373995862e-15,7.979727989493313e-16,True,True,True,True,True,True
canary_event,canary_event::age_22_25::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[-11]:treatment",-11.0,False,-0.0021925574583414,0.0272825574092734,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,-11,canary_event,ln_salario_real_adm,ols,21511,340,family_A:age_canaries:age_22_25:target,estimated,-1.0,event_time::-11:treatment,-11.0,False,-0.0021925574583377,0.0272825574092747,both,3.699731493389535e-15,1.3010426069826053e-15,True,True,True,True,True,True
