dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect,diagnostic_group_pretrend,pretrend_reason,group_pretrend,stars,star_source
age_pnad,micro,age_18_24,Age 18-24,admissoes,ppml,-0.0379758436745453,0.0359696855775695,0.2918212844304935,15935,341,fail,9.501223333956794e-52,fail,0.1010620625046135,estimated,,B,-0.108726982671589,0.0327752953224984,340.0,adequate,75,266,0.3993343892206753,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_18_24,Age 18-24,desligamentos,ppml,-0.0170308610987383,0.044337146382811,0.7011290549429887,15926,340,fail,5.1119858677577494e-24,fail,0.1245727180370996,estimated,,B,-0.1042414277460291,0.0701797055485525,339.0,adequate,75,266,0.7532791499387482,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_18_24,Age 18-24,ln_salario_real_adm,ols,-0.0511584731259296,0.0110626915005706,5.350968622863661e-06,15616,340,warning,0.8394316569506793,fail,0.0310825044339407,estimated,,B,-0.0729186375280068,-0.0293983087238524,339.0,adequate,75,266,9.223571114880258e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,warning,,warning,***,bh_adjusted_p_value
age_pnad,micro,age_18_24,Age 18-24,asinh_saldo,ols,-0.0343827391791837,0.1930361797324017,0.8587383303944693,15935,341,fail,2.642009612326551e-06,fail,0.542363219152887,estimated,,B,-0.4140782901523129,0.3453128117939454,340.0,adequate,75,266,0.8721561168068829,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_25_34,Age 25-34,admissoes,ppml,-0.0693030412476858,0.0313728152193658,0.027839925289768,15935,341,fail,1.542496298884872e-41,fail,0.0881464867355528,estimated,,B,-0.1310122937660922,-0.0075937887292793,340.0,adequate,75,266,0.078678049731953,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,*,bh_adjusted_p_value
age_pnad,micro,age_25_34,Age 25-34,desligamentos,ppml,-0.060823242473137,0.02579834390841,0.0189574689618974,15935,341,fail,6.343237560815464e-14,fail,0.0724841989225811,estimated,,B,-0.1115677009372297,-0.0100787840090442,340.0,adequate,75,266,0.0586778801201586,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,*,bh_adjusted_p_value
age_pnad,micro,age_25_34,Age 25-34,ln_salario_real_adm,ols,-0.0459819346532859,0.0109583357346832,3.470248872905479e-05,15828,341,fail,6.203606268267087e-06,warning,0.0307890378573591,estimated,,B,-0.0675366055460535,-0.0244272637605182,340.0,adequate,75,266,0.0003647498792158,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,***,bh_adjusted_p_value
age_pnad,micro,age_25_34,Age 25-34,asinh_saldo,ols,-0.5068797879694806,0.352874646761956,0.1517994515273251,15935,341,fail,1.1198185358827832e-09,fail,0.9914526367055304,estimated,,B,-1.2009721265790985,0.1872125506401373,340.0,adequate,75,266,0.249796565804459,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_35_44,Age 35-44,admissoes,ppml,-0.0454282877071866,0.0343476831871388,0.1868569560987594,15935,341,fail,6.77992359431089e-22,fail,0.0965048109097715,estimated,,B,-0.1129890035816422,0.022132428167269,340.0,adequate,75,266,0.2857812269745732,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_35_44,Age 35-44,desligamentos,ppml,-0.039796057837934,0.0269584626541,0.1408159836888083,15935,341,fail,1.690690123033963e-20,fail,0.0757437212483144,estimated,,B,-0.0928224301222736,0.0132303144464056,340.0,adequate,75,266,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_35_44,Age 35-44,ln_salario_real_adm,ols,-0.054909790269004,0.0128614415919605,2.5484371893869096e-05,15775,340,fail,0.0027652950281741,fail,0.0361363973033474,estimated,,B,-0.0802080717472806,-0.0296115087907273,339.0,adequate,75,266,0.0003011789405639,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,***,bh_adjusted_p_value
age_pnad,micro,age_35_44,Age 35-44,asinh_saldo,ols,-0.5497632746296913,0.3050063789444987,0.0723577759116811,15935,341,fail,3.2649226212472606e-08,pass,0.8569597770522843,estimated,,B,-1.1497003706921634,0.0501738214327805,340.0,adequate,75,266,0.162274261228444,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_45_54,Age 45-54,admissoes,ppml,-0.01248872822123,0.0468601165328935,0.7900073816603324,15935,341,fail,1.7032417665169486e-13,fail,0.1316603120093425,estimated,,B,-0.1046609717368609,0.0796835152944009,340.0,adequate,75,266,0.8216076769267456,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_45_54,Age 45-54,desligamentos,ppml,-0.0221088087991933,0.0325476730943039,0.4974260193781419,15935,341,fail,1.0792257909828236e-11,fail,0.0914474207883396,estimated,,B,-0.0861289665000279,0.0419113489016413,340.0,adequate,75,266,0.5932603900840224,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_45_54,Age 45-54,ln_salario_real_adm,ols,-0.0417124426426873,0.0113611733433001,0.0002801714085478,15478,339,warning,0.1956484882667116,fail,0.0319214123020663,estimated,,B,-0.0640599536667165,-0.0193649316186581,338.0,adequate,75,266,0.0019169622690112,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,warning,,warning,***,bh_adjusted_p_value
age_pnad,micro,age_45_54,Age 45-54,asinh_saldo,ols,-0.2273902790738228,0.2270277585765298,0.3172506508209349,15935,341,fail,3.656751515124284e-08,fail,0.6378675031246652,estimated,,B,-0.6739461008809453,0.2191655427332996,340.0,adequate,75,266,0.4251812846053767,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_55_65,Age 55-65,admissoes,ppml,-0.0398861467684038,0.0677753861107822,0.5565853342642646,15926,340,fail,1.0903187575266501e-13,fail,0.1904264201159159,estimated,,B,-0.1731994136265469,0.0934271200897393,339.0,adequate,75,266,0.6460365486995928,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
age_pnad,micro,age_55_65,Age 55-65,desligamentos,ppml,-0.0859547348986299,0.0393804502255399,0.0297434590758103,15935,341,fail,1.2988262946668077e-22,fail,0.1106451017919144,estimated,,B,-0.1634147310852744,-0.0084947387119853,340.0,adequate,75,266,0.0822691421245816,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,*,bh_adjusted_p_value
