dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect,diagnostic_group_pretrend,pretrend_reason,group_pretrend,stars,star_source
income,cbo_predetermined,low_income,Up to 2 minimum wages,admissoes,ppml,-0.0303514400240769,0.0320868137211418,0.3450308161422388,12782,273,fail,3.120008588868883e-53,fail,0.0902174850562025,estimated,,A,-0.0935215153828661,0.0328186353347123,272.0,adequate,46,227,0.4530707686716266,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
income,cbo_predetermined,low_income,Up to 2 minimum wages,desligamentos,ppml,-0.0409139143683539,0.0299416442471907,0.1729246596371636,12782,273,fail,1.6376116382640123e-27,fail,0.0841859795087481,estimated,,A,-0.0998607434271349,0.0180329146904271,272.0,adequate,46,227,0.2708458524437502,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
income,cbo_predetermined,low_income,Up to 2 minimum wages,ln_salario_real_adm,ols,-0.0492978122253503,0.0139746493701304,0.000491974045752,12755,273,fail,0.0156297034667757,warning,0.039292082151638,estimated,,A,-0.0768100376988985,-0.021785586751802,272.0,adequate,46,227,0.00304555361656,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,***,bh_adjusted_p_value
income,cbo_predetermined,low_income,Up to 2 minimum wages,asinh_saldo,ols,0.2144150228457469,0.3568869662083842,0.5484784752195817,12782,273,fail,1.2025970071789016e-05,fail,1.0034478593131118,estimated,,A,-0.4881968583426559,0.9170269040341495,272.0,adequate,46,227,0.6423621781850957,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,admissoes,ppml,-0.1913587356126855,0.0663962691545913,0.0055613762425028,2726,58,fail,3.06114630039841e-103,fail,0.1892584624863225,estimated,,A,-0.3243149712205428,-0.0584025000048281,57.0,limited,26,32,0.0212640856330989,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,**,bh_adjusted_p_value
income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,desligamentos,ppml,-0.1027601900980564,0.0799735335290572,0.2040146636367943,2726,58,fail,1.353190601531013e-43,fail,0.2279596156233894,estimated,,A,-0.2629044286474439,0.0573840484513311,57.0,limited,26,32,0.2979989468852052,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,ln_salario_real_adm,ols,-0.0434290824641352,0.025764706413199,0.097339707614027,2725,58,fail,0.0001693429969025,fail,0.0734407035856223,estimated,,A,-0.0950220171253394,0.008163852197069,57.0,limited,26,32,0.1983379885442586,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,fail,,fail,,bh_adjusted_p_value
income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,asinh_saldo,ols,-1.2484026036606353,0.8350347576278796,0.1404225626142663,2726,58,warning,0.1975958622354138,fail,2.380214978394809,estimated,,A,-2.920530863117894,0.4237256557966231,57.0,limited,26,32,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,warning,,warning,,bh_adjusted_p_value
income,cbo_predetermined,high_income,Over 5 minimum wages,admissoes,ppml,-0.0068307289461444,0.0954008103648888,0.9446776223982476,423,9,not_interpretable_rank_deficient,,fail,0.3047954435230909,estimated,,A,-0.2268253921494063,0.2131639342571175,8.0,thin,3,6,0.95200070474242,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,not_interpretable_rank_deficient,,not_interpretable_rank_deficient,,bh_adjusted_p_value
income,cbo_predetermined,high_income,Over 5 minimum wages,desligamentos,ppml,0.1563690423231793,0.1053047233501027,0.1758649773260776,423,9,not_interpretable_rank_deficient,,fail,0.3364373922591298,estimated,,A,-0.0864640851786881,0.3992021698250467,8.0,thin,3,6,0.2721719887189295,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False,not_interpretable_rank_deficient,,not_interpretable_rank_deficient,,bh_adjusted_p_value
