panel_family_group,outcome,ddd_estimate_se,nominal_p_value,bh_adjusted_p_value,group_pretrend,ddd_pretrend,group_mde_80_power,n_and_cbo_support
Seis categorias raciais · Família A (100) · Branca,"Admissões (PPML, nível)","0,0827 (0,0188)",1.5168021202160986e-05,0.0002528003533693,fail,fail,0.0982114265638445,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Branca,"Desligamentos (PPML, nível)","0,0651 (0,0136)",2.463155174270426e-06,4.926310348540852e-05,fail,fail,0.070344269395898,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Branca,"Fluxo bruto (PPML, nível)","0,0743 (0,0144)",4.416046335276036e-07,1.472015445092012e-05,fail,fail,0.079413408988586,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Branca,Salário real de admissão (log),"−0,0080 (0,0088)",0.3614043039472863,0.5560066214573635,fail,fail,0.0320236684093094,N=15.802; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Branca,Saldo líquido (asinh),"0,7390 (0,2544)",0.0039206139179364,0.0255478930523966,fail,fail,0.8435823167690217,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Preta,"Admissões (PPML, nível)","−0,0088 (0,0399)",0.825180089860404,0.9067913075389056,fail,fail,0.1517379933243868,N=15.926; CBOs 75/265; adequate
Seis categorias raciais · Família A (100) · Preta,"Desligamentos (PPML, nível)","0,0445 (0,0309)",0.1500837151296945,0.3410993525674876,fail,fail,0.1222054016873615,N=15.926; CBOs 75/265; adequate
Seis categorias raciais · Família A (100) · Preta,"Fluxo bruto (PPML, nível)","0,0160 (0,0356)",0.6532266843208137,0.7870201015913418,fail,fail,0.1345903837602316,N=15.926; CBOs 75/265; adequate
Seis categorias raciais · Família A (100) · Preta,Salário real de admissão (log),"−0,0052 (0,0101)",0.6082597131412606,0.741780137977147,fail,fail,0.0342560065582019,N=14.922; CBOs 75/265; adequate
Seis categorias raciais · Família A (100) · Preta,Saldo líquido (asinh),"0,2580 (0,2821)",0.3609898414932841,0.5560066214573635,fail,fail,0.4386371609996985,N=15.935; CBOs 75/265; adequate
Seis categorias raciais · Família A (100) · Parda,"Admissões (PPML, nível)","−0,0817 (0,0304)",0.0075035012461883,0.0416861180343798,fail,fail,0.123333577363632,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Parda,"Desligamentos (PPML, nível)","−0,0886 (0,0292)",0.0025863093008602,0.0184736378632873,fail,fail,0.1119864397931419,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Parda,"Fluxo bruto (PPML, nível)","−0,0848 (0,0293)",0.0040876628883834,0.0255478930523966,fail,fail,0.1151056616151027,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Parda,Salário real de admissão (log),"−0,0102 (0,0092)",0.2695850783679598,0.4648018592551032,fail,pass,0.0275906324775114,N=15.804; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Parda,Saldo líquido (asinh),"0,1655 (0,2834)",0.5596051855622566,0.7083609943826032,fail,fail,0.7275672175553716,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Amarela,"Admissões (PPML, nível)","−0,2770 (0,0576)",2.294302876792998e-06,4.926310348540852e-05,fail,fail,0.2261643096842041,N=15.832; CBOs 75/264; adequate
Seis categorias raciais · Família A (100) · Amarela,"Desligamentos (PPML, nível)","−0,2179 (0,0365)",5.853375562026031e-09,5.853375562026031e-07,fail,fail,0.1563508430211222,N=15.832; CBOs 75/264; adequate
Seis categorias raciais · Família A (100) · Amarela,"Fluxo bruto (PPML, nível)","−0,2487 (0,0466)",1.7680386377172397e-07,8.840193188586198e-06,fail,fail,0.1900664968601642,N=15.879; CBOs 75/264; adequate
Seis categorias raciais · Família A (100) · Amarela,Salário real de admissão (log),"−0,0171 (0,0150)",0.2541071480049233,0.4537627642945058,fail,warning,0.0485955632975939,N=11.300; CBOs 75/264; adequate
Seis categorias raciais · Família A (100) · Amarela,Saldo líquido (asinh),"0,3108 (0,3305)",0.3476277429829573,0.5517900682269163,fail,fail,0.2746156923995173,N=15.935; CBOs 75/264; adequate
Seis categorias raciais · Família A (100) · Indígena,"Admissões (PPML, nível)","−0,1744 (0,1003)",0.0828473351466814,0.2180193030175826,fail,fail,0.2501541319561643,N=15.040; CBOs 73/259; adequate
Seis categorias raciais · Família A (100) · Indígena,"Desligamentos (PPML, nível)","−0,1172 (0,1140)",0.3047892748653757,0.5069783887109974,fail,fail,0.1925921293299561,N=15.185; CBOs 73/259; adequate
Seis categorias raciais · Família A (100) · Indígena,"Fluxo bruto (PPML, nível)","−0,1455 (0,1049)",0.1663340309977377,0.3696311799949726,fail,fail,0.2177822392166092,N=15.420; CBOs 73/259; adequate
Seis categorias raciais · Família A (100) · Indígena,Salário real de admissão (log),"−0,0036 (0,0178)",0.837564643260378,0.910396351369976,pass,pass,0.0473199617612716,N=8.228; CBOs 73/259; adequate
Seis categorias raciais · Família A (100) · Indígena,Saldo líquido (asinh),"0,3605 (0,3540)",0.3092568171137084,0.5069783887109974,fail,fail,0.1848586239726869,N=15.935; CBOs 73/259; adequate
Seis categorias raciais · Família A (100) · Não identificada,"Admissões (PPML, nível)","0,0197 (0,0300)",0.510477216690389,0.6806362889205188,fail,fail,0.067523242017848,N=15.931; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Não identificada,"Desligamentos (PPML, nível)","0,0541 (0,0263)",0.0402988814162754,0.1259340044258608,fail,fail,0.0789840164231031,N=15.926; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Não identificada,"Fluxo bruto (PPML, nível)","0,0376 (0,0278)",0.1764799585479766,0.3754892735063332,fail,fail,0.0666267515131672,N=15.935; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Não identificada,Salário real de admissão (log),"0,0415 (0,0107)",0.0001288398195122,0.0018405688501754,warning,fail,0.0320163350741625,N=14.437; CBOs 75/266; adequate
Seis categorias raciais · Família A (100) · Não identificada,Saldo líquido (asinh),"−0,9754 (0,4922)",0.0483122057579472,0.1420947228174919,fail,fail,1.099397368624867,N=15.935; CBOs 75/266; adequate
