panel_family_group,outcome,ddd_estimate_se,nominal_p_value,bh_adjusted_p_value,group_pretrend,ddd_pretrend,group_mde_80_power,n_and_cbo_support
Painel 1 — PNAD/IBGE · Família B (30) · 18–24,"Admissões (PPML, nível)","0,0326 (0,0339)",0.3364199176940581,0.5046298765410872,fail,fail,0.1010620625046135,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 18–24,"Desligamentos (PPML, nível)","0,0508 (0,0448)",0.2581027070710311,0.4395177981987693,fail,fail,0.1245727180370996,N=15.926; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 18–24,"Fluxo bruto (PPML, nível)","0,0397 (0,0377)",0.293721552566677,0.4637708724737005,fail,fail,0.1063619273254789,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 18–24,Salário real de admissão (log),"−0,0034 (0,0104)",0.746021740764661,0.8607943162669165,warning,fail,0.0310825044339407,N=15.616; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 18–24,Saldo líquido (asinh),"0,7097 (0,4037)",0.07965935203075,0.2987225701153126,fail,fail,0.542363219152887,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 25–34,"Admissões (PPML, nível)","−0,0207 (0,0158)",0.1891322848026106,0.3989234920527651,fail,fail,0.0881464867355528,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 25–34,"Desligamentos (PPML, nível)","−0,0275 (0,0180)",0.1277769129318797,0.3989234920527651,fail,fail,0.0724841989225811,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 25–34,"Fluxo bruto (PPML, nível)","−0,0229 (0,0158)",0.1480538390585792,0.3989234920527651,fail,fail,0.0734260479398963,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 25–34,Salário real de admissão (log),"−0,0006 (0,0061)",0.9206341971814158,0.9523802039807748,fail,warning,0.0307890378573591,N=15.828; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 25–34,Saldo líquido (asinh),"−0,1245 (0,2233)",0.5774423720313919,0.7218029650392399,fail,fail,0.9914526367055304,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 35–44,"Admissões (PPML, nível)","0,0297 (0,0216)",0.1697278746102286,0.3989234920527651,fail,fail,0.0965048109097715,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 35–44,"Desligamentos (PPML, nível)","0,0191 (0,0253)",0.4514635286034338,0.6060302735589651,fail,fail,0.0757437212483144,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 35–44,"Fluxo bruto (PPML, nível)","0,0257 (0,0230)",0.2637106789192616,0.4395177981987693,fail,fail,0.0816095106998685,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 35–44,Salário real de admissão (log),"−0,0083 (0,0065)",0.1994617460263825,0.3989234920527651,fail,fail,0.0361363973033474,N=15.775; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 35–44,Saldo líquido (asinh),"−0,0695 (0,2572)",0.7871962312255065,0.8746624791394517,fail,pass,0.8569597770522843,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 45–54,"Admissões (PPML, nível)","0,0751 (0,0373)",0.0447520771570189,0.2237603857850945,fail,fail,0.1316603120093425,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 45–54,"Desligamentos (PPML, nível)","0,0455 (0,0339)",0.1805698716951567,0.3989234920527651,fail,fail,0.0914474207883396,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 45–54,"Fluxo bruto (PPML, nível)","0,0615 (0,0345)",0.0755985905510516,0.2987225701153126,fail,fail,0.1085701696644659,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 45–54,Salário real de admissão (log),"0,0151 (0,0074)",0.0429368238425755,0.2237603857850945,warning,fail,0.0319214123020663,N=15.478; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 45–54,Saldo líquido (asinh),"0,3714 (0,3082)",0.2290319286461717,0.429434866211572,fail,fail,0.6378675031246652,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 55–65,"Admissões (PPML, nível)","0,0332 (0,0686)",0.628289465592397,0.7539473587108764,fail,fail,0.1904264201159159,N=15.926; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 55–65,"Desligamentos (PPML, nível)","−0,0418 (0,0460)",0.3650147387759257,0.521449626822751,fail,fail,0.1106451017919144,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 55–65,"Fluxo bruto (PPML, nível)","−0,0067 (0,0535)",0.9003885748931348,0.9523802039807748,fail,fail,0.1398256955327768,N=15.935; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 55–65,Salário real de admissão (log),"0,0090 (0,0123)",0.4646232097285399,0.6060302735589651,fail,warning,0.0361363112996827,N=14.512; CBOs 75/266; adequate
Painel 1 — PNAD/IBGE · Família B (30) · 55–65,Saldo líquido (asinh),"1,0083 (0,3546)",0.0047289899882219,0.0354674249116643,fail,fail,0.3780159276970674,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 22–25,"Admissões (PPML, nível)","−0,0189 (0,0269)",0.4824221195946061,0.6519217832359542,fail,fail,0.0905054513497051,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 22–25,"Desligamentos (PPML, nível)","0,0002 (0,0367)",0.9951916483555427,0.9951916483555427,fail,fail,0.100969055321346,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 22–25,"Fluxo bruto (PPML, nível)","−0,0107 (0,0302)",0.7228039903259496,0.8503576356775877,fail,fail,0.0871709152120234,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 22–25,Salário real de admissão (log),"−0,0004 (0,0083)",0.9637786199217628,0.97351375749673,pass,fail,0.0294300744069431,N=15.554; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 22–25,Saldo líquido (asinh),"0,4145 (0,4033)",0.304833655807504,0.5069783887109974,fail,fail,0.6972233531779402,N=15.935; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 26–30,"Admissões (PPML, nível)","−0,0105 (0,0139)",0.4496334626354588,0.61593625018556,fail,fail,0.0877387766892691,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 26–30,"Desligamentos (PPML, nível)","−0,0125 (0,0113)",0.2663542975778852,0.4648018592551032,fail,fail,0.0750620683573011,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 26–30,"Fluxo bruto (PPML, nível)","−0,0115 (0,0116)",0.3233365054436434,0.5215104926510379,fail,fail,0.0739392668026774,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 26–30,Salário real de admissão (log),"0,0070 (0,0081)",0.3877574323836112,0.5810154740394323,fail,fail,0.0295157018645579,N=15.708; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 26–30,Saldo líquido (asinh),"0,2284 (0,1840)",0.2151304864920002,0.418206372494911,fail,fail,0.8192544858077048,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 31–34,"Admissões (PPML, nível)","0,0253 (0,0122)",0.0383599375338521,0.125243261355978,fail,fail,0.0888066752354621,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 31–34,"Desligamentos (PPML, nível)","0,0202 (0,0121)",0.096941179774566,0.2453249653619083,fail,fail,0.0705782026529237,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 31–34,"Fluxo bruto (PPML, nível)","0,0231 (0,0115)",0.0457615222939451,0.1386712796786216,fail,fail,0.0733863596505081,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 31–34,Salário real de admissão (log),"−0,0105 (0,0070)",0.1354335605453265,0.3246637965807058,fail,fail,0.0329113853259219,N=15.561; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 31–34,Saldo líquido (asinh),"0,4299 (0,1942)",0.0275441096740391,0.0949796885311696,fail,fail,0.8532886032403082,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Admissões (PPML, nível)","0,0353 (0,0148)",0.0173858228307095,0.0620922243953912,fail,fail,0.0930155578863576,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Desligamentos (PPML, nível)","0,0275 (0,0166)",0.0981299861447633,0.2453249653619083,fail,fail,0.0744768699220872,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Fluxo bruto (PPML, nível)","0,0319 (0,0154)",0.0388254110203531,0.125243261355978,fail,fail,0.0790074996587209,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,Salário real de admissão (log),"0,0026 (0,0068)",0.6992942140758296,0.8324931119950353,fail,warning,0.0309945618774155,N=15.663; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,Saldo líquido (asinh),"0,2605 (0,2006)",0.1949232665731264,0.3978025848431151,fail,fail,0.8033412691050353,N=15.935; CBOs 75/265; adequate
