repetition,seed,outcome,estimator,coefficient,n_obs,n_clusters,treated_cbo_count,control_cbo_count
1,20260726,admissoes,ppml,0.012592894025146961,22049,341,75,266
1,20260726,asinh_saldo,ols,0.2513570039516052,22049,341,75,266
1,20260726,desligamentos,ppml,-0.018947329837828875,22049,341,75,266
1,20260726,ln_salario_real_adm,ols,-0.002276868939290184,22012,341,75,266
1,20260726,n_movimentacoes,ppml,-0.003047744045034051,22049,341,75,266
2,20260726,admissoes,ppml,-0.01877870224416256,22049,341,75,266
2,20260726,asinh_saldo,ols,0.29114024726126503,22049,341,75,266
2,20260726,desligamentos,ppml,-0.02605240512639284,22049,341,75,266
2,20260726,ln_salario_real_adm,ols,-0.010188136442195052,22012,341,75,266
2,20260726,n_movimentacoes,ppml,-0.021088339388370514,22049,341,75,266
3,20260726,admissoes,ppml,-0.043803094420582056,22049,341,75,266
3,20260726,asinh_saldo,ols,0.13351630174395168,22049,341,75,266
3,20260726,desligamentos,ppml,-0.024811103474348783,22049,341,75,266
3,20260726,ln_salario_real_adm,ols,-0.0010056045432179279,22012,341,75,266
3,20260726,n_movimentacoes,ppml,-0.03501849668100476,22049,341,75,266
4,20260726,admissoes,ppml,0.026204793248325586,22049,341,75,266
4,20260726,asinh_saldo,ols,0.016252065125583904,22049,341,75,266
4,20260726,desligamentos,ppml,0.005292695946991444,22049,341,75,266
4,20260726,ln_salario_real_adm,ols,0.0038438433717488847,22012,341,75,266
4,20260726,n_movimentacoes,ppml,0.015988261438906193,22049,341,75,266
5,20260726,admissoes,ppml,-0.052003202959895134,22049,341,75,266
5,20260726,asinh_saldo,ols,0.06464954314002422,22049,341,75,266
5,20260726,desligamentos,ppml,-0.03548552468419075,22049,341,75,266
5,20260726,ln_salario_real_adm,ols,-0.005112311379410681,22012,341,75,266
5,20260726,n_movimentacoes,ppml,-0.04392720386385918,22049,341,75,266
6,20260726,admissoes,ppml,0.04341018944978714,22049,341,75,266
6,20260726,asinh_saldo,ols,0.10481527737215764,22049,341,75,266
6,20260726,desligamentos,ppml,0.00530759384855628,22049,341,75,266
6,20260726,ln_salario_real_adm,ols,-0.015350541589290067,22012,341,75,266
6,20260726,n_movimentacoes,ppml,0.0247612320818007,22049,341,75,266
7,20260726,admissoes,ppml,0.10228006029501557,22049,341,75,266
7,20260726,asinh_saldo,ols,-0.44428759750352526,22049,341,75,266
7,20260726,desligamentos,ppml,0.08576585538685322,22049,341,75,266
7,20260726,ln_salario_real_adm,ols,0.010284859065817187,22012,341,75,266
7,20260726,n_movimentacoes,ppml,0.09411093033850193,22049,341,75,266
8,20260726,admissoes,ppml,-0.02094110380858183,22049,341,75,266
8,20260726,asinh_saldo,ols,0.03850896953356731,22049,341,75,266
8,20260726,desligamentos,ppml,-0.00012769410386681557,22049,341,75,266
8,20260726,ln_salario_real_adm,ols,0.0016726824032314448,22012,341,75,266
8,20260726,n_movimentacoes,ppml,-0.01039704866707325,22049,341,75,266
9,20260726,admissoes,ppml,0.07525748899206519,22049,341,75,266
9,20260726,asinh_saldo,ols,0.5402955542110494,22049,341,75,266
9,20260726,desligamentos,ppml,0.04393515409901738,22049,341,75,266
9,20260726,ln_salario_real_adm,ols,-0.003427285992178304,22012,341,75,266
9,20260726,n_movimentacoes,ppml,0.06018995400518179,22049,341,75,266
10,20260726,admissoes,ppml,0.022641037590801716,22049,341,75,266
10,20260726,asinh_saldo,ols,-0.4530725196044805,22049,341,75,266
10,20260726,desligamentos,ppml,0.05112727824598551,22049,341,75,266
10,20260726,ln_salario_real_adm,ols,0.008633266776871045,22012,341,75,266
10,20260726,n_movimentacoes,ppml,0.03666472155600786,22049,341,75,266
11,20260726,admissoes,ppml,0.007127623539417982,22049,341,75,266
11,20260726,asinh_saldo,ols,0.16752115909161866,22049,341,75,266
11,20260726,desligamentos,ppml,0.0304019832983613,22049,341,75,266
11,20260726,ln_salario_real_adm,ols,-0.014406961522626957,22012,341,75,266
11,20260726,n_movimentacoes,ppml,0.01910570589825511,22049,341,75,266
12,20260726,admissoes,ppml,0.03592073731124401,22049,341,75,266
12,20260726,asinh_saldo,ols,0.39145432943545816,22049,341,75,266
12,20260726,desligamentos,ppml,-0.0004594489000737667,22049,341,75,266
12,20260726,ln_salario_real_adm,ols,0.023806100823288913,22012,341,75,266
12,20260726,n_movimentacoes,ppml,0.018616131506860256,22049,341,75,266
13,20260726,admissoes,ppml,-0.08254283247515559,22049,341,75,266
13,20260726,asinh_saldo,ols,0.17074732381862132,22049,341,75,266
13,20260726,desligamentos,ppml,-0.09917864482849836,22049,341,75,266
13,20260726,ln_salario_real_adm,ols,0.005604095099720196,22012,341,75,266
13,20260726,n_movimentacoes,ppml,-0.08997776918113232,22049,341,75,266
14,20260726,admissoes,ppml,-0.04162488831207156,22049,341,75,266
14,20260726,asinh_saldo,ols,-0.04257389005445669,22049,341,75,266
14,20260726,desligamentos,ppml,-0.015721596777439117,22049,341,75,266
14,20260726,ln_salario_real_adm,ols,-0.014650115087250799,22012,341,75,266
14,20260726,n_movimentacoes,ppml,-0.02849984634667635,22049,341,75,266
15,20260726,admissoes,ppml,0.016325682401657104,22049,341,75,266
15,20260726,asinh_saldo,ols,-0.11923695454464567,22049,341,75,266
15,20260726,desligamentos,ppml,0.04155497718602419,22049,341,75,266
15,20260726,ln_salario_real_adm,ols,0.0072201519003162965,22012,341,75,266
15,20260726,n_movimentacoes,ppml,0.028747500851750374,22049,341,75,266
16,20260726,admissoes,ppml,-0.039872100576758385,22049,341,75,266
16,20260726,asinh_saldo,ols,0.45451583427096964,22049,341,75,266
16,20260726,desligamentos,ppml,-0.01672500930726528,22049,341,75,266
16,20260726,ln_salario_real_adm,ols,-0.00462668874237505,22012,341,75,266
16,20260726,n_movimentacoes,ppml,-0.028421679511666298,22049,341,75,266
17,20260726,admissoes,ppml,0.04275378119200468,22049,341,75,266
17,20260726,asinh_saldo,ols,0.4901632647430822,22049,341,75,266
17,20260726,desligamentos,ppml,-0.006473137065768242,22049,341,75,266
17,20260726,ln_salario_real_adm,ols,0.00816715091356422,22012,341,75,266
17,20260726,n_movimentacoes,ppml,0.019332066643983126,22049,341,75,266
18,20260726,admissoes,ppml,0.0028600492514669895,22049,341,75,266
18,20260726,asinh_saldo,ols,-0.01634225358437644,22049,341,75,266
18,20260726,desligamentos,ppml,-0.016154568642377853,22049,341,75,266
18,20260726,ln_salario_real_adm,ols,-0.019479523468522927,22012,341,75,266
18,20260726,n_movimentacoes,ppml,-0.006030122749507427,22049,341,75,266
19,20260726,admissoes,ppml,-0.017967623891308904,22049,341,75,266
19,20260726,asinh_saldo,ols,-0.29989689293712246,22049,341,75,266
19,20260726,desligamentos,ppml,-0.0467490591108799,22049,341,75,266
19,20260726,ln_salario_real_adm,ols,-0.009110706558248515,22012,341,75,266
19,20260726,n_movimentacoes,ppml,-0.032063317485153675,22049,341,75,266
20,20260726,admissoes,ppml,0.09157301438972354,22049,341,75,266
20,20260726,asinh_saldo,ols,0.26361115649401845,22049,341,75,266
20,20260726,desligamentos,ppml,0.03062076773494482,22049,341,75,266
20,20260726,ln_salario_real_adm,ols,0.0049449407286126955,22012,341,75,266
20,20260726,n_movimentacoes,ppml,0.06212874921038747,22049,341,75,266
21,20260726,admissoes,ppml,-0.006427789106965065,22049,341,75,266
21,20260726,asinh_saldo,ols,0.5042518860228361,22049,341,75,266
21,20260726,desligamentos,ppml,-0.00999070331454277,22049,341,75,266
21,20260726,ln_salario_real_adm,ols,0.008799918834717677,22012,341,75,266
21,20260726,n_movimentacoes,ppml,-0.007863684557378292,22049,341,75,266
22,20260726,admissoes,ppml,-0.032679520547389984,22049,341,75,266
22,20260726,asinh_saldo,ols,-0.4316734605129128,22049,341,75,266
22,20260726,desligamentos,ppml,-0.03586127469316125,22049,341,75,266
22,20260726,ln_salario_real_adm,ols,-0.003895250566240724,22012,341,75,266
22,20260726,n_movimentacoes,ppml,-0.03397374972701073,22049,341,75,266
23,20260726,admissoes,ppml,0.06295880256220698,22049,341,75,266
23,20260726,asinh_saldo,ols,0.06996889834994419,22049,341,75,266
23,20260726,desligamentos,ppml,0.026891837362200022,22049,341,75,266
23,20260726,ln_salario_real_adm,ols,0.0024215471029772253,22012,341,75,266
23,20260726,n_movimentacoes,ppml,0.04564402066171169,22049,341,75,266
24,20260726,admissoes,ppml,-0.08792965766042471,22049,341,75,266
24,20260726,asinh_saldo,ols,0.2417634653281438,22049,341,75,266
24,20260726,desligamentos,ppml,-0.08471966255456209,22049,341,75,266
24,20260726,ln_salario_real_adm,ols,0.01880822571319375,22012,341,75,266
24,20260726,n_movimentacoes,ppml,-0.0858117463067174,22049,341,75,266
25,20260726,admissoes,ppml,-0.00368239963427186,22049,341,75,266
25,20260726,asinh_saldo,ols,0.39887612456070615,22049,341,75,266
25,20260726,desligamentos,ppml,-0.0173136405646801,22049,341,75,266
25,20260726,ln_salario_real_adm,ols,0.014891330230634233,22012,341,75,266
25,20260726,n_movimentacoes,ppml,-0.010686441790312529,22049,341,75,266
26,20260726,admissoes,ppml,0.0805525304749608,22049,341,75,266
26,20260726,asinh_saldo,ols,0.28442029780516537,22049,341,75,266
26,20260726,desligamentos,ppml,0.06733055924996734,22049,341,75,266
26,20260726,ln_salario_real_adm,ols,0.00540653990220128,22012,341,75,266
26,20260726,n_movimentacoes,ppml,0.0741343479603529,22049,341,75,266
27,20260726,admissoes,ppml,-0.03241575509309769,22049,341,75,266
27,20260726,asinh_saldo,ols,-0.1340106632529867,22049,341,75,266
27,20260726,desligamentos,ppml,-0.01976257422938943,22049,341,75,266
27,20260726,ln_salario_real_adm,ols,-0.00645801034703992,22012,341,75,266
27,20260726,n_movimentacoes,ppml,-0.02669348893687129,22049,341,75,266
28,20260726,admissoes,ppml,-0.020388404838740826,22049,341,75,266
28,20260726,asinh_saldo,ols,-0.11788779102736345,22049,341,75,266
28,20260726,desligamentos,ppml,0.019207551144063473,22049,341,75,266
28,20260726,ln_salario_real_adm,ols,-0.00030274564065492987,22012,341,75,266
28,20260726,n_movimentacoes,ppml,-0.0007187230512499809,22049,341,75,266
29,20260726,admissoes,ppml,0.04956143954768777,22049,341,75,266
29,20260726,asinh_saldo,ols,0.9763824712018548,22049,341,75,266
29,20260726,desligamentos,ppml,0.014879155438393354,22049,341,75,266
29,20260726,ln_salario_real_adm,ols,0.023564432933476483,22012,341,75,266
29,20260726,n_movimentacoes,ppml,0.03300798591226339,22049,341,75,266
30,20260726,admissoes,ppml,0.038450004532933235,22049,341,75,266
30,20260726,asinh_saldo,ols,-0.4683257016062601,22049,341,75,266
30,20260726,desligamentos,ppml,0.05147351883351803,22049,341,75,266
30,20260726,ln_salario_real_adm,ols,-0.02772340636948328,22012,341,75,266
30,20260726,n_movimentacoes,ppml,0.045255431439727545,22049,341,75,266
31,20260726,admissoes,ppml,-0.0462364237755537,22049,341,75,266
31,20260726,asinh_saldo,ols,-0.4287733102665428,22049,341,75,266
31,20260726,desligamentos,ppml,-0.01874576136469841,22049,341,75,266
31,20260726,ln_salario_real_adm,ols,-0.031096185745830757,22012,341,75,266
31,20260726,n_movimentacoes,ppml,-0.03322489466518164,22049,341,75,266
32,20260726,admissoes,ppml,0.02738071884959936,22049,341,75,266
32,20260726,asinh_saldo,ols,-0.578880518348764,22049,341,75,266
32,20260726,desligamentos,ppml,0.00012093363329768181,22049,341,75,266
32,20260726,ln_salario_real_adm,ols,-0.0016309126868975271,22012,341,75,266
32,20260726,n_movimentacoes,ppml,0.014211964327841997,22049,341,75,266
33,20260726,admissoes,ppml,0.03690625308081508,22049,341,75,266
33,20260726,asinh_saldo,ols,-0.30011654719543784,22049,341,75,266
33,20260726,desligamentos,ppml,0.020012990105897188,22049,341,75,266
33,20260726,ln_salario_real_adm,ols,-0.00043847288684378507,22012,341,75,266
