outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta
asinh_saldo,average_post_event_time_0_to_23,0,-4.68344382323559,-1.93846466399781,TRUE,-14.1352277323636,14.1352277323636,FALSE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.05,-6.15497904262079,-0.551825707269449,TRUE,-14.1352277323636,14.1352277323636,FALSE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.1,-8.19248934638491,1.40078833383783,FALSE,-14.1352277323636,14.1352277323636,FALSE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.15,-10.3148959128059,3.55149365447774,FALSE,-14.1352277323636,14.1352277323636,FALSE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.2,-12.4938999876647,5.73049772933659,FALSE,-14.1352277323636,14.1352277323636,FALSE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.25,-14.1352277323636,7.90950180419545,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.3,-14.1352277323636,10.1451033874922,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.35,-14.1352277323636,12.35240621657,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.4,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.45,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.5,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.55,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.6,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.65,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.7,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.75,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.8,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.85,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.9,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,0.95,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.05,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.1,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.15,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.2,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.25,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.3,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.35,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.4,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.45,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.5,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.55,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.6,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.65,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.7,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.75,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.8,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.85,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.9,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.95,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,2,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0,-0.0392581346253284,0.0080466984014648,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.05,-0.0831492168151365,0.0524254592822709,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
