event_time,periodo,periodo_num,horizon,partial_horizon
0,2022-12,202212,2022-12_to_2023-11,False
1,2023-01,202301,2022-12_to_2023-11,False
2,2023-02,202302,2022-12_to_2023-11,False
3,2023-03,202303,2022-12_to_2023-11,False
4,2023-04,202304,2022-12_to_2023-11,False
5,2023-05,202305,2022-12_to_2023-11,False
6,2023-06,202306,2022-12_to_2023-11,False
7,2023-07,202307,2022-12_to_2023-11,False
8,2023-08,202308,2022-12_to_2023-11,False
9,2023-09,202309,2022-12_to_2023-11,False
10,2023-10,202310,2022-12_to_2023-11,False
11,2023-11,202311,2022-12_to_2023-11,False
12,2023-12,202312,2023-12_to_2024-11,False
13,2024-01,202401,2023-12_to_2024-11,False
14,2024-02,202402,2023-12_to_2024-11,False
15,2024-03,202403,2023-12_to_2024-11,False
16,2024-04,202404,2023-12_to_2024-11,False
17,2024-05,202405,2023-12_to_2024-11,False
18,2024-06,202406,2023-12_to_2024-11,False
19,2024-07,202407,2023-12_to_2024-11,False
20,2024-08,202408,2023-12_to_2024-11,False
21,2024-09,202409,2023-12_to_2024-11,False
22,2024-10,202410,2023-12_to_2024-11,False
23,2024-11,202411,2023-12_to_2024-11,False
24,2024-12,202412,2024-12_to_2025-11,False
25,2025-01,202501,2024-12_to_2025-11,False
26,2025-02,202502,2024-12_to_2025-11,False
27,2025-03,202503,2024-12_to_2025-11,False
28,2025-04,202504,2024-12_to_2025-11,False
29,2025-05,202505,2024-12_to_2025-11,False
30,2025-06,202506,2024-12_to_2025-11,False
31,2025-07,202507,2024-12_to_2025-11,False
32,2025-08,202508,2024-12_to_2025-11,False
33,2025-09,202509,2024-12_to_2025-11,False
34,2025-10,202510,2024-12_to_2025-11,False
35,2025-11,202511,2024-12_to_2025-11,False
36,2025-12,202512,2025-12_to_cutoff,True
37,2026-01,202601,2025-12_to_cutoff,True
38,2026-02,202602,2025-12_to_cutoff,True
39,2026-03,202603,2025-12_to_cutoff,True
40,2026-04,202604,2025-12_to_cutoff,True
41,2026-05,202605,2025-12_to_cutoff,True
