model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,weight_column,sum_of_weights,result_status,result_error,sensitivity_id,arm,sample_window,treatment_rule,pretrend_status,pretrend_n_obs,nominal_p_value,bh_adjusted_p_value,family_id,family_size,multiplicity_method,significance_symbol,stars_allowed,is_principal,is_reconciliation,hierarchy_frozen_before_estimation,headline_eligible,is_causal_effect,composition_not_transition,computational_sufficient_statistics
pnadc_transition_2022q4_as_pre_informal,informal,post_treat,ols,0.00838323749977402,0.011154545614327728,-0.013713831449629526,0.03048030644917757,0.45386839527286016,114,"{""cod3"": 115}",115,10174530,10174530,10174530,0,0,0,0,True,informal ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,,peso,4244306443.852681,estimated,,transition_2022q4_as_pre,A,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.45386839527286016,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,True
pnadc_transition_2022q4_as_pre_conta_propria,conta_propria,post_treat,ols,0.021104906281493287,0.020675222110655346,-0.019852549478654995,0.06206236204164157,0.30951883673579283,114,"{""cod3"": 115}",115,10174530,10174530,10174530,0,0,0,0,True,conta_propria ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,,peso,4244306443.852681,estimated,,transition_2022q4_as_pre,A,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.30951883673579283,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,True
pnadc_transition_2022q4_as_pre_ocupados_total,ocupados_total,post_treat,ppml,0.060722963508218146,0.04218097243226913,-0.022962884421030512,0.1444088114374668,0.1531088396772069,100,"{""cod3"": 101}",101,5722,5722,5722,0,0,0,0,True,ocupados_total ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,6.260449318545387,,,estimated,,transition_2022q4_as_pre,B,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.1531088396772069,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,False
pnadc_transition_2022q4_as_pre_ocupados_formais,ocupados_formais,post_treat,ppml,0.0415253311873292,0.04729063609760506,-0.05229794392318055,0.13534860629783896,0.3820009501884818,100,"{""cod3"": 101}",101,5722,5722,5722,0,0,0,0,True,ocupados_formais ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,4.239956673573536,,,estimated,,transition_2022q4_as_pre,B,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.3820009501884818,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,False
pnadc_transition_2022q4_as_pre_ocupados_informais,ocupados_informais,post_treat,ppml,0.08026938370474838,0.05658964298379861,-0.032002856218523654,0.1925416236280204,0.1591694554505685,100,"{""cod3"": 101}",101,5722,5722,5722,0,0,0,0,True,ocupados_informais ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,8.35789268678452,,,estimated,,transition_2022q4_as_pre,B,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.1591694554505685,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,False
pnadc_transition_2022q4_as_pre_ln_renda,ln_renda,post_treat,ols,-0.0089155243578871,0.021360897324962637,-0.05123129743649106,0.03340024872071687,0.6771884473800052,114,"{""cod3"": 115}",115,9791909,10174530,9791909,382621,382621,0,0,True,ln_renda ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,,peso,4148613345.3700705,estimated,,transition_2022q4_as_pre,A,2012Q1--2026Q1; 2022Q4 assigned to pre,principal treatment; transition reassigned,not_available,,0.6771884473800052,,none,0,not_applied_sensitivity,,False,False,True,True,False,False,True,True
pnadc_without_2020_informal,informal,post_treat,ols,0.008197388953048357,0.012072644725810228,-0.015718427264980496,0.032113205171077214,0.4985107646039113,114,"{""cod3"": 115}",115,9511403,9511403,9511403,0,0,0,0,True,informal ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,,peso,3891353905.555083,estimated,,without_2020,A,2012Q1--2026Q1; 2020 and 2022Q4 excluded,principal treatment; 2020 excluded,fail,9511403.0,0.4985107646039113,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,True
pnadc_without_2020_conta_propria,conta_propria,post_treat,ols,0.021811579749282335,0.022165611088133832,-0.02209832509623893,0.06572148459480359,0.32718564137291417,114,"{""cod3"": 115}",115,9511403,9511403,9511403,0,0,0,0,True,conta_propria ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,,peso,3891353905.555083,estimated,,without_2020,A,2012Q1--2026Q1; 2020 and 2022Q4 excluded,principal treatment; 2020 excluded,fail,9511403.0,0.32718564137291417,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,True
pnadc_without_2020_ocupados_total,ocupados_total,post_treat,ppml,0.06954351063544544,0.04611423504964988,-0.02194581830155999,0.16103283957245085,0.13468942364700665,100,"{""cod3"": 101}",101,5220,5220,5220,0,0,0,0,True,ocupados_total ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,7.201870440506395,,,estimated,,without_2020,B,2012Q1--2026Q1; 2020 and 2022Q4 excluded,principal treatment; 2020 excluded,fail,5220.0,0.13468942364700665,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,False
pnadc_without_2020_ocupados_formais,ocupados_formais,post_treat,ppml,0.05107347706581716,0.051674062072082805,-0.051446390331612746,0.15359334446324707,0.32535331443348947,100,"{""cod3"": 101}",101,5220,5220,5220,0,0,0,0,True,ocupados_formais ~ post_treat | cod3 + trimestre_num,cod3 + trimestre_num,cod3,,5.240021772244625,,,estimated,,without_2020,B,2012Q1--2026Q1; 2020 and 2022Q4 excluded,principal treatment; 2020 excluded,fail,5220.0,0.32535331443348947,,none,0,not_applied_sensitivity,,False,False,False,True,False,False,True,False
