outcome,sample,joint_lead_count,joint_lead_p_value,linear_pretrend_p_value,dynamic_pre_p_lt_005,lead_covariance_positive_semidefinite,pretrend_status,n_obs,minimum_clusters
informal,full,42,3.32814675423866e-17,0.5230922767836501,0,True,fail,10009479,115
informal,without_2020,38,1.4884910288922962e-15,0.0613044393563544,0,True,fail,9511403,115
conta_propria,full,42,0.0016164445830072,0.9281213192751578,0,True,fail,10009479,115
conta_propria,without_2020,38,0.0009552657081788,0.9214881238529108,0,True,fail,9511403,115
ocupados_total,full,42,2.0196927758440107e-33,0.0002229556478043,2,True,fail,5621,101
ocupados_total,without_2020,38,9.740554881842658e-25,5.8751969229664525e-06,2,True,fail,5220,101
ocupados_formais,full,42,2.374273924484196e-19,0.0034142126554093,3,True,fail,5621,101
ocupados_formais,without_2020,38,3.561964858981417e-16,0.0026348807274145,2,True,fail,5220,101
ocupados_informais,full,42,7.739755490809213e-48,0.1898289600477358,3,True,fail,5621,101
ocupados_informais,without_2020,38,1.6573506878441456e-41,0.646626188011979,3,True,fail,5220,101
ln_renda,full,42,7.98142710440761e-34,0.0003183541568931,0,True,fail,9631074,115
ln_renda,without_2020,38,6.225434524561216e-33,0.0002857690803013,1,True,fail,9150325,115
