artifact_id,caption,component,producer,input_contract,reference_path,command,bytes,sha256
table_3_1,Table 3.1: Final analytical data specification,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_1_base_specs.csv,python run_replication.py --target section3 --mode reproduce,610,ec15f08e0d5a7f04426cfb25ef9ef4aa4776e80c5f2c424c4d5e47445484b7a3
table_3_2,Table 3.2: Employed population by AI exposure gradient,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_2_gradients.csv,python run_replication.py --target section3 --mode reproduce,500,f0d9cc483c1115eacb4cd0f0c7048481b56d380caf36c9bee98528d629ac9cdb
figure_3_1,Figure 3.1: Distribution of AI exposure in Brazil,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_1_histogram_kde.png,python run_replication.py --target section3 --mode reproduce,186588,2b73e2a3a6ea6e0670c7281c772759385842b9ad298ea4554e79f06b4dbd0488
figure_3_2,Figure 3.2: Employed population by AI exposure gradient,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_2_gradient_population.png,python run_replication.py --target section3 --mode reproduce,176056,de72c3a3157dab3b2fe5ac9e25e2dda5c7cbe053f346451d35ae3a116e7f934d
figure_3_3,Figure 3.3: Occupational composition by AI exposure score,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_3_score_by_occupation_group.png,python run_replication.py --target section3 --mode reproduce,158875,649a9eebc20d9df0072fc8eb2416054b62871ef37f0df60b2bfaeed1009c017f
table_3_3,Table 3.3: Largest occupations with high AI exposure,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_3_high_exposure_occupations.csv,python run_replication.py --target section3 --mode reproduce,446,0ba3f97c9466e819f11ac9ce15d9266cbe0cb26d027adf35d8a16d223cec83f4
table_3_4,Table 3.4: AI exposure by sector,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_4_sector_exposure.csv,python run_replication.py --target section3 --mode reproduce,1492,ffc2d20b1a5dc6b190ab3435fbd4c46c217123b57d57f284fe85437eadba69cb
figure_3_4,Figure 3.4: High AI exposure by state,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_4_state_high_exposure.png,python run_replication.py --target section3 --mode reproduce,495051,28c7926bfe33d00e156ebd30f6d4229fbc56bb381def1839c58a01e1d442a127
figure_3_5,Figure 3.5: AI exposure by sex,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_5_sex.png,python run_replication.py --target section3 --mode reproduce,87049,a5030e3c1194185987ce6173fa3ad80371d3cacb7bdc306c6d80ca7d51dea740
figure_3_6,Figure 3.6: AI exposure by race or color,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_6_race.png,python run_replication.py --target section3 --mode reproduce,101928,c0af2fd9eebf71691f23621f033dd2e00d9ebb21445f8a9c84e0d343877489bd
figure_3_7,Figure 3.7: AI exposure by age group,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_7_age.png,python run_replication.py --target section3 --mode reproduce,132653,26dd7225c49910f62af33e6b663b4ca415ff5638aa5b83268c68bd58167d5212
figure_3_8,Figure 3.8: AI exposure by education,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_8_education.png,python run_replication.py --target section3 --mode reproduce,191752,b9226347e0a63504845ec33e9e55677bd699309060282b5c18e5516ab5b7d91c
figure_3_9,Figure 3.9: AI exposure by income group,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_9_income.png,python run_replication.py --target section3 --mode reproduce,138775,3f52b55b72b8b2c52d3a0eb7506d5832d6cb4c028fc675a7f653200bcb1d93c1
figure_3_10,Figure 3.10: AI exposure by formality status,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_10_formality.png,python run_replication.py --target section3 --mode reproduce,91306,d34aa99217f8d7772b2ea12ddb54c1a2ad71740ffde4cb69682269a2afa920c1
table_4_2_1,Table 4.2.1: Occupation-month panel scope,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_1_panel_scope.csv,python run_replication.py --target caged --mode reproduce,515,4796ca75c25f7b3a917919d121042b3cf50303b00d0a53b91c8f030e60aa23a2
table_4_2_2,Table 4.2.2: CBO treatment and control classification,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_2_treatment_classification.csv,python run_replication.py --target caged --mode reproduce,2664,349cc18d57815d0af2f7f19694688f44e7a55c9f6a698bc249b118dec1a26321
table_4_2_3,Table 4.2.3: Panel coverage by exposure group,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_3_panel_coverage.csv,python run_replication.py --target caged --mode reproduce,384,8c748ced3a063ff46e7380e60ff2cb70ca1da827167fa8380050db0755ca3a56
table_4_3_1,Table 4.3.1: Analysis outcomes,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_3_1_outcomes.csv,python run_replication.py --target caged --mode reproduce,1109,d78b3de0788a68ce72cec0692fbc3175f9403e486ccfd5411fd6e6ace6cb457c
table_5_1,Table 5.1: National average results,caged,code.render.phase8b_tables,caged_model_contracts,caged/tables/table_5_1_national_results.csv,python run_replication.py --target caged --mode reproduce,761,24c193fd0f7069b0ffb01a9b4f630a1709e2645d502cb9c7a7d7c45f807ed5be
figure_5_1,Figure 5.1: National event studies and trajectories,caged,code.render.phase8b_figures,caged_event_studies,caged/figures/figure_5_1_national_event_studies.png,python run_replication.py --target caged --mode reproduce,692686,9a1336515d2674bdec56fd70b00c2bead3971c032c365341300ba95154724d63
table_5_1_1,Table 5.1.1: Sector-control co-principal specifications,caged,code.render.phase8b_tables,caged_sector_models,caged/tables/table_5_1_1_sector_control.csv,python run_replication.py --target caged --mode reproduce,5377,255bb41924dc5ec3e884b64eda2625fc818e5fd43ecade1b5ba5b3119036caba
table_5_2_1,Table 5.2.1: Results by sex,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_1_sex.csv,python run_replication.py --target caged --mode reproduce,3700,3adee5f78936559f3b3dec92645ff4f4673e050c005a20b5be36d3ff0bd74cde
figure_5_2_1_1,Figure 5.2.1.1: Admissions by sex,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_1_1_sex_admissions.png,python run_replication.py --target caged --mode reproduce,389782,5d4adaa1c1fbc2fcc7cecbdfc47f76a2881c0611a5379380b205e5e4eb972429
figure_5_2_1_2,Figure 5.2.1.2: Real admission wage by sex,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_1_2_sex_wage.png,python run_replication.py --target caged --mode reproduce,389184,0f52ee41cd0856570d4db4bb8ebc63f33f872e6b553053c247ff92b7e8360cec
table_5_2_2,Table 5.2.2: Results by race or color,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_2_race.csv,python run_replication.py --target caged --mode reproduce,3868,e754c6c06925bafafff0429c3208c586a6013b28409e8a5dbe1e9d7fea1791e6
figure_5_2_2_1,Figure 5.2.2.1: Admissions by race or color,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_2_1_race_admissions.png,python run_replication.py --target caged --mode reproduce,391986,a0e4df25cd858d1824263f855ba9ffb7981b18dd8fced0ae687ef9780b420ad5
figure_5_2_2_2,Figure 5.2.2.2: Real admission wage by race or color,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_2_2_race_wage.png,python run_replication.py --target caged --mode reproduce,388411,ca20a10ae9b05fb7b2fb6dc484f450764ded39e6c2d15160a3de028c6c8b9f04
table_5_2_3,Table 5.2.3: Results by age group,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_3_age.csv,python run_replication.py --target caged --mode reproduce,8669,efbb84ac3f9409a0984f8dd437d8f9ebc741dd9bd03ec33caf07e992e455655a
figure_5_2_3_1,Figure 5.2.3.1: Admissions by age group,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_3_1_age_admissions.png,python run_replication.py --target caged --mode reproduce,595928,a8492c67eacb1498d0c456c958e328ad1333dce10cc13a25614272c737705679
figure_5_2_3_2,Figure 5.2.3.2: Real admission wage by age group,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_3_2_age_wage.png,python run_replication.py --target caged --mode reproduce,674349,76f030138c5e8292ede48381fd7332202f0de29e8a2cc951baab80925851e323
figure_5_2_3_3,Figure 5.2.3.3: Real admission wage for ages 22 to 25,caged,code.render.canaries_wage_figure,caged_canaries_event_study,caged/figures/figure_5_2_3_3_canaries_22_25_wage.png,python run_replication.py --target caged --mode reproduce,348865,2ba8b42fc412971d845c09f970708e69645b792784001c8e9bc7c26548eea2eb
table_5_2_4,Table 5.2.4: Results by education,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_4_education.csv,python run_replication.py --target caged --mode reproduce,5560,d7c18a325310c106e2a34d7fc8201e52bac1ad027115ff0d49eb3ca1f2804e90
figure_5_2_4_1,Figure 5.2.4.1: Admissions by education,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_4_1_education_admissions.png,python run_replication.py --target caged --mode reproduce,415988,58b3a98ce31ef278d168e14673ff42bddeffe87dd7fbc5c071d859c38d106522
figure_5_2_4_2,Figure 5.2.4.2: Real admission wage by education,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_4_2_education_wage.png,python run_replication.py --target caged --mode reproduce,509216,a7ba80a3db057e3b70d27a915a56404e5f0d0c1eff961878bc4df10805f2ab50
table_5_2_5,Table 5.2.5: Results by pre-treatment occupational wage,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_5_income.csv,python run_replication.py --target caged --mode reproduce,5919,7ac8ae99223f360d8d7b10242e913cc497a5ed92036e20b504f0438208ae617e
figure_5_2_5_1,Figure 5.2.5.1: Admissions by pre-treatment income,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_5_1_income_admissions.png,python run_replication.py --target caged --mode reproduce,397367,6210b03ec64d3748e71312d18cd3e0026e9b57186864d1d8f31f9bb7d83d7053
figure_5_2_5_2,Figure 5.2.5.2: Real admission wage by pre-treatment income,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_5_2_income_wage.png,python run_replication.py --target caged --mode reproduce,448796,6a12c827afaa0330d5065885f74aff28ea9fc328231487854d8135126f4a4964
figure_5_2_6,Figure 5.2.6: Within-group DiD estimates by outcome,caged,code.render.phase8b_figures,caged_family_c_130_single_bh,caged/figures/figure_5_2_6_group_outcome_forest.png,python run_replication.py --target caged --mode reproduce,970813,f072d1852c0dd6c213b07bcba75767208b4540703e6ddd84c22744214354ed63
table_c_1,Table C.1: Occupational case selection and exposure composition,caged,code.render.phase8b_tables,caged_occupation_cases,caged/tables/table_c_1_occupation_cases.csv,python run_replication.py --target caged --mode reproduce,2257,ae3da65162c0a655f40391fe5ac2617efdb015b5a6fb0ea23fd0c063dac02991
figure_c_1,Figure C.1: Monthly admissions by occupational case and age,caged,code.render.phase8b_figures,caged_occupation_cases,caged/figures/figure_c_1_occupation_cases_admissions_by_age.png,python run_replication.py --target caged --mode reproduce,1885476,27c622ec737db333240f4b91e2cd540bb9312c9f17030b6888ec3d69d98a92da
figure_c_2,Figure C.2: Monthly real admission wage by occupational case and age,caged,code.render.phase8b_figures,caged_occupation_cases,caged/figures/figure_c_2_occupation_cases_wage_by_age.png,python run_replication.py --target caged --mode reproduce,2004365,36a04a40d4274ffc96b912e562ea627ef0cbea0685b612124aeb785a26cc9eaf
table_a_1,Table A.1: National-result diagnostics,caged,code.render.phase8b_tables,caged_pretrend_contracts,caged/tables/table_a_1_national_diagnostics.csv,python run_replication.py --target caged --mode reproduce,1311,d48dc3747c4443d465f35654747325ed77d2a7cb19de283331d34d1f8f4bfed6
table_a_2,Table A.2: DDD contrasts by sex,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_2_sex.csv,python run_replication.py --target caged --mode reproduce,2072,36573ec7fca8a4812a261a1b4f7f2a701fd1f4d3b66218fd4c89d83020c455c3
table_a_3,Table A.3: DDD contrasts by race or color,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_3_race.csv,python run_replication.py --target caged --mode reproduce,6281,366444b383e909dbbd3aae1bae257fe352929b58ff9118f6a5fe2e9f3454e5fe
