sensitivity_id,outcome,model_outcome,model_id,result_status,error,is_principal,applicable,identical_to_principal,sample_years,sample_window,excluded_years,reference_year,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,nominal_p_value,bh_adjusted_p_value,family_id,family_size,multiplicity_method,multiplicity_status,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,significance_marker,star_source,pretrend_status,pretrend_reason,pretrend_formula,pretrend_reference_year,pretrend_reference_event_time,pretrend_lead_years,pretrend_lead_event_times,pretrend_n_obs,pretrend_minimum_clusters,pretrend_sample_matches_result,pretrend_clusters_match_result,joint_lead_count,joint_lead_statistic,joint_lead_df,joint_lead_p_value,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_p_lt_005,dynamic_min_p_value,lead_covariance_min_eigenvalue,lead_covariance_positive_semidefinite
window_2019_2024,estoque_3112,estoque_3112,rais_sensitivity__window_2019_2024__estoque_3112,estimated,,False,True,True,"[2019, 2020, 2021, 2022, 2023, 2024]",2019-2024,[],2022,post_treat,ppml,-0.042924582022777366,0.015574067676445652,-0.073558562282559,-0.012290601762995727,0.006164792767146876,0.006164792767146876,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,2040.0,2041.0,2041.0,1.0,0.0,1.0,0.0,True,estoque_3112 ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,-4.201636346926512,,none_nonprincipal_sensitivity,fail,estimated_exact_static_sample,"estoque_3112 ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,"[2019, 2020, 2021]","[-3, -2, -1]",2040.0,340.0,True,True,3,6.708086982863783,3.0,0.0818075765968376,-0.009671558479900932,0.006617902818160035,0.14482555136926623,2,0.013787722272509129,3.1651754471761344e-05,True
window_2019_2024,ln_taxa_rotatividade,ln_taxa_rotatividade,rais_sensitivity__window_2019_2024__ln_taxa_rotatividade,estimated,,False,True,True,"[2021, 2022, 2023, 2024]",2021-2024,[],2022,post_treat,ols,-0.017838973055256082,0.026196370614964257,-0.06936687937804965,0.03368893326753748,0.4963546071027143,0.4963546071027143,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1359.0,1360.0,1360.0,1.0,0.0,1.0,0.0,True,ln_taxa_rotatividade ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,pass,estimated_exact_static_sample,"ln_taxa_rotatividade ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,[2021],[-1],1359.0,340.0,True,True,1,0.5248778145332768,1.0,0.46876832956836656,0.018722224909546052,0.02584213255797908,0.46926804081573614,0,0.46926804081573614,0.0006678158151441623,True
window_2019_2024,ln_tempo_emprego_medio,ln_tempo_emprego_medio,rais_sensitivity__window_2019_2024__ln_tempo_emprego_medio,estimated,,False,True,True,"[2019, 2020, 2021, 2022, 2023, 2024]",2019-2024,[],2022,post_treat,ols,-0.026355560624062142,0.01853318244991142,-0.06281007957932393,0.010098958331199642,0.15592411079701352,0.15592411079701352,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,2040.0,2041.0,2041.0,1.0,0.0,1.0,0.0,True,ln_tempo_emprego_medio ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,fail,estimated_exact_static_sample,"ln_tempo_emprego_medio ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,"[2019, 2020, 2021]","[-3, -2, -1]",2040.0,340.0,True,True,3,7.9621319321040565,3.0,0.04680084189336063,-0.0015111897010503866,0.005967496755020756,0.8002387409499567,0,0.16799265897182947,3.682863425388317e-05,True
exclude_2020,estoque_3112,estoque_3112,rais_sensitivity__exclude_2020__estoque_3112,estimated,,False,True,False,"[2019, 2021, 2022, 2023, 2024]",2019-2024 excluding 2020,[2020],2022,post_treat,ppml,-0.04296031030516447,0.014302411117233963,-0.07109295933013776,-0.014827661280191189,0.0028654635686935492,0.0028654635686935492,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1700.0,1701.0,1701.0,1.0,0.0,1.0,0.0,True,estoque_3112 ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,-4.205058996772268,,none_nonprincipal_sensitivity,fail,estimated_exact_static_sample,"estoque_3112 ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,"[2019, 2021]","[-3, -1]",1700.0,340.0,True,True,2,6.159032348028389,2.0,0.04598149831181264,-0.0176039136741841,0.007899512712954368,0.026503820039492698,2,0.013778496017606612,6.044880790322215e-05,True
exclude_2020,ln_taxa_rotatividade,ln_taxa_rotatividade,rais_sensitivity__exclude_2020__ln_taxa_rotatividade,estimated,,False,True,True,"[2021, 2022, 2023, 2024]",2021-2024 excluding 2020,[2020],2022,post_treat,ols,-0.017838973055256082,0.026196370614964257,-0.06936687937804965,0.03368893326753748,0.4963546071027143,0.4963546071027143,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1359.0,1360.0,1360.0,1.0,0.0,1.0,0.0,True,ln_taxa_rotatividade ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,pass,estimated_exact_static_sample,"ln_taxa_rotatividade ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,[2021],[-1],1359.0,340.0,True,True,1,0.5248778145332768,1.0,0.46876832956836656,0.018722224909546052,0.02584213255797908,0.46926804081573614,0,0.46926804081573614,0.0006678158151441623,True
exclude_2020,ln_tempo_emprego_medio,ln_tempo_emprego_medio,rais_sensitivity__exclude_2020__ln_tempo_emprego_medio,estimated,,False,True,False,"[2019, 2021, 2022, 2023, 2024]",2019-2024 excluding 2020,[2020],2022,post_treat,ols,-0.020409755948154334,0.01812640547174383,-0.05606415009477888,0.01524463819847021,0.2609754569285956,0.2609754569285956,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1700.0,1701.0,1701.0,1.0,0.0,1.0,0.0,True,ln_tempo_emprego_medio ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,pass,estimated_exact_static_sample,"ln_tempo_emprego_medio ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2022,0,"[2019, 2021]","[-3, -1]",1700.0,340.0,True,True,2,0.8511644588997002,2.0,0.6533892518970996,-0.00470237193147456,0.006077476598118301,0.4396252276265198,0,0.6158131075729956,0.00012260882809827516,True
exclude_2022,estoque_3112,estoque_3112,rais_sensitivity__exclude_2022__estoque_3112,estimated,,False,True,False,"[2019, 2020, 2021, 2023, 2024]",2019-2024 excluding 2022,[2022],2021,post_treat,ppml,-0.05415485950115611,0.019118991514276765,-0.09176165695466215,-0.016548062047650067,0.0048944939493735795,0.0048944939493735795,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1700.0,1701.0,1701.0,1.0,0.0,1.0,0.0,True,estoque_3112 ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,-5.271460100177525,,none_nonprincipal_sensitivity,warning,estimated_exact_static_sample,"estoque_3112 ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2021,0,"[2019, 2020]","[-2, -1]",1700.0,340.0,True,True,2,4.6704422358089115,2.0,0.09678907836194382,-0.008181998792482355,0.006737870421123323,0.22546692439807625,1,0.0471634636518663,6.238103341916115e-05,True
exclude_2022,ln_taxa_rotatividade,ln_taxa_rotatividade,rais_sensitivity__exclude_2022__ln_taxa_rotatividade,estimated,,False,True,False,"[2021, 2023, 2024]",2021-2024 excluding 2022,[2022],2021,post_treat,ols,-0.008674350434282916,0.03044821551699695,-0.06856557811296832,0.05121687724440249,0.7759034270878433,0.7759034270878433,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1019.0,1020.0,1020.0,1.0,0.0,1.0,0.0,True,ln_taxa_rotatividade ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,not_estimable,no_pre_reference_coefficients,,2021,0,[],[],1019.0,340.0,True,True,0,,,,,,,0,,,
exclude_2022,ln_tempo_emprego_medio,ln_tempo_emprego_medio,rais_sensitivity__exclude_2022__ln_tempo_emprego_medio,estimated,,False,True,False,"[2019, 2020, 2021, 2023, 2024]",2019-2024 excluding 2022,[2022],2021,post_treat,ols,-0.028965689739853848,0.019622510917325697,-0.06756290304192761,0.009631523562219912,0.14083296946960333,0.14083296946960333,,,,,not_applicable_nonprincipal_sensitivity,339.0,"{""cbo_4d"": 340}",340.0,1700.0,1701.0,1701.0,1.0,0.0,1.0,0.0,True,ln_tempo_emprego_medio ~ post_treat | cbo_4d + ano,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,fail,estimated_exact_static_sample,"ln_tempo_emprego_medio ~ i(event_time, treated_main, ref=0) | cbo_4d + ano",2021,0,"[2019, 2020]","[-2, -1]",1700.0,340.0,True,True,2,7.629747872392928,2.0,0.02204049278687011,0.000717920322126199,0.007306454871643386,0.9217852083962426,1,0.024801734621659577,3.78655379192632e-05,True
annual_average_stock,estoque_3112,estoque_medio_ano,rais_sensitivity__annual_average_stock__estoque_3112,not_executable_source_fields_incomplete,admission and separation fields do not identify all monthly employment statuses,False,False,False,"[2019, 2020, 2021, 2022, 2023, 2024]",2019-2024,[],2022,post_treat,ppml,,,,,,,,,,,not_applicable,,,,,,,,,,,False,,cbo_4d + ano,cbo_4d,,,,none_nonprincipal_sensitivity,not_executable_source_fields_incomplete,annual_average_stock_source_fields_incomplete,,2022,0,[],[],,,False,False,0,,,,,,,0,,,
