competenciamov,linhas_mov,linhas_for,linhas_exc,linhas_exc_mesmo_mes,liquido
202001,0,6016,8701,0,-2685
202002,0,11710,8630,0,3080
202003,0,19319,8573,0,10746
202004,0,21580,5035,0,16545
202005,0,36955,4865,0,32090
202006,0,49023,6099,0,42924
202007,0,64245,6463,0,57782
202008,0,84696,7330,0,77366
202009,0,104412,7366,0,97046
202010,0,138823,8478,0,130345
202011,0,171775,8734,0,163041
202012,0,243917,11345,0,232572
202101,2843091,337447,13297,6,3167241
202102,3032935,310242,13552,5,3329625
202103,3077440,300308,14352,0,3363396
202104,2678700,248358,11570,0,2915488
202105,2837927,208184,10155,0,3035956
202106,2909460,178403,8769,0,3079094
202107,3015377,219828,10553,0,3224652
202108,3265478,193109,10782,0,3447805
202109,3262941,197208,9747,0,3450402
202110,3268395,171407,9426,0,3430376
202111,3221420,196749,9642,0,3408527
202112,3141631,119459,10580,0,3250510
202201,3400114,143698,10097,0,3533715
202202,3697779,136641,10520,0,3823900
202203,3769953,145606,10611,0,3904948
202204,3512148,63501,8298,0,3567351
202205,3644902,88433,8335,0,3725000
202206,3519808,68542,7426,0,3580924
202207,3554172,71993,6831,0,3619334
202208,3824961,62726,7478,0,3880209
202209,3575059,57996,7592,0,3625463
202210,3419470,63631,6308,0,3476793
202211,3360293,63648,5819,0,3418122
202212,3196857,81663,7075,0,3271445
202301,3665155,92078,7979,0,3749254
202302,3657903,77062,7068,0,3727897
202303,4141665,81149,8505,0,4214309
202304,3550553,73659,6257,0,3617955
202305,3845134,55923,7845,0,3893212
202306,3671062,53800,6272,0,3718590
202307,3623694,46209,5976,0,3663927
202308,3977578,43942,7317,0,4014203
202309,3622350,61498,6288,0,3677560
202310,3692196,52410,5930,0,3738676
202311,3603407,48142,10206,0,3641343
202312,3435285,51076,6748,0,3479613
202401,3955239,102071,9239,0,4048071
202402,4192029,61199,7987,0,4245241
202403,4280525,52016,7561,0,4324980
202404,4280845,52012,7042,0,4325815
202405,4100841,50627,6343,0,4145125
202406,3941593,42706,6006,0,3978293
202407,4187245,40955,6069,0,4222131
202408,4230307,46196,6220,0,4270283
202409,4080040,42195,6076,0,4116159
202410,4313210,36535,6426,0,4343319
202411,3850117,42041,5412,0,3886746
202412,3584049,47466,6359,0,3625156
202501,4405919,80607,8636,0,4477890
202502,4726389,73037,8779,0,4790647
202503,4397748,51558,6822,0,4442484
202504,4306846,112508,8641,0,4410713
202505,4363458,56865,6967,0,4413356
202506,4111743,70745,6487,0,4176001
202507,4373105,40963,6509,0,4407559
202508,4332432,46786,7111,0,4372107
202509,4371982,34841,6013,0,4400810
202510,4457773,44535,5082,0,4497226
202511,3873940,38833,4667,0,3908106
202512,3664782,42502,3984,0,3703300
202601,4303726,76389,4047,0,4376068
202602,4508213,61276,3845,0,4565644
202603,4825112,53094,2892,0,4875314
202604,4451422,55124,2522,0,4504024
202605,4341646,0,0,0,4341646
