competenciamov,v1_admissoes,v1_desligamentos,v2_mov_admissoes,v2_for_admissoes,v2_exc_admissoes,v2_admissoes,delta_admissoes_abs,delta_admissoes_pct,delta_admissoes_revisao_mov,delta_admissoes_for,delta_admissoes_exc,v2_mov_desligamentos,v2_for_desligamentos,v2_exc_desligamentos,v2_desligamentos,delta_desligamentos_abs,delta_desligamentos_pct,delta_desligamentos_revisao_mov,delta_desligamentos_for,delta_desligamentos_exc,v1_movimentacoes,v2_movimentacoes,delta_movimentacoes_abs,delta_movimentacoes_pct
202101,1550075,1293016,1550075,169573,8778,1710870,160795,10.37336903053078,0,169573,-8778,1293016,167874,4519,1456371,163355,12.63364103769791,0,167874,-4519,2843091,3167241,324150,11.401323418772034
202102,1715425,1317510,1715425,156811,8499,1863737,148312,8.645787487065887,0,156811,-8499,1317510,153431,5053,1465888,148378,11.262001806437901,0,153431,-5053,3032935,3329625,296690,9.782273606259283
202103,1626885,1450555,1626885,139158,7229,1758814,131929,8.10930090325991,0,139158,-7229,1450555,161150,7123,1604582,154027,10.618487406544391,0,161150,-7123,3077440,3363396,285956,9.29200894249766
202104,1396311,1282389,1396311,112567,5993,1502885,106574,7.632540315159016,0,112567,-5993,1282389,135791,5577,1412603,130214,10.154017228781594,0,135791,-5577,2678700,2915488,236788,8.839661029603912
202105,1558316,1279611,1558316,98677,5677,1651316,93000,5.967980820321424,0,98677,-5677,1279611,109507,4478,1384640,105029,8.207885052566757,0,109507,-4478,2837927,3035956,198029,6.977945521502138
202106,1609748,1299712,1609748,93606,4736,1698618,88870,5.520739892206731,0,93606,-4736,1299712,84797,4033,1380476,80764,6.213992022848139,0,84797,-4033,2909460,3079094,169634,5.830429014318808
202107,1666051,1349326,1666051,104378,4596,1765833,99782,5.989132385503205,0,104378,-4596,1349326,115450,5957,1458819,109493,8.114643903697106,0,115450,-5957,3015377,3224652,209275,6.940259874635908
202108,1819411,1446067,1819411,103674,5262,1917823,98412,5.409003243357328,0,103674,-5262,1446067,89435,5520,1529982,83915,5.802981466280608,0,89435,-5520,3265478,3447805,182327,5.583470475072868
202109,1789967,1472974,1789967,104694,4389,1890272,100305,5.603734593989722,0,104694,-4389,1472974,92514,5358,1560130,87156,5.917008718415939,0,92514,-5358,3262941,3450402,187461,5.745154448088396
202110,1760739,1507656,1760739,85176,4285,1841630,80891,4.5941505242969,0,85176,-4285,1507656,86231,5141,1588746,81090,5.37854789156147,0,86231,-5141,3268395,3430376,161981,4.95597992286734
202111,1772766,1448654,1772766,93384,4811,1861339,88573,4.996316490726921,0,93384,-4811,1448654,103365,4831,1547188,98534,6.801762187520278,0,103365,-4831,3221420,3408527,187107,5.808215010771647
202112,1437910,1703721,1437910,45349,3667,1479592,41682,2.8987906058098214,0,45349,-3667,1703721,74110,6913,1770918,67197,3.9441316976195044,0,74110,-6913,3141631,3250510,108879,3.465683907499003
202201,1777646,1622468,1777646,78321,5395,1850572,72926,4.102391589776592,0,78321,-5395,1622468,65377,4702,1683143,60675,3.739673139932498,0,65377,-4702,3400114,3533715,133601,3.929309429036791
202202,2013143,1684636,2013143,80850,5309,2088684,75541,3.752391161482319,0,80850,-5309,1684636,55791,5211,1735216,50580,3.0024290113710026,0,55791,-5211,3697779,3823900,126121,3.4107230313114982
