Sector,Total (M),% BR,Exposure Mean,Low (M),Low (%),Moderate (M),Moderate (%),High (M),High (%),Exposed (M),Exposed (%)
Finanças e Seguros,1.53,1.6,0.512,0.14,9.2,0.55,36.0,0.84,54.9,1.39,90.8
Informação e Comunicação,1.73,1.8,0.456,0.33,19.2,0.85,48.9,0.55,31.9,1.40,80.8
Serviços Profissionais,4.07,4.2,0.420,1.89,46.5,0.91,22.3,1.27,31.2,2.18,53.5
Atividades Imobiliárias,0.70,0.7,0.386,0.48,68.8,0.09,13.4,0.12,17.8,0.22,31.2
Administração Pública,4.27,4.5,0.352,2.31,54.1,0.84,19.6,1.12,26.3,1.96,45.9
Comércio,17.83,18.6,0.342,7.19,40.3,9.27,52.0,1.36,7.7,10.63,59.7
Artes e Cultura,1.10,1.1,0.316,0.83,75.1,0.17,15.5,0.10,9.4,0.27,24.9
Saúde,6.19,6.5,0.300,4.59,74.2,0.75,12.1,0.85,13.7,1.60,25.8
Serviços Administrativos,4.37,4.6,0.294,3.02,69.1,0.53,12.1,0.82,18.8,1.35,30.9
Utilidades,0.72,0.8,0.293,0.52,71.5,0.10,13.4,0.11,15.2,0.21,28.5
Educação,7.18,7.5,0.290,6.07,84.4,0.47,6.5,0.65,9.0,1.12,15.6
Transporte,5.72,6.0,0.280,3.48,60.8,1.78,31.2,0.46,8.0,2.24,39.2
Alojamento e Alimentação,5.09,5.3,0.266,3.86,75.7,1.01,19.8,0.23,4.4,1.24,24.3
Ind. Extrativa,0.59,0.6,0.262,0.50,84.0,0.06,9.5,0.04,6.4,0.09,16.0
Ind. Transformação,11.31,11.8,0.245,9.60,84.9,0.95,8.4,0.76,6.7,1.71,15.1
Outros Serviços,4.04,4.2,0.219,3.60,89.2,0.18,4.5,0.25,6.3,0.44,10.8
Serviços Domésticos,5.30,5.5,0.160,5.26,99.3,0.04,0.7,0.00,0.0,0.04,0.7
Agropecuária,6.97,7.3,0.155,6.86,98.4,0.05,0.8,0.06,0.8,0.11,1.6
Construção,7.23,7.5,0.146,6.94,95.9,0.11,1.6,0.18,2.5,0.29,4.1
