model_id,cut,outcome,position,term,event_time,coefficient,standard_error,n_obs,minimum_clusters,reference_event_time,status
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,0,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",-23,-0.23832662635972154,0.04956522763320951,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,1,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",-22,-0.23183453689292755,0.052259787526686065,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,2,"C(event_time, contr.treatment(base=-1))[-21]:pretrend_treated_high",-21,-0.22379088075544726,0.05305821863622026,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,3,"C(event_time, contr.treatment(base=-1))[-20]:pretrend_treated_high",-20,-0.1768688043233486,0.05157687205631598,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,4,"C(event_time, contr.treatment(base=-1))[-19]:pretrend_treated_high",-19,-0.08891956671806356,0.04957927260647677,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,5,"C(event_time, contr.treatment(base=-1))[-18]:pretrend_treated_high",-18,-0.02342194104642149,0.04842688430157499,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,6,"C(event_time, contr.treatment(base=-1))[-17]:pretrend_treated_high",-17,-0.0806951371185183,0.04866482907300971,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,7,"C(event_time, contr.treatment(base=-1))[-16]:pretrend_treated_high",-16,-0.06184081453334768,0.04536131627231182,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,8,"C(event_time, contr.treatment(base=-1))[-15]:pretrend_treated_high",-15,-0.034207241951252576,0.0480173431618577,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,9,"C(event_time, contr.treatment(base=-1))[-14]:pretrend_treated_high",-14,-0.06903013914355098,0.04550992138202316,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,10,"C(event_time, contr.treatment(base=-1))[-13]:pretrend_treated_high",-13,0.032558944475316334,0.04239278791248922,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,11,"C(event_time, contr.treatment(base=-1))[-12]:pretrend_treated_high",-12,-0.1388833510035806,0.04873931626084906,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,12,"C(event_time, contr.treatment(base=-1))[-11]:pretrend_treated_high",-11,-0.2781532266802495,0.04963482850123689,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,13,"C(event_time, contr.treatment(base=-1))[-10]:pretrend_treated_high",-10,-0.22376346930857263,0.049626353233898655,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,14,"C(event_time, contr.treatment(base=-1))[-9]:pretrend_treated_high",-9,-0.12380266710344338,0.050696496432277506,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,15,"C(event_time, contr.treatment(base=-1))[-8]:pretrend_treated_high",-8,-0.08475876490095863,0.04883396076723544,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,16,"C(event_time, contr.treatment(base=-1))[-7]:pretrend_treated_high",-7,-0.11768276374938587,0.050367809355142304,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,17,"C(event_time, contr.treatment(base=-1))[-6]:pretrend_treated_high",-6,-0.11211142991889778,0.04858935515957926,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,18,"C(event_time, contr.treatment(base=-1))[-5]:pretrend_treated_high",-5,-0.0811625225123373,0.048800806193065135,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,19,"C(event_time, contr.treatment(base=-1))[-4]:pretrend_treated_high",-4,-0.06771227757815469,0.049180376005659804,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,20,"C(event_time, contr.treatment(base=-1))[-3]:pretrend_treated_high",-3,-0.10237995933410772,0.04764539316991673,1533998,657,-1,estimated
spatial_pretrend__within_sample__asinh_saldo,within_sample,asinh_saldo,21,"C(event_time, contr.treatment(base=-1))[-2]:pretrend_treated_high",-2,-0.13335360661427537,0.04625317122130412,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,0,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",-23,-0.0514805469667496,0.015225448272285402,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,1,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",-22,-0.04441269599625812,0.01578986855043876,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,2,"C(event_time, contr.treatment(base=-1))[-21]:pretrend_treated_high",-21,-0.04746342408310849,0.015539558355077926,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,3,"C(event_time, contr.treatment(base=-1))[-20]:pretrend_treated_high",-20,-0.044401154898301855,0.015344086180506254,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,4,"C(event_time, contr.treatment(base=-1))[-19]:pretrend_treated_high",-19,-0.023743837599765068,0.015056677950144691,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,5,"C(event_time, contr.treatment(base=-1))[-18]:pretrend_treated_high",-18,-0.0022852222127965126,0.014833689011624036,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,6,"C(event_time, contr.treatment(base=-1))[-17]:pretrend_treated_high",-17,-0.008514760724050998,0.014779321066452675,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,7,"C(event_time, contr.treatment(base=-1))[-16]:pretrend_treated_high",-16,-0.012499057763295063,0.014334030288801976,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,8,"C(event_time, contr.treatment(base=-1))[-15]:pretrend_treated_high",-15,0.013049227198385376,0.014430801709799445,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,9,"C(event_time, contr.treatment(base=-1))[-14]:pretrend_treated_high",-14,0.008660453062817059,0.01404512880205539,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,10,"C(event_time, contr.treatment(base=-1))[-13]:pretrend_treated_high",-13,0.006455231715006723,0.014165181327946832,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,11,"C(event_time, contr.treatment(base=-1))[-12]:pretrend_treated_high",-12,-0.012035901923685461,0.014640318824221775,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,12,"C(event_time, contr.treatment(base=-1))[-11]:pretrend_treated_high",-11,-0.03205192417267082,0.013855525087336416,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,13,"C(event_time, contr.treatment(base=-1))[-10]:pretrend_treated_high",-10,-0.03424539792317801,0.013804510285807831,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,14,"C(event_time, contr.treatment(base=-1))[-9]:pretrend_treated_high",-9,-0.005347415177506799,0.013939881288674828,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,15,"C(event_time, contr.treatment(base=-1))[-8]:pretrend_treated_high",-8,-0.0038412627814308257,0.013987006811941812,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,16,"C(event_time, contr.treatment(base=-1))[-7]:pretrend_treated_high",-7,-0.013551487074235273,0.013814634665401546,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,17,"C(event_time, contr.treatment(base=-1))[-6]:pretrend_treated_high",-6,-0.004354868833801989,0.013712768962599656,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,18,"C(event_time, contr.treatment(base=-1))[-5]:pretrend_treated_high",-5,0.006307443574164576,0.013565268579151428,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,19,"C(event_time, contr.treatment(base=-1))[-4]:pretrend_treated_high",-4,0.00706102318860933,0.01288491281031839,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,20,"C(event_time, contr.treatment(base=-1))[-3]:pretrend_treated_high",-3,0.006721805629871037,0.013818355538341372,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,21,"C(event_time, contr.treatment(base=-1))[-2]:pretrend_treated_high",-2,-0.023344982966262844,0.01333694753124015,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,0,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",-23,-0.01777826283553574,0.014007497993241396,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,1,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",-22,0.001540968648089682,0.013520062048717873,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,2,"C(event_time, contr.treatment(base=-1))[-21]:pretrend_treated_high",-21,0.0037975903578316944,0.013480340851517104,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,3,"C(event_time, contr.treatment(base=-1))[-20]:pretrend_treated_high",-20,-0.005641806029857523,0.01367813454189422,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,4,"C(event_time, contr.treatment(base=-1))[-19]:pretrend_treated_high",-19,-0.004347205548447243,0.01348287287825734,1533998,657,-1,estimated
