model_id,outcome,term,estimator,coefficient_python,standard_error_python,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters_python,n_obs_python,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,cut,falsification,false_event_period,sample_start,sample_end,true_post_rows,lower_order_included,lower_order_absorbed,real_treatment_coefficient_estimated,event_time,reference_event_time_python,status_python,position,coefficient_r,standard_error_r,n_obs_r,minimum_clusters_r,reference_event_time_r,status_r,_merge,coefficient_absolute_difference,standard_error_absolute_difference,same_n_obs,same_minimum_clusters,same_reference_event_time,same_status,comparison_pass
spatial_placebo__old_national__asinh_saldo,asinh_saldo,placebo_triple,ols,-0.058521614616131,0.0211890100233584,-0.1001280754172465,-0.0169151538150154,0.0059077459648981,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,asinh_saldo ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,old_national,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,-0.0585216146161254,0.0211890100235484,1533998,657,,estimated,both,5.599687380453133e-15,1.9000079287678773e-13,True,True,True,True,True
spatial_placebo__old_national__ln_admissoes,ln_admissoes,placebo_triple,ols,0.0128142621793367,0.0082353945437505,-0.003356650000541,0.0289851743592145,0.1201907158526423,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,ln_admissoes ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,old_national,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.0128142621793439,0.0082353945441272,1533998,657,,estimated,both,7.200837148779726e-15,3.767004069787916e-13,True,True,True,True,True
spatial_placebo__old_national__ln_desligamentos,ln_desligamentos,placebo_triple,ols,0.0184491823911162,0.0073800555144559,0.0039578026554055,0.0329405621268269,0.0126669664350524,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,ln_desligamentos ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,old_national,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.0184491823911137,0.0073800555146959,1533998,657,,estimated,both,2.501471252358556e-15,2.4000072762486724e-13,True,True,True,True,True
spatial_placebo__old_national__ln_salario_real_adm,ln_salario_real_adm,placebo_triple,ols,0.0019810665589743,0.0038095713951667,-0.0054993576206981,0.0094614907386468,0.6032226499536046,656.0,"{""id_municipio"": 657}",657,1231420,1534113.0,1233285.0,302693.0,300828.0,1865.0,0.0,True,ln_salario_real_adm ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,old_national,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.0019810665589728,0.0038095713953233,1231420,657,,estimated,both,1.500102125850944e-15,1.565999933894613e-13,True,True,True,True,True
spatial_placebo__within_sample__asinh_saldo,asinh_saldo,placebo_triple,ols,-0.0138548687105169,0.0158258471240462,-0.0449302935314596,0.0172205561104256,0.3816450352167055,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,asinh_saldo ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,-0.0138548687105247,0.0158258471110942,1533998,657,,estimated,both,7.799316747991725e-15,1.2952000583155154e-11,True,True,True,True,True
spatial_placebo__within_sample__ln_admissoes,ln_admissoes,placebo_triple,ols,0.0096072850910056,0.0055744922444444,-0.0013387144058523,0.0205532845878635,0.0852807608456442,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,ln_admissoes ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.0096072850910104,0.0055744922433742,1533998,657,,estimated,both,4.799979858027825e-15,1.0702003519491576e-12,True,True,True,True,True
spatial_placebo__within_sample__ln_desligamentos,ln_desligamentos,placebo_triple,ols,0.0076691708642856,0.0050110922466688,-0.0021705438228073,0.0175088855513786,0.1263901654927197,656.0,"{""id_municipio"": 657}",657,1533998,1534113.0,1534113.0,115.0,0.0,115.0,0.0,True,ln_desligamentos ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.007669170864289,0.0050110922486232,1533998,657,,estimated,both,3.400058012914542e-15,1.95440018335713e-12,True,True,True,True,True
spatial_placebo__within_sample__ln_salario_real_adm,ln_salario_real_adm,placebo_triple,ols,0.0011693117336147,0.0025091078126839,-0.0037575392961938,0.0060961627634232,0.641350943794073,656.0,"{""id_municipio"": 657}",657,1231420,1534113.0,1233285.0,302693.0,300828.0,1865.0,0.0,True,ln_salario_real_adm ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112.0,202101.0,202211.0,0.0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False,,,estimated,,0.001169311733615,0.0025091078132539,1231420,657,,estimated,both,3.0010716134398763e-16,5.699997765451492e-13,True,True,True,True,True
spatial_pretrend__old_national__asinh_saldo,asinh_saldo,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",,-0.3357731103105288,0.0647180241409981,,,,,,657,1533998,,,,,,,,,,,,,old_national,,,,,,,,,-23.0,-1.0,estimated,0.0,-0.335773110310749,0.064718024415818,1533998,657,-1.0,estimated,both,2.202127369343998e-13,2.748199029456444e-10,True,True,True,True,True
spatial_pretrend__old_national__asinh_saldo,asinh_saldo,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",,-0.3741111768339599,0.0763164525252776,,,,,,657,1533998,,,,,,,,,,,,,old_national,,,,,,,,,-22.0,-1.0,estimated,1.0,-0.374111176834322,0.0763164526001892,1533998,657,-1.0,estimated,both,3.620992394814948e-13,7.491159081940424e-11,True,True,True,True,True
