dimension,group_id,group_label,outcome,coefficient,standard_error,adjusted_ci_low,adjusted_ci_high,nominal_p_value,bh_adjusted_p_value,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_discovery_alpha,adjusted_interval_method,family_id,family_size
sex,men,Men,admissoes,-0.0778784829017796,0.0272230190336014,-0.1441801260997756,-0.0115768397037835,0.0044876738739709,0.018819277536007,True,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,admissoes,-0.0723873481863334,0.0463534238272003,-0.1852827688412061,0.0405080724685393,0.1193059009516916,0.2280848106429398,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,admissoes,-0.0741052739665235,0.0322121368800767,-0.1525590847750927,0.0043485368420457,0.0220243408998903,0.0650719162951304,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_26_30,Age 26-30,admissoes,-0.0753225441457009,0.0312277043656172,-0.1513775955779502,0.0007325072865484,0.0163925868576113,0.0519764949143772,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_31_34,Age 31-34,admissoes,-0.0597147336621077,0.0316077873956221,-0.1366954770394676,0.0172660097152522,0.0597102368203599,0.1411332870299415,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,admissoes,-0.0530084180624059,0.0331055183740798,-0.1336380914339381,0.0276212553091263,0.1102649665983488,0.2171885705725052,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,admissoes,-0.0160675010706727,0.0400435712929788,-0.11359359003838,0.0814585878970346,0.6884878003107413,0.7458617836699697,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,admissoes,-0.0296061301892429,0.0592220858126535,-0.1738414774203912,0.1146292170419054,0.6174568693955707,0.6919775260467602,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,admissoes,-0.024075244020011,0.0349550963643234,-0.1092083559734776,0.0610578679334556,0.491451720404199,0.5915622560420913,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,admissoes,-0.0382815917793099,0.0540056420688657,-0.1698142634936991,0.0932510799350793,0.4789082711383443,0.5818511705419136,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,admissoes,-0.0662787379565409,0.0438964918089236,-0.1731886120585532,0.0406311361454714,0.1320010301239065,0.2441470915797153,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,admissoes,-0.3479127990737032,0.0804936143954778,-0.5439637975423783,-0.1518618006050281,2.035816685785896e-05,0.0002646561691521,True,adequate,75,264,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,admissoes,-0.1105076252535524,0.0890171888276151,-0.3273813913708424,0.1063661408637376,0.215363069488393,0.3076615278405614,False,adequate,73,259,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,admissoes,-0.0505691077198708,0.0240324519907778,-0.1091010035940825,0.0079627881543409,0.0360969277801987,0.0948141926373284,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,admissoes,0.0017584034090176,0.0530858334681628,-0.1275359890010625,0.1310527958190977,0.9735954318454314,0.9735954318454314,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,admissoes,-0.0438070225507005,0.0313763509215403,-0.1202241025625595,0.0326100574611585,0.1635712934127102,0.2605623252786063,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,admissoes,-0.1074563133781788,0.0370634179653978,-0.1977255926812451,-0.0171870340751124,0.0039843166395707,0.0172653721048063,True,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,admissoes,-0.0303514400240769,0.0320868137211418,-0.1085981379741908,0.047895257926037,0.3450308161422388,0.4530707686716266,False,adequate,46,227,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,admissoes,-0.1913587356126855,0.0663962691545913,-0.3572411887441892,-0.0254762824811818,0.0055613762425028,0.0212640856330989,True,limited,26,32,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,admissoes,-0.0068307289461444,0.0954008103648888,-0.2995610076356845,0.2858995497433957,0.9446776223982476,0.95200070474242,False,thin,3,6,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_18_24,Age 18-24,admissoes,-0.0379758436745453,0.0359696855775695,-0.1255799869242156,0.049628299575125,0.2918212844304935,0.3993343892206753,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_25_34,Age 25-34,admissoes,-0.0693030412476858,0.0313728152193658,-0.1457115100594521,0.0071054275640804,0.027839925289768,0.078678049731953,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_35_44,Age 35-44,admissoes,-0.0454282877071866,0.0343476831871388,-0.1290820453062465,0.0382254698918733,0.1868569560987594,0.2857812269745732,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_45_54,Age 45-54,admissoes,-0.01248872822123,0.0468601165328935,-0.1266165081983724,0.1016390517559124,0.7900073816603324,0.8216076769267456,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_55_65,Age 55-65,admissoes,-0.0398861467684038,0.0677753861107822,-0.2049555223024984,0.1251832287656908,0.5565853342642646,0.6460365486995928,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_aggregate,race_negra,Black or Pardo,admissoes,-0.0621257172586876,0.0445799406422894,-0.1707001305008289,0.0464486959834537,0.1643546974834286,0.2605623252786063,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
