dimension,group_id,group_label,outcome,coefficient,standard_error,adjusted_ci_low,adjusted_ci_high,nominal_p_value,bh_adjusted_p_value,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_discovery_alpha,adjusted_interval_method,family_id,family_size
sex,men,Men,desligamentos,-0.0635432237571123,0.0243874304340855,-0.1229387929686282,-0.0041476545455963,0.0095752513108526,0.0336427748759686,True,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,desligamentos,-0.0776432705137559,0.0371176162754912,-0.1680431981492685,0.0127566571217567,0.0371963371115673,0.0948141926373284,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,desligamentos,-0.0530134494522436,0.0359362776734424,-0.1405375382841221,0.0345106393796349,0.1410850267868744,0.2441470915797153,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_26_30,Age 26-30,desligamentos,-0.0680411381754881,0.0267158509405139,-0.1331075738490068,-0.0029747025019693,0.0113103219320549,0.0377010731068496,True,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_31_34,Age 31-34,desligamentos,-0.0525727525308174,0.025119967821157,-0.1137524160195646,0.0086069109579298,0.0371018533987428,0.0948141926373284,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,desligamentos,-0.0475635628696187,0.0265073439505891,-0.1121231465780634,0.016996020838826,0.0736475493267554,0.162274261228444,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,desligamentos,-0.0144848640146224,0.0295043517042707,-0.0863426912846331,0.0573729632553883,0.6237856624417644,0.6930951804908493,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,desligamentos,-0.0631095965410156,0.0353702441998758,-0.1492538007481827,0.0230346076661515,0.0752735915797095,0.1630927817560372,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,desligamentos,-0.0181920675700475,0.0250367070456215,-0.0791689495001024,0.0427848143600074,0.4679612778524364,0.5793806297220641,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,desligamentos,0.0092219725721512,0.0434945858833162,-0.0967106460799595,0.1151545912242619,0.8322143589120172,0.8586338623695416,False,adequate,75,265,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,desligamentos,-0.0699610107985406,0.0398578549505345,-0.1670347877483346,0.0271127661512534,0.0801149387379243,0.1707367546873796,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,desligamentos,-0.2721935043838631,0.0556464655547244,-0.4077265552375139,-0.1366604535302122,1.5529454404639154e-06,4.03765814520618e-05,True,adequate,75,264,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,desligamentos,-0.0387161417532768,0.0685363907403606,-0.2056810763302272,0.1282487928236736,0.572534547840228,0.6586680638869878,False,adequate,73,259,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,desligamentos,-0.0174747586456413,0.0281114994778435,-0.085941320481966,0.0509918031906834,0.534607499493843,0.6318088630381782,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,desligamentos,0.0141308207828173,0.0468542323528396,-0.099982628278053,0.1282442698436875,0.763148148198324,0.800074671498243,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,desligamentos,-0.0454815494211288,0.0306823757245534,-0.120208453341861,0.0292453544996034,0.1391775108635466,0.2441470915797153,False,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,desligamentos,-0.0938889443554784,0.0363462699555087,-0.1824102585856797,-0.005367630125277,0.0102065508497317,0.0349171476438189,True,adequate,75,266,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,desligamentos,-0.0409139143683539,0.0299416442471907,-0.1139294158108052,0.0321015870740974,0.1729246596371636,0.2708458524437502,False,adequate,46,227,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,desligamentos,-0.1027601900980564,0.0799735335290572,-0.302563674485209,0.0970432942890962,0.2040146636367943,0.2979989468852052,False,limited,26,32,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,desligamentos,0.1563690423231793,0.1053047233501027,-0.1667506554623817,0.4794887401087403,0.1758649773260776,0.2721719887189295,False,thin,3,6,0.0153846153846153,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
