kind,old_number,new_number,source,revision_artifact,operation
table,4.2.1,4.1.1,results/reference/artifacts/caged/tables/table_4_2_1_panel_scope.csv,sections/04_method.md,"reordered, relabeled, presentation corrected"
table,4.2.2,4.2.1,results/reference/artifacts/caged/tables/table_4_2_2_treatment_classification.csv,sections/04_method.md,"reordered, relabeled, presentation corrected"
table,4.2.3,4.2.2,results/reference/artifacts/caged/tables/table_4_2_3_panel_coverage.csv,sections/04_method.md,"reordered, relabeled, presentation corrected"
table,4.3.1,4.4.1,results/reference/artifacts/caged/tables/table_4_3_1_outcomes.csv,sections/04_method.md,"reordered, relabeled, presentation corrected"
table,5.1,5.1,results/reference/artifacts/caged/tables/table_5_1_national_results.csv,tables/national.md,"same estimates, nominal stars restored"
table,5.1.1,5.2.1,results/reference/artifacts/caged/tables/table_5_1_1_sector_control.csv,tables/sector.md,"same estimates, nominal stars restored"
table,A.3,5.3.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/main_sex.md,DDD selection for main text; original BH families unchanged
table,A.3,A.3.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/ddd_sex.md,"complete DDD estimates, partitions and diagnostics"
table,5.2.1,A.3.2,results/reference/artifacts/caged/models/group_did_results.csv,tables/did_sex.md,within-group DiDs moved and expanded to all saved partitions
table,A.4,5.3.2,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/main_race.md,DDD selection for main text; original BH families unchanged
table,A.4,A.4.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/ddd_race.md,"complete DDD estimates, partitions and diagnostics"
table,5.2.2,A.4.2,results/reference/artifacts/caged/models/group_did_results.csv,tables/did_race.md,within-group DiDs moved and expanded to all saved partitions
table,A.5,5.3.3,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/main_age.md,DDD selection for main text; original BH families unchanged
table,A.5,A.5.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/ddd_age.md,"complete DDD estimates, partitions and diagnostics"
table,5.2.3,A.5.2,results/reference/artifacts/caged/models/group_did_results.csv,tables/did_age.md,within-group DiDs moved and expanded to all saved partitions
table,A.6,5.3.4,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/main_education.md,DDD selection for main text; original BH families unchanged
table,A.6,A.6.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/ddd_education.md,"complete DDD estimates, partitions and diagnostics"
table,5.2.4,A.6.2,results/reference/artifacts/caged/models/group_did_results.csv,tables/did_education.md,within-group DiDs moved and expanded to all saved partitions
table,A.7,5.3.5,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/main_income.md,DDD selection for main text; original BH families unchanged
