### A.4 Raça/cor
**Tabela A.4: Contrastes DDD por raça/cor — seis categorias**
Contrastes DDD · **Família A**, de 100 testes

[TABLE]
Grupo | Resultado | DDD (EP) | p nominal | p BH | Pretrend grupo | Pretrend DDD | MDE 80% | N · CBOs trat./controle · suporte
Branca | Admissões (PPML, nível) | 0,0827 (0,0188) | \< 0,001 | \< 0,001 | fail | fail | 0,0982 | 15.935 · 75/266 · adequate
Branca | Desligamentos (PPML, nível) | 0,0651 (0,0136) | \< 0,001 | \< 0,001 | fail | fail | 0,0703 | 15.935 · 75/266 · adequate
Branca | Fluxo bruto (PPML, nível) | 0,0743 (0,0144) | \< 0,001 | \< 0,001 | fail | fail | 0,0794 | 15.935 · 75/266 · adequate
Branca | Salário real de admissão (log) | −0,0080 (0,0088) | 0,361 | 0,556 | fail | fail | 0,0320 | 15.802 · 75/266 · adequate
Branca | Saldo líquido (asinh) | 0,7390 (0,2544) | 0,004 | 0,026 | fail | fail | 0,8436 | 15.935 · 75/266 · adequate
Preta | Admissões (PPML, nível) | −0,0088 (0,0399) | 0,825 | 0,907 | fail | fail | 0,1517 | 15.926 · 75/265 · adequate
Preta | Desligamentos (PPML, nível) | 0,0445 (0,0309) | 0,150 | 0,341 | fail | fail | 0,1222 | 15.926 · 75/265 · adequate
Preta | Fluxo bruto (PPML, nível) | 0,0160 (0,0356) | 0,653 | 0,787 | fail | fail | 0,1346 | 15.926 · 75/265 · adequate
Preta | Salário real de admissão (log) | −0,0052 (0,0101) | 0,608 | 0,742 | fail | fail | 0,0343 | 14.922 · 75/265 · adequate
Preta | Saldo líquido (asinh) | 0,2580 (0,2821) | 0,361 | 0,556 | fail | fail | 0,4386 | 15.935 · 75/265 · adequate
Parda | Admissões (PPML, nível) | −0,0817 (0,0304) | 0,008 | 0,042 | fail | fail | 0,1233 | 15.935 · 75/266 · adequate
Parda | Desligamentos (PPML, nível) | −0,0886 (0,0292) | 0,003 | 0,018 | fail | fail | 0,1120 | 15.935 · 75/266 · adequate
Parda | Fluxo bruto (PPML, nível) | −0,0848 (0,0293) | 0,004 | 0,026 | fail | fail | 0,1151 | 15.935 · 75/266 · adequate
Parda | Salário real de admissão (log) | −0,0102 (0,0092) | 0,270 | 0,465 | fail | pass | 0,0276 | 15.804 · 75/266 · adequate
Parda | Saldo líquido (asinh) | 0,1655 (0,2834) | 0,560 | 0,708 | fail | fail | 0,7276 | 15.935 · 75/266 · adequate
Amarela | Admissões (PPML, nível) | −0,2770 (0,0576) | \< 0,001 | \< 0,001 | fail | fail | 0,2262 | 15.832 · 75/264 · adequate
Amarela | Desligamentos (PPML, nível) | −0,2179 (0,0365) | \< 0,001 | \< 0,001 | fail | fail | 0,1564 | 15.832 · 75/264 · adequate
Amarela | Fluxo bruto (PPML, nível) | −0,2487 (0,0466) | \< 0,001 | \< 0,001 | fail | fail | 0,1901 | 15.879 · 75/264 · adequate
Amarela | Salário real de admissão (log) | −0,0171 (0,0150) | 0,254 | 0,454 | fail | warning | 0,0486 | 11.300 · 75/264 · adequate
Amarela | Saldo líquido (asinh) | 0,3108 (0,3305) | 0,348 | 0,552 | fail | fail | 0,2746 | 15.935 · 75/264 · adequate
Indígena | Admissões (PPML, nível) | −0,1744 (0,1003) | 0,083 | 0,218 | fail | fail | 0,2502 | 15.040 · 73/259 · adequate
Indígena | Desligamentos (PPML, nível) | −0,1172 (0,1140) | 0,305 | 0,507 | fail | fail | 0,1926 | 15.185 · 73/259 · adequate
Indígena | Fluxo bruto (PPML, nível) | −0,1455 (0,1049) | 0,166 | 0,370 | fail | fail | 0,2178 | 15.420 · 73/259 · adequate
Indígena | Salário real de admissão (log) | −0,0036 (0,0178) | 0,838 | 0,910 | pass | pass | 0,0473 | 8.228 · 73/259 · adequate
Indígena | Saldo líquido (asinh) | 0,3605 (0,3540) | 0,309 | 0,507 | fail | fail | 0,1849 | 15.935 · 73/259 · adequate
Não identificada | Admissões (PPML, nível) | 0,0197 (0,0300) | 0,510 | 0,681 | fail | fail | 0,0675 | 15.931 · 75/266 · adequate
Não identificada | Desligamentos (PPML, nível) | 0,0541 (0,0263) | 0,040 | 0,126 | fail | fail | 0,0790 | 15.926 · 75/266 · adequate
Não identificada | Fluxo bruto (PPML, nível) | 0,0376 (0,0278) | 0,176 | 0,375 | fail | fail | 0,0666 | 15.935 · 75/266 · adequate
Não identificada | Salário real de admissão (log) | 0,0415 (0,0107) | \< 0,001 | 0,002 | warning | fail | 0,0320 | 14.437 · 75/266 · adequate
Não identificada | Saldo líquido (asinh) | −0,9754 (0,4922) | 0,048 | 0,142 | fail | fail | 1,0994 | 15.935 · 75/266 · adequate
[/TABLE]

> *Notas: contrastes DDD **`pós × exposta × grupo`** com erro-padrão clusterizado por CBO de quatro dígitos. Família A, de 100 testes, com ajuste de Benjamini-Hochberg; p nominal e p ajustado lado a lado. Cada categoria é contrastada com o seu próprio complemento, e por isso os contrastes não são aditivos: o contraste do agregado *Negra*, reportado na Tabela 5.2.2, compara pretos e pardos com todo o restante, enquanto o de *Parda* compara pardos com um complemento que inclui os pretos. 29 dos 30 contrastes têm pretrend **`fail`** e exigem cautela. **`MDE 80%`** é o efeito mínimo detectável a 80% de poder. N denota observações CBO-mês, não trabalhadores. **`asinh(saldo)`** não deve ser interpretado como percentual. Fonte: **`results/diagnostics/ddd_multiplicity_results.csv`**.\\*
