### A.5 Idade
**Tabela A.5: Contrastes DDD por idade — duas partições**
**Painel 1 — faixas PNAD/IBGE** · **Família B**, de 30 testes

[TABLE]
Grupo | Resultado | DDD (EP) | p nominal | p BH | Pretrend grupo | Pretrend DDD | MDE 80% | N · CBOs trat./controle · suporte
18–24 | Admissões (PPML, nível) | 0,0326 (0,0339) | 0,336 | 0,505 | fail | fail | 0,1011 | 15.935 · 75/266 · adequate
18–24 | Desligamentos (PPML, nível) | 0,0508 (0,0448) | 0,258 | 0,440 | fail | fail | 0,1246 | 15.926 · 75/266 · adequate
18–24 | Fluxo bruto (PPML, nível) | 0,0397 (0,0377) | 0,294 | 0,464 | fail | fail | 0,1064 | 15.935 · 75/266 · adequate
18–24 | Salário real de admissão (log) | −0,0034 (0,0104) | 0,746 | 0,861 | warning | fail | 0,0311 | 15.616 · 75/266 · adequate
18–24 | Saldo líquido (asinh) | 0,7097 (0,4037) | 0,080 | 0,299 | fail | fail | 0,5424 | 15.935 · 75/266 · adequate
25–34 | Admissões (PPML, nível) | −0,0207 (0,0158) | 0,189 | 0,399 | fail | fail | 0,0881 | 15.935 · 75/266 · adequate
25–34 | Desligamentos (PPML, nível) | −0,0275 (0,0180) | 0,128 | 0,399 | fail | fail | 0,0725 | 15.935 · 75/266 · adequate
25–34 | Fluxo bruto (PPML, nível) | −0,0229 (0,0158) | 0,148 | 0,399 | fail | fail | 0,0734 | 15.935 · 75/266 · adequate
25–34 | Salário real de admissão (log) | −0,0006 (0,0061) | 0,921 | 0,952 | fail | warning | 0,0308 | 15.828 · 75/266 · adequate
25–34 | Saldo líquido (asinh) | −0,1245 (0,2233) | 0,577 | 0,722 | fail | fail | 0,9915 | 15.935 · 75/266 · adequate
35–44 | Admissões (PPML, nível) | 0,0297 (0,0216) | 0,170 | 0,399 | fail | fail | 0,0965 | 15.935 · 75/266 · adequate
35–44 | Desligamentos (PPML, nível) | 0,0191 (0,0253) | 0,451 | 0,606 | fail | fail | 0,0757 | 15.935 · 75/266 · adequate
35–44 | Fluxo bruto (PPML, nível) | 0,0257 (0,0230) | 0,264 | 0,440 | fail | fail | 0,0816 | 15.935 · 75/266 · adequate
35–44 | Salário real de admissão (log) | −0,0083 (0,0065) | 0,199 | 0,399 | fail | fail | 0,0361 | 15.775 · 75/266 · adequate
35–44 | Saldo líquido (asinh) | −0,0695 (0,2572) | 0,787 | 0,875 | fail | pass | 0,8570 | 15.935 · 75/266 · adequate
45–54 | Admissões (PPML, nível) | 0,0751 (0,0373) | 0,045 | 0,224 | fail | fail | 0,1317 | 15.935 · 75/266 · adequate
45–54 | Desligamentos (PPML, nível) | 0,0455 (0,0339) | 0,181 | 0,399 | fail | fail | 0,0914 | 15.935 · 75/266 · adequate
45–54 | Fluxo bruto (PPML, nível) | 0,0615 (0,0345) | 0,076 | 0,299 | fail | fail | 0,1086 | 15.935 · 75/266 · adequate
45–54 | Salário real de admissão (log) | 0,0151 (0,0074) | 0,043 | 0,224 | warning | fail | 0,0319 | 15.478 · 75/266 · adequate
45–54 | Saldo líquido (asinh) | 0,3714 (0,3082) | 0,229 | 0,429 | fail | fail | 0,6379 | 15.935 · 75/266 · adequate
55–65 | Admissões (PPML, nível) | 0,0332 (0,0686) | 0,628 | 0,754 | fail | fail | 0,1904 | 15.926 · 75/266 · adequate
55–65 | Desligamentos (PPML, nível) | −0,0418 (0,0460) | 0,365 | 0,521 | fail | fail | 0,1106 | 15.935 · 75/266 · adequate
55–65 | Fluxo bruto (PPML, nível) | −0,0067 (0,0535) | 0,900 | 0,952 | fail | fail | 0,1398 | 15.935 · 75/266 · adequate
55–65 | Salário real de admissão (log) | 0,0090 (0,0123) | 0,465 | 0,606 | fail | warning | 0,0361 | 14.512 · 75/266 · adequate
55–65 | Saldo líquido (asinh) | 1,0083 (0,3546) | 0,005 | 0,035 | fail | fail | 0,3780 | 15.935 · 75/266 · adequate
[/TABLE]

> *Notas do Painel 1: contrastes DDD **`pós × exposta × grupo`** sobre as faixas etárias da PNAD/IBGE, com erro-padrão clusterizado por CBO de quatro dígitos. Família B, de 30 testes, com ajuste de Benjamini-Hochberg. A amostra é restrita a trabalhadores de 18 a 65 anos. Nenhum contraste desta partição sobrevive ao ajuste, com exceção do saldo da faixa de 55 a 65 anos, cujo p ajustado é de 0,035. Os 25 contrastes têm pretrend **`fail`**. Fonte: **`results/diagnostics/ddd_alternative_partitions.csv`**.\\*
**Painel 2 — coortes Canaries** · **Família A**, de 100 testes

[TABLE]
Grupo | Resultado | DDD (EP) | p nominal | p BH | Pretrend grupo | Pretrend DDD | MDE 80% | N · CBOs trat./controle · suporte
22–25 | Admissões (PPML, nível) | −0,0189 (0,0269) | 0,482 | 0,652 | fail | fail | 0,0905 | 15.926 · 75/265 · adequate
22–25 | Desligamentos (PPML, nível) | 0,0002 (0,0367) | 0,995 | 0,995 | fail | fail | 0,1010 | 15.926 · 75/265 · adequate
22–25 | Fluxo bruto (PPML, nível) | −0,0107 (0,0302) | 0,723 | 0,850 | fail | fail | 0,0872 | 15.926 · 75/265 · adequate
22–25 | Salário real de admissão (log) | −0,0004 (0,0083) | 0,964 | 0,974 | **pass** | fail | 0,0294 | 15.554 · 75/265 · adequate
22–25 | Saldo líquido (asinh) | 0,4145 (0,4033) | 0,305 | 0,507 | fail | fail | 0,6972 | 15.935 · 75/265 · adequate
26–30 | Admissões (PPML, nível) | −0,0105 (0,0139) | 0,450 | 0,616 | fail | fail | 0,0877 | 15.935 · 75/266 · adequate
26–30 | Desligamentos (PPML, nível) | −0,0125 (0,0113) | 0,266 | 0,465 | fail | fail | 0,0751 | 15.935 · 75/266 · adequate
26–30 | Fluxo bruto (PPML, nível) | −0,0115 (0,0116) | 0,323 | 0,522 | fail | fail | 0,0739 | 15.935 · 75/266 · adequate
26–30 | Salário real de admissão (log) | 0,0070 (0,0081) | 0,388 | 0,581 | fail | fail | 0,0295 | 15.708 · 75/266 · adequate
26–30 | Saldo líquido (asinh) | 0,2284 (0,1840) | 0,215 | 0,418 | fail | fail | 0,8193 | 15.935 · 75/266 · adequate
31–34 | Admissões (PPML, nível) | 0,0253 (0,0122) | 0,038 | 0,125 | fail | fail | 0,0888 | 15.935 · 75/266 · adequate
31–34 | Desligamentos (PPML, nível) | 0,0202 (0,0121) | 0,097 | 0,245 | fail | fail | 0,0706 | 15.935 · 75/266 · adequate
31–34 | Fluxo bruto (PPML, nível) | 0,0231 (0,0115) | 0,046 | 0,139 | fail | fail | 0,0734 | 15.935 · 75/266 · adequate
