model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
age_canaries__age_22_25__admissoes,admissoes,post_treat_group,ppml,-0.0189099521984086,0.0268918862486309,-0.0718053709744918,0.0339854665776745,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.873228073453911,age_canaries,micro,age_22_25,Age 22-25,estimated,,0.4824221195946061,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.6519217832359542,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.0905054513497051,0.0755566651553068,15926,31861
age_canaries__age_22_25__desligamentos,desligamentos,post_treat_group,ppml,0.0002211246260507,0.036665615345341,-0.0718988843775322,0.0723411336296338,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,0.0221149075903022,age_canaries,micro,age_22_25,Age 22-25,estimated,,0.9951916483555427,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9951916483555427,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.100969055321346,0.1030173783924231,15926,31861
age_canaries__age_22_25__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.0107277487972349,0.0302183615192127,-0.0701662304458477,0.0487107328513778,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.0670411715872228,age_canaries,micro,age_22_25,Age 22-25,estimated,,0.7228039903259496,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.8503576356775877,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.0871709152120234,0.0849028811790918,15926,31861
age_canaries__age_22_25__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.000378478248661,0.0083281156575791,-0.0167595963766515,0.0160026398793294,340,"{""cbo_4d"": 341}",341,43508,44098,43508,590,590,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_22_25,Age 22-25,estimated,,0.9637786199217628,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.97351375749673,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,pass,0.0294300744069431,0.0233990520522303,15554,31453
age_canaries__age_22_25__asinh_saldo,asinh_saldo,post_treat_group,ols,0.4144877142239798,0.4033259934330115,-0.3788406945262624,1.207816122974222,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_22_25,Age 22-25,estimated,,0.304833655807504,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5069783887109974,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.6972233531779402,1.1332030320409752,15935,31870
age_canaries__age_26_30__admissoes,admissoes,post_treat_group,ppml,-0.0105002992468017,0.0138727544585177,-0.0377875319041401,0.0167869334105365,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.044536355320521,age_canaries,micro,age_26_30,Age 26-30,estimated,,0.4496334626354588,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.61593625018556,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0877387766892691,0.0389775210899301,15935,31870
age_canaries__age_26_30__desligamentos,desligamentos,post_treat_group,ppml,-0.0125469897735908,0.0112698109800712,-0.0347143218010538,0.009620342253872,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.246860447307919,age_canaries,micro,age_26_30,Age 26-30,estimated,,0.2663542975778852,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4648018592551032,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0750620683573011,0.0316641728554162,15935,31870
age_canaries__age_26_30__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.011510129711736,0.01163742845408,-0.0344005527138268,0.0113802932903546,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.144414158868627,age_canaries,micro,age_26_30,Age 26-30,estimated,,0.3233365054436434,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5215104926510379,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0739392668026774,0.0326970476092404,15935,31870
age_canaries__age_26_30__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.0069762978709456,0.0080669345502987,-0.0088910859686327,0.0228436817105239,340,"{""cbo_4d"": 341}",341,43707,44098,43707,391,391,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_26_30,Age 26-30,estimated,,0.3877574323836112,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5810154740394323,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0295157018645579,0.0226652257491876,15708,31597
age_canaries__age_26_30__asinh_saldo,asinh_saldo,post_treat_group,ols,0.2284478918900083,0.1839507309888507,-0.1333768927257318,0.5902726765057484,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_26_30,Age 26-30,estimated,,0.2151304864920002,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.418206372494911,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.8192544858077048,0.5168363296608144,15935,31870
