model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
education__fundamental_or_less__admissoes,admissoes,post_treat_group,ppml,0.123102753341262,0.0502114282847511,0.0243385944454765,0.2218669122370475,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,13.10006290706071,education,micro,fundamental_or_less,Primary or less,estimated,,0.0147213157401291,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0552935475537437,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.1491549091217212,0.1410763097391054,15879,31814
education__fundamental_or_less__desligamentos,desligamentos,post_treat_group,ppml,0.132103389970424,0.0531448035174583,0.0275693825066773,0.2366373974341707,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,14.122630452175567,education,micro,fundamental_or_less,Primary or less,estimated,,0.0134086955588503,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0552935475537437,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.1316437795497771,0.1493180540400955,15935,31870
education__fundamental_or_less__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.128429922319156,0.0503815864245754,0.0293310681929597,0.2275287764453523,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,13.70417372512422,education,micro,fundamental_or_less,Primary or less,estimated,,0.0112374552145182,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0510793418841738,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.137001774360325,0.1415543937781084,15935,31870
education__fundamental_or_less__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.034889441375125,0.0141548331660885,0.0070473695656787,0.0627315131845712,340,"{""cbo_4d"": 341}",341,42233,44098,42233,1865,1865,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,education,micro,fundamental_or_less,Primary or less,estimated,,0.0142010891087607,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0552935475537437,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.0405284949089207,0.0397700622400122,14641,30543
education__fundamental_or_less__asinh_saldo,asinh_saldo,post_treat_group,ols,0.9559720882146484,0.3618868823388562,0.2441529910377275,1.6677911853915692,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,education,micro,fundamental_or_less,Primary or less,estimated,,0.008631918435159,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0431595921757954,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.4686762056210425,1.0167738231589074,15935,31870
education__high_school__admissoes,admissoes,post_treat_group,ppml,-0.0057352491205285,0.0344052271238259,-0.0734091519466525,0.0619386537055954,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-0.5718833975931862,education,micro,high_school,Secondary,estimated,,0.8677075350554064,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9230931223993684,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0881564208049898,0.0966664889681935,15935,31861
education__high_school__desligamentos,desligamentos,post_treat_group,ppml,-0.0333316212033084,0.0288093876076484,-0.0899986994476486,0.0233354570410316,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-3.278224351685029,education,micro,high_school,Secondary,estimated,,0.2480964790889899,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4510845074345271,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.086206596568042,0.0809441640751904,15935,31870
education__high_school__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.0187138294582179,0.0294064951943127,-0.0765553978650916,0.0391277389486556,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.853981294753816,education,micro,high_school,Secondary,estimated,,0.5249542023419653,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.6907292136078491,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0827035259682809,0.0826218246740108,15935,31870
education__high_school__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.001378842971892,0.0112361194996726,-0.0234799050118804,0.0207222190680962,340,"{""cbo_4d"": 341}",341,43729,44098,43729,369,369,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,education,micro,high_school,Secondary,estimated,,0.9024051079079768,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9248946125721356,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0342303567942461,0.0315695117416688,15801,31595
education__high_school__asinh_saldo,asinh_saldo,post_treat_group,ols,0.1938079269830971,0.2481091291556235,-0.2942142283807401,0.6818300823469343,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,education,micro,high_school,Secondary,estimated,,0.4352638009672933,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.6045330568990185,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.9134126903831424,0.6970986795149271,15935,31870
education__higher_education__admissoes,admissoes,post_treat_group,ppml,-0.1107991714359958,0.045097398096601,-0.1995042081885921,-0.0220941346833995,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-10.488150375855676,education,micro,higher_education,Higher education,estimated,,0.0145137668955905,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0552935475537437,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.1041359467709151,0.1267076982200878,15926,31861
