model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
income__low_income__admissoes,admissoes,post_treat_group,ppml,0.118326521883155,0.0792530356674231,-0.0375614835972199,0.2742145273635299,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,12.56115881849414,income,cbo_predetermined,low_income,Up to 2 minimum wages,estimated,,0.1363587945638964,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.3246637965807058,A,100,Benjamini-Hochberg,False,False,adequate,46,227,fail,fail,0.0902174850562025,0.2226729290426751,12782,15935
income__low_income__desligamentos,desligamentos,post_treat_group,ppml,0.0112036265149804,0.0952103178396421,-0.1760718062073426,0.1984790592373035,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,1.1266622178675751,income,cbo_predetermined,low_income,Up to 2 minimum wages,estimated,,0.9063967203206929,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.9248946125721356,A,100,Benjamini-Hochberg,False,False,adequate,46,227,fail,fail,0.0841859795087481,0.2675072338857011,12782,15935
income__low_income__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0676242180274448,0.0862610705105486,-0.1020483518526614,0.2372967879075512,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,6.996316005659564,income,cbo_predetermined,low_income,Up to 2 minimum wages,estimated,,0.4336162515889379,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.6045330568990185,A,100,Benjamini-Hochberg,False,False,adequate,46,227,fail,fail,0.0838796488620559,0.2423630220745729,12782,15935
income__low_income__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0062477453065894,0.0236189175115124,-0.0527053467280151,0.0402098561148362,340,"{""cbo_4d"": 341}",341,22012,22049,22012,37,37,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,,income,cbo_predetermined,low_income,Up to 2 minimum wages,estimated,,0.7915372748653415,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,46,227,warning,fail,0.039292082151638,0.0663607835184491,12755,15907
income__low_income__asinh_saldo,asinh_saldo,post_treat_group,ols,1.6638351159664728,0.8626709182273307,-0.0330090199820016,3.3606792519149473,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,,income,cbo_predetermined,low_income,Up to 2 minimum wages,estimated,,0.0546000819216168,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.1560002340617623,A,100,Benjamini-Hochberg,False,False,adequate,46,227,fail,fail,1.0034478593131118,2.4237993982680166,12782,15935
income__middle_income__admissoes,admissoes,post_treat_group,ppml,-0.1474369988672824,0.0778887153867443,-0.3006414331052393,0.0057674353706743,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,-13.70831986551829,income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,estimated,,0.0592177545747114,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.1644937627075318,A,100,Benjamini-Hochberg,False,False,limited,26,32,fail,fail,0.1892584624863225,0.2188396728084795,2726,15935
income__middle_income__desligamentos,desligamentos,post_treat_group,ppml,-0.0543201540314143,0.0911360788535813,-0.2335816982756653,0.1249413902128366,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,-5.287116915653687,income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,estimated,,0.5515494440906379,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.7071146719110742,A,100,Benjamini-Hochberg,False,False,limited,26,32,fail,fail,0.2279596156233894,0.2560600669600949,2726,15935
income__middle_income__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.1033124631259151,0.0836144673819413,-0.2677792553403175,0.0611543290884872,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,-9.815486389840256,income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,estimated,,0.2174673136973537,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.418206372494911,A,100,Benjamini-Hochberg,False,False,limited,26,32,fail,fail,0.2068784894456037,0.2349270057037484,2726,15935
income__middle_income__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0030897794639137,0.0255628607301918,-0.0533710505854969,0.0471914916576695,340,"{""cbo_4d"": 341}",341,22012,22049,22012,37,37,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,,income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,estimated,,0.9038655109214816,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.9248946125721356,A,100,Benjamini-Hochberg,False,False,limited,26,32,fail,fail,0.0734407035856223,0.0718225746883477,2725,15907
income__middle_income__asinh_saldo,asinh_saldo,post_treat_group,ols,-1.269229122243316,0.9243573560314152,-3.087408367610453,0.5489501231238212,340,"{""cbo_4d"": 341}",341,22049,22049,22049,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,post_treat + post_group,,income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,estimated,,0.1706281257888768,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",treat_group,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo,0.3709307082366888,A,100,Benjamini-Hochberg,False,False,limited,26,32,fail,warning,2.380214978394809,2.597116415999496,2726,15935
