model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
race_color__race_white__admissoes,admissoes,post_treat_group,ppml,0.082651012275395,0.0188281343192364,0.0456167172326269,0.1196853073181631,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,8.616268495337287,race_color,micro,race_white,White,estimated,,1.5168021202160986e-05,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0002528003533693,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.0982114265638445,0.0529003814423806,15935,31870
race_color__race_white__desligamentos,desligamentos,post_treat_group,ppml,0.065127592073928,0.0135888679436491,0.0383987544637061,0.0918564296841499,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,6.729519410422862,race_color,micro,race_white,White,estimated,,2.463155174270426e-06,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,4.926310348540852e-05,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.070344269395898,0.0381799006423452,15935,31870
race_color__race_white__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0743288752412338,0.0144322532160162,0.0459411276996303,0.1027166227828372,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,7.716099883365687,race_color,micro,race_white,White,estimated,,4.416046335276036e-07,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,1.472015445092012e-05,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.079413408988586,0.040549514213963,15935,31870
race_color__race_white__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0080180239772439,0.0087731824248177,-0.0252745731857746,0.0092385252312867,340,"{""cbo_4d"": 341}",341,43858,44098,43858,240,240,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_white,White,estimated,,0.3614043039472863,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5560066214573635,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0320236684093094,0.0246495318584103,15802,31687
race_color__race_white__asinh_saldo,asinh_saldo,post_treat_group,ols,0.7390038983951261,0.2544452440981349,0.2385188220521181,1.239488974738134,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_white,White,estimated,,0.0039206139179364,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0255478930523966,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.8435823167690217,0.7149009158724174,15935,31870
race_color__race_black__admissoes,admissoes,post_treat_group,ppml,-0.0088280992367837,0.0399356982749728,-0.0873802493105827,0.0697240508370151,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-0.8789245986229781,race_color,micro,race_black,Black,estimated,,0.825180089860404,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.1517379933243868,0.1122051519334797,15926,31861
race_color__race_black__desligamentos,desligamentos,post_treat_group,ppml,0.0445251390053579,0.030866783092954,-0.0161887656600483,0.1052390436707642,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,4.553125999603329,race_color,micro,race_black,Black,estimated,,0.1500837151296945,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.3410993525674876,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.1222054016873615,0.0867247158869172,15926,31861
race_color__race_black__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0160026508765507,0.0355866370962825,-0.0539950448833066,0.0860003466364081,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.6131379041369769,race_color,micro,race_black,Black,estimated,,0.6532266843208137,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.7870201015913418,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.1345903837602316,0.0999858320917942,15926,31861
race_color__race_black__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0051728729456931,0.0100828767526056,-0.0250055460191135,0.0146598001277273,340,"{""cbo_4d"": 341}",341,42779,44098,42779,1319,1319,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_black,Black,estimated,,0.6082597131412606,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.741780137977147,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.0342560065582019,0.0283293085340056,14922,30827
race_color__race_black__asinh_saldo,asinh_saldo,post_treat_group,ols,0.2580226209953681,0.2820799903569219,-0.2968190543089251,0.8128642962996615,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_black,Black,estimated,,0.3609898414932841,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5560066214573635,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.4386371609996985,0.7925447542563218,15935,31870
race_color__race_pardo__admissoes,admissoes,post_treat_group,ppml,-0.0816688320456307,0.0303630977613793,-0.1413920049230662,-0.0219456591681952,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-7.842289502912718,race_color,micro,race_pardo,Pardo,estimated,,0.0075035012461883,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0416861180343798,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.123333577363632,0.0853095386996581,15935,31870
