model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
sex__men__admissoes,admissoes,post_treat_group,ppml,0.0116328966163491,0.0465833041277691,-0.0799948663836315,0.1032606596163297,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.170082189189902,sex,micro,men,Men,estimated,,0.8029528062138955,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0764870308695096,0.1308825673018331,15935,31861
sex__men__desligamentos,desligamentos,post_treat_group,ppml,0.0332176158251113,0.0390106671572654,-0.0435150297371909,0.1099502613874137,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.377548066921627,sex,micro,men,Men,estimated,,0.3950905223468139,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5810154740394323,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0685200323350449,0.1096061424860701,15935,31870
sex__men__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.021595896917953,0.0419746384577029,-0.0609667786291337,0.1041585724650398,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.183077606113629,sex,micro,men,Men,estimated,,0.6072376367928947,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.741780137977147,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0655077328044553,0.1179338508887671,15935,31870
sex__men__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.0022265168058659,0.0099935276204218,-0.0174304095861784,0.0218834431979103,340,"{""cbo_4d"": 341}",341,43292,44098,43292,806,806,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,men,Men,estimated,,0.8238281563548353,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0342169093607555,0.0280782691535801,15867,31285
sex__men__asinh_saldo,asinh_saldo,post_treat_group,ols,0.7988629867980608,0.2145284954327886,0.376892787296042,1.2208331863000796,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,men,Men,estimated,,0.0002296423388941,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0025515815432678,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.9648696024032803,0.6027490056229212,15935,31870
sex__women__admissoes,admissoes,post_treat_group,ppml,-0.0116328966163524,0.046583303926156,-0.1032606592197668,0.0799948659870619,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.1565496082153597,sex,micro,women,Women,estimated,,0.8029528053786466,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.1302377908272116,0.1308825667353717,15926,31861
sex__women__desligamentos,desligamentos,post_treat_group,ppml,-0.0332176158251079,0.0390106669851407,-0.1099502610488468,0.043515029398631,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-3.267196920490725,sex,micro,women,Women,estimated,,0.3950905202636909,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5810154740394323,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.1042873407377009,0.1096061420024607,15935,31870
sex__women__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.0215958969179277,0.0419746382660794,-0.1041585720880977,0.0609667782522421,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-2.1364375171065397,sex,micro,women,Women,estimated,,0.6072376351533375,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.741780137977147,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.114246363800598,0.117933850350373,15935,31870
sex__women__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0022265168058669,0.0099935276204238,-0.0218834431979153,0.0174304095861814,340,"{""cbo_4d"": 341}",341,43292,44098,43292,806,806,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,women,Women,estimated,,0.8238281563548353,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389056,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.03294636069204,0.0280782691535858,15418,31285
sex__women__asinh_saldo,asinh_saldo,post_treat_group,ols,-0.798862986798054,0.2145284954327888,-1.2208331863000734,-0.3768927872960347,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,women,Women,estimated,,0.0002296423388941,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0025515815432678,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.8471791420308337,0.6027490056229218,15935,31870
