dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
age_canaries,micro,age_22_25,Age 22-25,admissoes,ppml,-0.0741052739665235,0.0322121368800767,0.0220243408998903,15926,340,fail,6.374834742538925e-42,fail,0.0905054513497051,estimated,,A,-0.137466111084374,-0.0107444368486729,339.0,adequate,75,265,0.0650719162951304,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,desligamentos,ppml,-0.0530134494522436,0.0359362776734424,0.1410850267868744,15926,340,fail,1.2826661375956142e-14,fail,0.100969055321346,estimated,,A,-0.1236996210889081,0.0176727221844209,339.0,adequate,75,265,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,n_movimentacoes,ppml,-0.063850082076608,0.0310253295342569,0.0403544006905136,15926,340,fail,3.640128443025763e-46,fail,0.0871709152120234,estimated,,A,-0.1248764852136049,-0.002823678939611,339.0,adequate,75,265,0.100886001726284,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,ln_salario_real_adm,ols,-0.0517373180873344,0.0104744794396787,1.234660626403539e-06,15554,339,pass,0.5852100812424963,fail,0.0294300744069431,estimated,,A,-0.0723406957206162,-0.0311339404540525,338.0,adequate,75,265,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,asinh_saldo,ols,-0.1279724764441231,0.2481535026064243,0.6063999240408351,15935,341,fail,2.4169895540361104e-05,fail,0.6972233531779402,estimated,,A,-0.6160819128651888,0.3601369599769425,340.0,adequate,75,265,0.685495566307031,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,admissoes,ppml,-0.0753225441457009,0.0312277043656172,0.0163925868576113,15935,341,fail,1.0705776856027585e-29,fail,0.0877387766892691,estimated,,A,-0.1367463685871394,-0.0138987197042623,340.0,adequate,75,266,0.0519764949143772,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,desligamentos,ppml,-0.0680411381754881,0.0267158509405139,0.0113103219320549,15935,341,fail,5.2071363078893264e-09,fail,0.0750620683573011,estimated,,A,-0.1205903015325151,-0.015491974818461,340.0,adequate,75,266,0.0377010731068496,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,n_movimentacoes,ppml,-0.0709793881536033,0.0263162270076065,0.0073415488535193,15935,341,fail,1.811920302176745e-16,fail,0.0739392668026774,estimated,,A,-0.1227425049280795,-0.019216271379127,340.0,adequate,75,266,0.0265111486377085,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,ln_salario_real_adm,ols,-0.040319565533128,0.0105050448828657,0.0001478919526263,15708,340,fail,6.848720646747159e-05,fail,0.0295157018645579,estimated,,A,-0.0609828465882461,-0.0196562844780098,339.0,adequate,75,266,0.0011309384612599,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,asinh_saldo,ols,-0.3820253680105089,0.2915864324574942,0.1910255860623873,15935,341,fail,1.3833301882589132e-05,fail,0.8192544858077048,estimated,,A,-0.9555658891797314,0.1915151531587136,340.0,adequate,75,266,0.2887596068384924,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,admissoes,ppml,-0.0597147336621077,0.0316077873956221,0.0597102368203599,15935,341,fail,4.869828305972391e-26,fail,0.0888066752354621,estimated,,A,-0.1218861683996746,0.0024567010754592,340.0,adequate,75,266,0.1411332870299415,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,desligamentos,ppml,-0.0525727525308174,0.025119967821157,0.0371018533987428,15935,341,fail,9.320968132652553e-16,fail,0.0705782026529237,estimated,,A,-0.1019828684764579,-0.0031626365851768,340.0,adequate,75,266,0.0948141926373284,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,n_movimentacoes,ppml,-0.0551366511791231,0.0261194380650079,0.0355068326908465,15935,341,fail,3.205118811622413e-29,fail,0.0733863596505081,estimated,,A,-0.1065126908466602,-0.0037606115115859,340.0,adequate,75,266,0.0948141926373284,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,ln_salario_real_adm,ols,-0.0582144436084453,0.0117136154035101,1.0656299764821853e-06,15561,340,fail,0.0053862703010335,fail,0.0329113853259219,estimated,,A,-0.0812549665146419,-0.0351739207022486,339.0,adequate,75,266,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,asinh_saldo,ols,-0.3206970014965687,0.3036997465203745,0.2917328961584298,15935,341,fail,2.0680270316362436e-08,fail,0.8532886032403082,estimated,,A,-0.9180639963537384,0.2766699933606009,340.0,adequate,75,266,0.3993343892206753,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,admissoes,ppml,-0.0530084180624059,0.0331055183740798,0.1102649665983488,15926,340,fail,5.20283660625768e-19,fail,0.0930155578863576,estimated,,A,-0.1181265244833259,0.0121096883585141,339.0,adequate,75,265,0.2171885705725052,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,desligamentos,ppml,-0.0475635628696187,0.0265073439505891,0.0736475493267554,15926,340,fail,2.3122840264658335e-20,fail,0.0744768699220872,estimated,,A,-0.0997031495332687,0.0045760237940313,339.0,adequate,75,265,0.162274261228444,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,n_movimentacoes,ppml,-0.049133084027122,0.0281198574848898,0.081495403668222,15926,340,fail,1.295129519671275e-25,fail,0.0790074996587209,estimated,,A,-0.1044444629806635,0.0061782949264195,339.0,adequate,75,265,0.1708774593043364,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,ln_salario_real_adm,ols,-0.0499673856015511,0.0110313915332633,8.19926171535812e-06,15663,340,fail,0.0005900275991103,warning,0.0309945618774155,estimated,,A,-0.0716659833917101,-0.0282687878113921,339.0,adequate,75,265,0.0001184337803329,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,asinh_saldo,ols,-0.4531949816293073,0.2859226513398605,0.113889928127284,15935,341,fail,7.133060755304344e-09,fail,0.8033412691050353,estimated,,A,-1.0155950394147626,0.109205076156148,340.0,adequate,75,265,0.2209804575604018,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
