dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
education,micro,fundamental_or_less,Primary or less,admissoes,ppml,0.0017584034090176,0.0530858334681628,0.9735954318454314,15879,339,fail,6.015611122757077e-42,fail,0.1491549091217212,estimated,,A,-0.1026618191157229,0.1061786259337581,338.0,adequate,75,266,0.9735954318454314,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,fundamental_or_less,Primary or less,desligamentos,ppml,0.0141308207828173,0.0468542323528396,0.763148148198324,15935,341,fail,1.1329276525607274e-53,fail,0.1316437795497771,estimated,,A,-0.0780298487522744,0.106291490317909,340.0,adequate,75,266,0.800074671498243,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,fundamental_or_less,Primary or less,n_movimentacoes,ppml,0.008926567912085,0.0487612327037661,0.8548546388862905,15935,341,fail,6.886250051343562e-50,fail,0.137001774360325,estimated,,A,-0.0869851059681753,0.1048382417923453,340.0,adequate,75,266,0.8721561168068829,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,fundamental_or_less,Primary or less,ln_salario_real_adm,ols,-0.0079895442795224,0.0144242778780743,0.5800187081607504,14641,337,fail,0.0270484891516257,fail,0.0405284949089207,estimated,,A,-0.0363628111936407,0.0203837226345959,336.0,adequate,75,266,0.6614248426394522,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,fundamental_or_less,Primary or less,asinh_saldo,ols,0.3330434789553376,0.1668097339009646,0.0466713920654633,15935,341,fail,5.6266927806454646e-08,fail,0.4686762056210425,estimated,,A,0.0049344482595932,0.661152509651082,340.0,adequate,75,266,0.1123570549724116,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,high_school,Secondary,admissoes,ppml,-0.0438070225507005,0.0313763509215403,0.1635712934127102,15935,341,fail,1.115376776998376e-63,fail,0.0881564208049898,estimated,,A,-0.1055232296741301,0.0179091845727291,340.0,adequate,75,266,0.2605623252786063,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,high_school,Secondary,desligamentos,ppml,-0.0454815494211288,0.0306823757245534,0.1391775108635466,15935,341,fail,1.6592269297166902e-34,fail,0.086206596568042,estimated,,A,-0.1058327311117773,0.0148696322695197,340.0,adequate,75,266,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,high_school,Secondary,n_movimentacoes,ppml,-0.0444241109686211,0.0294355740572741,0.1321768745131395,15935,341,fail,1.1925520524761517e-44,fail,0.0827035259682809,estimated,,A,-0.1023228765025259,0.0134746545652837,340.0,adequate,75,266,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,high_school,Secondary,ln_salario_real_adm,ols,-0.0427046387160907,0.0121831589479073,0.0005173452925082,15801,341,fail,0.0450093701521519,fail,0.0342303567942461,estimated,,A,-0.0666684948995872,-0.0187407825325941,340.0,adequate,75,266,0.0030570403648211,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,high_school,Secondary,asinh_saldo,ols,-0.2972629744448511,0.3250989190344663,0.3611667696529661,15935,341,fail,8.12002424384915e-08,fail,0.9134126903831424,estimated,,A,-0.936721408375104,0.3421954594854017,340.0,adequate,75,266,0.469516800548856,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,higher_education,Higher education,admissoes,ppml,-0.1074563133781788,0.0370634179653978,0.0039843166395707,15926,340,fail,3.765768598811912e-12,fail,0.1041359467709151,estimated,,A,-0.1803595547085873,-0.0345530720477702,339.0,adequate,75,266,0.0172653721048063,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,higher_education,Higher education,desligamentos,ppml,-0.0938889443554784,0.0363462699555087,0.0102065508497317,15935,341,fail,1.878100030153096e-25,fail,0.1021201310790379,estimated,,A,-0.1653808119199218,-0.0223970767910349,340.0,adequate,75,266,0.0349171476438189,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,higher_education,Higher education,n_movimentacoes,ppml,-0.1007588385296197,0.0330728578217738,0.002495697650779,15935,341,fail,1.3227156231299256e-11,fail,0.0929230036549056,estimated,,A,-0.1658120165934546,-0.0357056604657847,340.0,adequate,75,266,0.0112964192021374,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,higher_education,Higher education,ln_salario_real_adm,ols,-0.0351568304759937,0.0093201515837656,0.0001909629121459,14892,340,fail,0.0001126187249974,warning,0.0261865435651397,estimated,,A,-0.0534894424542414,-0.0168242184977459,339.0,adequate,75,266,0.0013791765877203,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
education,micro,higher_education,Higher education,asinh_saldo,ols,-1.1561961198789497,0.3172886666470154,0.0003103568421127,15935,341,fail,2.1106457130198793e-06,fail,0.8914686504983574,estimated,,A,-1.7802920549884975,-0.5321001847694016,340.0,adequate,75,266,0.0020173194737325,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
