dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
sex,micro,men,Men,admissoes,ppml,-0.0778784829017796,0.0272230190336014,0.0044876738739709,15935,341,fail,2.0306794839368447e-47,fail,0.0764870308695096,estimated,,A,-0.1314252285193332,-0.024331737284226,340.0,adequate,75,266,0.018819277536007,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,desligamentos,ppml,-0.0635432237571123,0.0243874304340855,0.0095752513108526,15935,341,fail,3.086946397260491e-13,fail,0.0685200323350449,estimated,,A,-0.1115124637634439,-0.0155739837507806,340.0,adequate,75,266,0.0336427748759686,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,n_movimentacoes,ppml,-0.0709620001960866,0.0233153024337706,0.0025199704373999,15935,341,fail,3.9925941844597785e-31,fail,0.0655077328044553,estimated,,A,-0.1168224011632412,-0.0251015992289319,340.0,adequate,75,266,0.0112964192021374,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,ln_salario_real_adm,ols,-0.0501069649358208,0.0121783727804524,4.8743947160367895e-05,15867,341,fail,0.0003821942394796,fail,0.0342169093607555,estimated,,A,-0.0740614068919359,-0.0261525229797056,340.0,adequate,75,266,0.0004526223664891,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,asinh_saldo,ols,-0.2451347945450011,0.3434132983404746,0.4758290797435245,15935,341,fail,2.7944909744847255e-09,fail,0.9648696024032803,estimated,,A,-0.9206169850112856,0.4303473959212834,340.0,adequate,75,266,0.5818511705419136,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,admissoes,ppml,-0.0723873481863334,0.0463534238272003,0.1193059009516916,15926,340,fail,9.240342987634852e-68,fail,0.1302377908272116,estimated,,A,-0.1635639052680359,0.0187892088953691,339.0,adequate,75,266,0.2280848106429398,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,desligamentos,ppml,-0.0776432705137559,0.0371176162754912,0.0371963371115673,15935,341,fail,8.59581452261542e-29,fail,0.1042873407377009,estimated,,A,-0.1506523498587207,-0.004634191168791,340.0,adequate,75,266,0.0948141926373284,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,n_movimentacoes,ppml,-0.0744482502593799,0.0406621998645687,0.0679911438180949,15935,341,fail,9.267616943927344e-49,fail,0.114246363800598,estimated,,A,-0.1544294040656753,0.0055329035469155,340.0,adequate,75,266,0.1578365838634345,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,ln_salario_real_adm,ols,-0.0490658945333244,0.0117260636181096,3.647498792158643e-05,15418,340,fail,0.0058580940286664,fail,0.03294636069204,estimated,,A,-0.0721309029090998,-0.0260008861575489,339.0,adequate,75,266,0.0003647498792158,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,asinh_saldo,ols,-1.0187905320358537,0.3015252866557431,0.0008125748238956,15935,341,fail,0.0009162337982782,fail,0.8471791420308337,estimated,,A,-1.6118804388491408,-0.4257006252225664,340.0,adequate,75,266,0.0042253890842571,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
