occurrence_id	section	paragraph	citation_raw	citation_mode	citation_key	in_text_format_status	link_status	link_url	reference_presence_status	reference_format_status	locator	pdf_path	context	issue_and_action
CIT-001	Introdução	1	Bick; Blandin; Deming, 2024	parenthetical	bick_rapid_2024	OK	VÁLIDO	https://doi.org/10.20955/wp.2024.027	SIM	CORRIGIR		pdfs/bick_rapid_2024.pdf	or pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2024](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de m	Update to the canonical 2026 publication or explicitly identify the preliminary version; if retaining the working paper, include no. 2024-027.
CIT-002	Introdução	2	Eloundou *et al.* (2023)	narrative	eloundou_gpts_2023	OK	AUSENTE		SIM	CORRIGIR		pdfs/eloundou_gpts_2023.pdf	de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de Eloundou *et al.* (2023), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidên	Apply bold only to “GPTs are GPTs”; leave the subtitle without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-003	Introdução	2	Brynjolfsson; Chandar; Chen, 2025	parenthetical	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho ([Brynjolfsson; Chandar; Chen, 2025](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/); [Hosseini Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Kle	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-004	Introdução	2	Hosseini Maasoum; Lichtinger, 2025	parenthetical	hosseini_maasoum_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555	SIM	CORRIGIR		pdfs/hosseini_maasoum_generative_2025.pdf	the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/); [Hosseini Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Klein Teeselink, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798)). Essa evidência,	Apply bold only to the main title, not the subtitle.
CIT-005	Introdução	2	Klein Teeselink, 2025	parenthetical	klein_teeselink_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798	SIM	CORRIGIR		pdfs/klein_teeselink_generative_2025.pdf	Maasoum; Lichtinger, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555); [Klein Teeselink, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798)). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma	Apply bold only to the main title, not the subtitle.
CIT-006	Introdução	5	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	o. A peça que conecta as duas etapas é o índice de exposição. Adotei o *ILO Global Index* (Gmyrek *et al.*, 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificaç	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-007	Introdução	8	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	ercado formal, onde o CAGED tem cobertura plena. Na etapa empírica, segui a abordagem de [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), com um desenho de diferenças em diferenças aplicado ao CAGED, usando o lançamento do ChatGPT como event	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	Autor, Levy e Murnane (2003)	narrative	autor_skill_2003	OK	VÁLIDO	https://academic.oup.com/qje/article/118/4/1279/1925105	SIM	OK		pdfs/autor_skill_2003.pdf	do trabalho: a abordagem baseada em tarefas. Seu ponto de partida é o trabalho seminal de [Autor, Levy e Murnane (2003)](https://academic.oup.com/qje/article/118/4/1279/1925105), segundo o qual um emprego é, na prática, um conjunto de tarefas. Essa abordagem muda nossa perspectiva	No correction identified in this step.
CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	(Agarwal *et al.*, 2023)	parenthetical	agarwal_combining_2023	OK	AUSENTE		SIM	CORRIGIR		pdfs/agarwal_combining_2023.pdf	eitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal *et al.*, 2023). Mas o diagnóstico é apenas uma das muitas tarefas da profissão, que também envolve coordenação de equip	Apply bold only to the main title, not the subtitle; include NBER Working Paper no. 31422. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-010	2.3 Índices de exposição à IA na literatura	3	(Eloundou *et al.*, 2023)	parenthetical	eloundou_gpts_2023	OK	AUSENTE		SIM	CORRIGIR		pdfs/eloundou_gpts_2023.pdf	ia, como mede a exposição e o quanto se adapta ao contexto brasileiro. O **GPT Exposure** (Eloundou *et al.*, 2023), desenvolvido por OpenAI e Universidade da Pensilvânia, é o trabalho de referência do campo. Estruturado	Apply bold only to “GPTs are GPTs”; leave the subtitle without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
