qc_sequence	row_id	claim_id	occurrence_id	citation_key	claim_type	source_type	source_path	claim_row_sha256	bibliography_entry_sha256	source_sha256	primary_prompt_sha256	primary_result_sha256	selection_reasons	qc_status	qc_prompt_path	qc_prompt_sha256	qc_result_sha256	comparison_status
1	ROW-0001	CLM-001	CIT-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	aa95395038dca59b91ad089e669004f1dea84ed2136dd97ed58097bb45875c3f	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	9f5167414614992cf823f71142bb3ef8dedb3cd11d44d412776e6c885fe22333	311a0385db5abdfa2c3cb234c90619c952ddeb4825f34bf11fa0deaedd337d61	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0001.md	3c903c0bbc24ef5e16d358fc92f28c3f1612673af82c1a1df8a6cf5a9740287f	b87222d53892083b50a69130ac333d2d810cb48283750130131ac6093a4c1d9f	NEEDS_ADJUDICATION
2	ROW-0002	CLM-002	CIT-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	8264f3b03ac66f1b66d0cfcbee4e4706e60a5e029c63726c8104f199250d46f0	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	a38cfe6d0c69d599aa361c63448baecb0b93b24504f65066caea49a4ba7b2113	eaa172b7ff1482df299338d7ce48bc826ec14414db6659de1eaade43e3078510	SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0002.md	dfce9129079a1ea046a3058a18c34bff3eb724a87c14e75c3e2d50fa820072c6	a85dc8357e4a0a9eae3ca0d86fbacf802cfdbab78edd72122ec06423d7450d08	NEEDS_ADJUDICATION
3	ROW-0003	CLM-003	CIT-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	e72470454ca078a5b2fa5e2e8e7d10a30f16dbcb0c40b9cce3c48a3777502517	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	b5c0d249709674787b7617fba4c4ed4c71f781f627ef2c52d9a21869fab15e3d	22b5775f9a5b9628bddd805c54a73048555925ad90b59292a7737d99b2522fb5	SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0003.md	27a31cdfd733f65f750d3a254a301d8c9719f1bea529c09f25aef89051f7aa02	8b07430b3d29716fd4e572b8b706b8eda7d14ccd10ba35da45437a27b9906620	NEEDS_ADJUDICATION
4	ROW-0004	CLM-004	CIT-001	bick_rapid_2024	AUTHOR_INFERENCE	PDF	references/pdfs/bick_rapid_2024.pdf	296450c07356b1021c3c9527571eda33239bbea4d0b79ee57545bbc0772b883b	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	2965f31d21b7aef012583c1e9f10ee0b3827de5e8e4fbe98177a8c2305d2c98a	80e53737343b1e9797cdd03ef610f176dcacc8e798037b5fc9bf950c5c08d310	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0004.md	56f46d232a80ceead9f717b2ee3d37570c6e252c3e0fddba46de6932d6cb1bf9	b34b66c1d328366968e8adc8c8d2935aeabfd62fdeb6a6d93235359b741a3da4	NEEDS_ADJUDICATION
5	ROW-0005	CLM-005	CIT-002	eloundou_gpts_2023	DIRECT	PDF	references/pdfs/eloundou_gpts_2023.pdf	337ed5751330ecdeceb8da082be7d89b273682d200ca835330001f9e3f86eee7	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	1863828fe5381229f4f1aa163646a6367566532299704096ec361206f5d44ae1	2ed6e4ff16295e8dc6263eb9e7147a7bc8d79645f47b6170bde4e8badebab8f6	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0005.md	c277ba348954e894f16f8ae9f1f9abfda69007e699ef407d6e68e5e999adcd82	6d6c5efd055704d3377b331c033f2a90e758abfeb7c5d71732b148441ed1ed92	AGREES
6	ROW-0007	CLM-007	CIT-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	91121de416b84f56c57332645658e31db95eae42b082180143cf8d73850acb2f	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	0bd47335eed2bda5b29639b0d7b1e4ce555f992337059017128328aa760e5af4	14eaab51394ae0d097c4902a0d0e323c2fe85431af70c1af289d1e47f3ef6a0f	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0007.md	8a69faf1abf3ff6b15a29346068b742051dada5a2c1d1370608bb784a8b23215	3bd69787c9d24178d69d5fbb95b47bb8ea391a0ed9f7272c420ae547e4d5832c	NEEDS_ADJUDICATION
7	ROW-0008	CLM-007	CIT-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	862df097489e7b3c57c89eea94a496011efda8ffb03484e663aba2192e25f186	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	57382fce167d1dc9eb01d060e4142618dfaa3456f386c117952743145406dc3a	e90486d182561ff45b548b66fdff3551586e08fcd34a71b9eeed747dde263c56	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0008.md	9211fa0893db4cd6c755245a6607130c5e2f77ac8a92baf1d4e403f49fd36e51	4e22a51c4ccbbfc1c6e6aa9cfdd95de5f4b3298f951e2e2971eee4ff6072833b	NEEDS_ADJUDICATION
8	ROW-0009	CLM-007	CIT-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	b2b9b3d1b55fcb752f53b229b8e483b8db9ef281648dfde6c4ddf8e46ad12b56	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	6a97cb1f419928b72f34b6f629a1555208cb515a00ac6afc6d0b501842e55966	247679f0f96c9989d0e6e6444d9cfa05c8d49874daceb8e51ff1f2c249e4bf40	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0009.md	ebf658caae9b7a821f5020405fe1018811e48ba994ccb2269016ad7059076f0d	137038af3cf3d063ebb48f9954f4f7d57fbc2871ac59abd98def6168e32dcb3b	NEEDS_ADJUDICATION
9	ROW-0010	CLM-008	CIT-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	23c32d65bbb849f629b172b8754544407cf222e873c401e87808739e2c8a0755	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	6cadf8bc9e7cbf503039228069c89cca4e0001f8ef569936c3ff2b35dd087119	f24f63c250a74b67c55ab41767dc91dccfca60ea26b2d1fe0396c4889ccddd8d	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0010.md	f59902478ffdd0e7e4eeaf7513d3ae87299bf4b5161813685c817d501773216f	b96eb092357c724a44818afa3d1602bcbb71ff265fb59ed10883c97f283707aa	NEEDS_ADJUDICATION
10	ROW-0011	CLM-008	CIT-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	cd86fca06a35fd6b21d8da8a0ef1e65df382bdfedb5d51729c52fecddd4ae59a	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	e4fc0065d4ebbba48946eec2e30b0a92fbc665b8a59e9f3aba840d0bbde148bc	95131260d4fc9efcc6eb3b0e79491668c7a31f79f85c6459ffc86ef8741878fa	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0011.md	951a04685d01bfd186a969b26c511b934fec0588bf12527eb0da77e3ee9b5daa	75efd398c6ad17a962debf45fad2eaeae263a8ed07ea9c865dafbc3204212f10	NEEDS_ADJUDICATION
