row_id	claim_id	occurrence_id	citation_key	prior_row_id	prior_claim_id	prior_occurrence_id	reconciliation_status	matching_basis	current_source_sha256	prior_source_sha256	claim_text_sha256
ROW-CUR-0001	CLM-CUR-001	CIT-CUR-001	bick_rapid_2024	ROW-0001	CLM-001	CIT-001	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	314cb3bf54fc451d5acf77d679e770ef9c7768971f50b19e0e16ef843ee8cb4f
ROW-CUR-0002	CLM-CUR-002	CIT-CUR-001	bick_rapid_2024	ROW-0002	CLM-002	CIT-001	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	ec4ff2cc270b94b208f44f4f7b78183a19c8e4ef65d674338e23abefd8ada3cc
ROW-CUR-0003	CLM-CUR-003	CIT-CUR-001	bick_rapid_2024	ROW-0003	CLM-003	CIT-001	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	967c28d17ec456335746fa4a4f37f86f1fe21bb51253a2d12c60f322adae20bb
ROW-CUR-0004	CLM-CUR-004	CIT-CUR-001	bick_rapid_2024	ROW-0004	CLM-004	CIT-001	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	a58ca30d03ae69a2c16769e948dfbd67ab391571da6eb5f26cc209b32868506c
ROW-CUR-0005	CLM-CUR-005	CIT-CUR-002	eloundou_gpts_2023	ROW-0005	CLM-005	CIT-002	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	90664d7cdacb21f95bef092ea967569629dd3b65f2b393706571f910c64054cb
ROW-CUR-0006	CLM-CUR-006	CIT-CUR-002	eloundou_gpts_2023	ROW-0006	CLM-006	CIT-002	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	f668bb4a8ee2b0fa1f0335579742e2e2511d37d9eb67808c0c86448f1a3b4458
ROW-CUR-0007	CLM-CUR-007	CIT-CUR-003	brynjolfsson_canaries_2025				AUDITED_NEW	NONE	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		bd50653b7ede6190c193195a8050cacee43cba823134d2b82605cc101091b5e2
ROW-CUR-0008	CLM-CUR-007	CIT-CUR-004	hosseini_maasoum_generative_2025				AUDITED_NEW	NONE	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7		2a0b1239008afef7fd5063364eaec339699db2c8621c68a4f5c8004c96be8f5b
ROW-CUR-0009	CLM-CUR-007	CIT-CUR-005	klein_teeselink_generative_2025				AUDITED_NEW	NONE	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09		dd723ef91f7448bbc24acb2e2426b196657d4213149b8bf9122b9d93b7130e9c
ROW-CUR-0010	CLM-CUR-008	CIT-CUR-003	brynjolfsson_canaries_2025				AUDITED_NEW	NONE	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		1ef9eaf54cfb183c81e2ba4b9a142d2916a80c824e1c8321f271dbfd9cdf6b39
