qc_sequence	row_id	claim_id	occurrence_id	citation_key	claim_type	source_type	source_path	claim_row_sha256	bibliography_entry_sha256	source_sha256	primary_prompt_sha256	primary_result_sha256	selection_reasons	qc_status	qc_prompt_path	qc_prompt_sha256	qc_result_sha256	comparison_status
1	ROW-CUR-0001	CLM-CUR-001	CIT-CUR-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	314cb3bf54fc451d5acf77d679e770ef9c7768971f50b19e0e16ef843ee8cb4f	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	06fce577ed634e894ae435ef921af881e9766ef63eadc8e8e7f84f8f6b88bc6a	2d5aca723c56a45848476bb25156b53704537332845a34df3b5606d46f71e278	CURRENT_NEW_OR_CHANGED;PRIOR_QC_DISAGREEMENT	COMPLETED	quality_control/prompts/ROW-CUR-0001.md	9e1cfdd423a96bb07553fc713c95fd9a47a959449055b81affb4fe998b0d053c	1e75e81ab3f758ff443881a79e0ce981e293aa65bff57d064dde93263bbec7b3	AGREES
2	ROW-CUR-0002	CLM-CUR-002	CIT-CUR-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	ec4ff2cc270b94b208f44f4f7b78183a19c8e4ef65d674338e23abefd8ada3cc	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	60514cdb6ad1a348a40e3f68502275b0f90e607fe9199da6492a3850d992c036	92a0aef681481be3a7ece9e4891f73bab2985e57d78380638ac909596cc5aeef	CURRENT_NEW_OR_CHANGED;PRIOR_QC_DISAGREEMENT	COMPLETED	quality_control/prompts/ROW-CUR-0002.md	a7921acdef3c2ef8d09afb3b345bdf9bbc4968089915cf796a33192a3cff3c26	7e4a1a1ee6935c309604a7378ece8298499c9955b97b9682b53bab89821551d4	NEEDS_ADJUDICATION
3	ROW-CUR-0003	CLM-CUR-003	CIT-CUR-001	bick_rapid_2024	DIRECT	PDF	references/pdfs/bick_rapid_2024.pdf	967c28d17ec456335746fa4a4f37f86f1fe21bb51253a2d12c60f322adae20bb	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	735085e6d9755ee5d9c142e6747161f53768b170f742d9a010669cf6f09771b1	5118d5df0801d0ab447f5f2cf6abf5999fe9b4faf0aa5b8509a27217e319390f	CURRENT_NEW_OR_CHANGED;PRIOR_QC_DISAGREEMENT	COMPLETED	quality_control/prompts/ROW-CUR-0003.md	7ff338cdda05c3b2d46b1ecd715a0de7c32038450f59335bb827ca4948e6791d	5135e02b621382b2c7c612b3c0ec9ae19578c15eb4e8b79271e02beff27113ec	AGREES
4	ROW-CUR-0004	CLM-CUR-004	CIT-CUR-001	bick_rapid_2024	AUTHOR_INFERENCE	PDF	references/pdfs/bick_rapid_2024.pdf	a58ca30d03ae69a2c16769e948dfbd67ab391571da6eb5f26cc209b32868506c	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	dc3064a1e1a49ec8e0a6163172abe66f0c4413911ae4bdca21b9822f34aee03e	e34ca0d9e8b3f67a3efd5efedb06783a96eaceae9685269309a5949ddba31766	CURRENT_NEW_OR_CHANGED;PRIOR_QC_DISAGREEMENT	COMPLETED	quality_control/prompts/ROW-CUR-0004.md	f4cf8e589e62f86d2878d24d821056edc28d79a03f5788f7992e7af88c2e4b11	511b0af4ef08279c3e5ada81550a94516df1232f74586e2e38bd7a1106bb1539	AGREES
5	ROW-CUR-0005	CLM-CUR-005	CIT-CUR-002	eloundou_gpts_2023	DIRECT	PDF	references/pdfs/eloundou_gpts_2023.pdf	90664d7cdacb21f95bef092ea967569629dd3b65f2b393706571f910c64054cb	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	dbb26c604a30eb8b69f0b19b044d09c7eb21d47dda4bdbed87198cbe27b5225e	b930fb234e920fab463c5ec8b450032129da3201ff6e95f354c98bad2a1bf329	CURRENT_NEW_OR_CHANGED;NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-CUR-0005.md	8031d3c5fd92155be8f220593bc60d568aafff4a8555e94d13d8aa08f6abfe58	72cab75b707b108ba7f62a98b3a2e05818c103e7e3bbb362ce014cd40e95fefa	AGREES
6	ROW-CUR-0006	CLM-CUR-006	CIT-CUR-002	eloundou_gpts_2023	DIRECT	PDF	references/pdfs/eloundou_gpts_2023.pdf	f668bb4a8ee2b0fa1f0335579742e2e2511d37d9eb67808c0c86448f1a3b4458	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	3096a5b446abf7a438436f115ca8d593c68082a75d3ce42a490507071e0a6ce8	67868e85953d7f0b93cf14da91386e56042723d8f8776ce325c2dca237816441	CURRENT_NEW_OR_CHANGED	COMPLETED	quality_control/prompts/ROW-CUR-0006.md	02838ecdb307bf8564dc7df170b2220235482840100e6ec137a00531e84748fb	dad8631b49170b2c23bef8daa0ab02fda19f25023fae1495f0b8a55180b073e3	AGREES
7	ROW-CUR-0007	CLM-CUR-007	CIT-CUR-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	bd50653b7ede6190c193195a8050cacee43cba823134d2b82605cc101091b5e2	59bd1b60a5853e3dd8fb7dd6c946a2fc42f158798f1feaf8d13f72266bb7c7c2	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	885e10e94edbe517ffad7938ed2d3a399584394a2332e0eed598f4237e9fee80	aacf6146aa75dedbdb33e5b65d690ab1af90253b0b4337327f0c1c3d94af74d3	CURRENT_NEW_OR_CHANGED;NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-CUR-0007.md	1a3780ab7fe14a281b689052bba91a94c25523392b28b132bd4d1bb599770cf1	aad47777e61b7c6dfb051bc116626f480ba124b62db0d0f1951650126522cf38	NEEDS_ADJUDICATION
8	ROW-CUR-0008	CLM-CUR-007	CIT-CUR-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	2a0b1239008afef7fd5063364eaec339699db2c8621c68a4f5c8004c96be8f5b	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	d6dd69ea1d0850f086602405b25d58a450f284ae5412ef4cfc1f176c615db113	43569fbbffd5601b09f781cfb7dcc97fd89b99d7e27058d828fe80e6a8749997	CURRENT_NEW_OR_CHANGED	COMPLETED	quality_control/prompts/ROW-CUR-0008.md	700111ebe090cd34ccf81f3d8a910b5e8788ab389f5edbe94c7a28412044d2ad	e8f9fcadeafee96bd37c9c7325a39e0c9883e6516f4580a51db2fc48434b4bc0	AGREES
9	ROW-CUR-0009	CLM-CUR-007	CIT-CUR-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	dd723ef91f7448bbc24acb2e2426b196657d4213149b8bf9122b9d93b7130e9c	c8dc95135c86541604076c3cc742a055e10d0c192d95a90d20fce638125a0c8a	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	17aed94fe1b6a2081d66087445163bb6776dc1b81a34d5027e2f948bc0a9a9ba	5064e994a9f93b76cf6e25fde9b07994f558c18b9bc872a4070c2e7276d7d96f	CURRENT_NEW_OR_CHANGED	COMPLETED	quality_control/prompts/ROW-CUR-0009.md	2af215b12061ece45384040e2842cb018f9768170736e09f6f96d1bbc4c77968	67762597ee469417f471fd8cf3780ca186aeaa83d8a49c0e3221d8628b27a9eb	AGREES
10	ROW-CUR-0010	CLM-CUR-008	CIT-CUR-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	1ef9eaf54cfb183c81e2ba4b9a142d2916a80c824e1c8321f271dbfd9cdf6b39	59bd1b60a5853e3dd8fb7dd6c946a2fc42f158798f1feaf8d13f72266bb7c7c2	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	a791e5cc903e2ff5e61215b1abebf6309a577c917c48fcd2538b1f25a374aec3	6bc79bcc4d5d5c5a74e07d1b9a6a67413a325184db76ecee022699381b2c2401	CURRENT_NEW_OR_CHANGED	COMPLETED	quality_control/prompts/ROW-CUR-0010.md	72af5962b542529e93365602bb22068e9d312db9d2df94db549b7439ed8d6764	9fd9a3a4307924e12e2caefce4fb2d3307c23cfcb4735280d07d14f4c5d5e021	AGREES
