56    ILO Working Paper 140




     Exposure      4-digit code   Occupation Name                                                Mean   SD

                                  Physical and Engineering Science Technicians Not Elsewhere
     Not Exposed   3119           Classified                                                     0.26   0.05

     Not Exposed   3142           Agricultural Technicians                                       0.26   0.09

     Not Exposed   5132           Bartenders                                                     0.26   0.12

     Not Exposed   8121           Metal Processing Plant Operators                               0.26   0.1

     Not Exposed   2221           Nursing Professionals                                          0.25   0.13

     Not Exposed   3423           Fitness and Recreation Instructors and Programme Leaders       0.25   0.07

     Not Exposed   3434           Chefs                                                          0.25   0.06

     Not Exposed   5241           Fashion and Other Models                                       0.25   0.06

     Not Exposed   7322           Printers                                                       0.25   0.11

     Not Exposed   7421           Electronics Mechanics and Servicers                            0.25   0.13

     Not Exposed   2266           Audiologists and Speech Therapists                             0.24   0.04

     Not Exposed   2267           Optometrists and Ophthalmic Opticians                          0.24   0.07

     Not Exposed   3254           Dispensing Opticians                                           0.24   0.07

                                  Environmental and Occupational Health Inspectors and
     Not Exposed   3257           Associates                                                     0.24   0.04

     Not Exposed   5246           Food Service Counter Attendants                                0.24   0.13

     Not Exposed   5312           Teachers' Aides                                                0.24   0.14

                                  Information and Communications Technology Installers and
     Not Exposed   7422           Servicers                                                      0.24   0.14

     Not Exposed   8131           Chemical Products Plant and Machine Operators                  0.24   0.07

     Not Exposed   1113           Traditional Chiefs and Heads of Villages                       0.23   0.1

     Not Exposed   2240           Paramedical Practitioners                                      0.23   0.13

     Not Exposed   3151           Ships' Engineers                                               0.23   0.05

     Not Exposed   3355           Police Inspectors and Detectives                               0.23   0.07

     Not Exposed   3421           Athletes and Sports Players                                    0.23   0.11

     Not Exposed   8114           Cement, Stone and Other Mineral Products Machine Operators     0.23   0.11

     Not Exposed   1312           Aquaculture and Fisheries Production Managers                  0.22   0.08

     Not Exposed   3211           Medical Imaging and Therapeutic Equipment Technicians          0.22   0.03

     Not Exposed   3253           Community Health Workers                                       0.22   0.08

     Not Exposed   3258           Ambulance Workers                                              0.22   0.17

     Not Exposed   5111           Travel Attendants and Travel Stewards                          0.22   0.1

                                  Cleaning and Housekeeping Supervisors in Offices, Hotels and
     Not Exposed   5151           Other Establishments                                           0.22   0.1

     Not Exposed   5162           Companions and Valets                                          0.22   0.05

     Not Exposed   5212           Street Food Salespersons                                       0.22   0.11

     Not Exposed   6123           Apiarists and Sericulturists                                   0.22   0.11

     Not Exposed   6221           Aquaculture Workers                                            0.22   0.15

     Not Exposed   7323           Print Finishing and Binding Workers                            0.22   0.09

     Not Exposed   7513           Dairy Products Makers                                          0.22   0.17

