current_row_id	current_claim_id	current_occurrence_id	citation_key	prior_row_id	prior_claim_id	prior_occurrence_id	reconciliation_status	matching_basis	current_source_sha256	prior_source_sha256	claim_text_sha256	source_excerpt_sha256
ROW-REV-0001	CLM-REV-001	CIT-REV-001	bick_rapid_2024	ROW-CUR-0001	CLM-CUR-001	CIT-CUR-001	REAUDIT_REQUIRED_TEXT_CHANGED	EXACT_KEY_TYPE_CLAIM_SOURCE_HASH_EXCERPT_CHANGED	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	2b3e25ce35bfa78910611dbf57da38d831d1a2c6789635bf862fa0cb41f7b070	204e5d29d3d0c73a5f07d8ac56147398da511f61ddfc9826a812910e17542298
ROW-REV-0002	CLM-REV-002	CIT-REV-001	bick_rapid_2024	ROW-CUR-0002	CLM-CUR-002	CIT-CUR-001	REAUDIT_REQUIRED_TEXT_CHANGED	EXACT_KEY_TYPE_CLAIM_SOURCE_HASH_EXCERPT_CHANGED	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	43cd5144c82cf1aa86721ac0227c35c850bde524625057d9c615c7179e49de94	204e5d29d3d0c73a5f07d8ac56147398da511f61ddfc9826a812910e17542298
ROW-REV-0003	CLM-REV-003	CIT-REV-001	bick_rapid_2024	ROW-CUR-0003	CLM-CUR-003	CIT-CUR-001	REAUDIT_REQUIRED_TEXT_CHANGED	EXACT_KEY_TYPE_CLAIM_SOURCE_HASH_EXCERPT_CHANGED	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	a65de3f7b0524780026616397ebd8104b8f17fd721eefbcf253770703f79070a	204e5d29d3d0c73a5f07d8ac56147398da511f61ddfc9826a812910e17542298
ROW-REV-0004	CLM-REV-004	CIT-REV-001	bick_rapid_2024	ROW-CUR-0004	CLM-CUR-004	CIT-CUR-001	REAUDIT_REQUIRED_TEXT_CHANGED	EXACT_KEY_TYPE_CLAIM_SOURCE_HASH_EXCERPT_CHANGED	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	8476e74a0a478bb23f0defefd2dc26f855f56aa2b5c76fc6ca0d9cfb7c210f3b	204e5d29d3d0c73a5f07d8ac56147398da511f61ddfc9826a812910e17542298
ROW-REV-0005	CLM-REV-005	CIT-REV-002	eloundou_gpts_2023				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632		d5a72de0a15e191fc2b8af742038d7c9f2d1a67b337fab27548f9850c2adeb58	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0006	CLM-REV-006	CIT-REV-002	eloundou_gpts_2023				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632		c895925e7ce015f0c852c620eb97e01943b179706ce59f6b61e56272d0ca3909	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0007	CLM-REV-007	CIT-REV-003	brynjolfsson_canaries_2025				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		af6411d62a4d96e629fe55e2089458264512f6aac19596c7d1f4b0ed55604d0d	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0008	CLM-REV-008	CIT-REV-003	brynjolfsson_canaries_2025				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		a345fd016cccd5b0fb8ae6e6bb46a488312ddcfe539160b33760c040a3f9b852	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0009	CLM-REV-009	CIT-REV-003	brynjolfsson_canaries_2025				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		a5dfd653000cff31dcb170cdac4585f2714bb64e0addc2f7d2ad3105a3a09a93	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0010	CLM-REV-010	CIT-REV-003	brynjolfsson_canaries_2025				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		ac26069991aa372d30c2900ae03aef0fbcc6af8e1b8870a175a9774b3331fbc8	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
ROW-REV-0011	CLM-REV-011	CIT-REV-003	brynjolfsson_canaries_2025				AUDITED_NEW_OR_REWRITTEN	NO_EXACT_PRIOR_CLAIM_MATCH	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		1dcdd857acbfa0d07f3f25e13dd31dfb9c195d80b695767ccee2822aed3ed753	69bc8153d01dc6e490aa629717411fa6e7f9bde9ac316688c037b30a1a62cc57
