citation_key	bib_title	bib_date	doi	source_type	source_path	source_sha256	source_bytes	physical_pages	source_version	source_url	source_alignment_status	notion_reference_status	gate_status	notes
agarwal_combining_2023	Combining human expertise with artificial intelligence: Experimental evidence from radiology	2023-07	10.3386/w31422	PDF	references/pdfs/agarwal_combining_2023.pdf	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	6009920	116	Canonical PDF recorded in pdf_manifest.tsv	https://www.nber.org/papers/w31422	ALIGNED	ALIGNED	PASS	
appel_anthropic_2026	Anthropic Economic Index report: Economic primitives	2026-01-15		PDF	references/pdfs/appel_anthropic_2026.pdf	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	7263335	55	Canonical PDF recorded in pdf_manifest.tsv	https://www.anthropic.com/research/anthropic-economic-index-january-2026-report	ALIGNED	ALIGNED	PASS	
autor_skill_2003	The skill content of recent technological change: An empirical exploration	2003-11	10.1162/003355303322552801	PDF	references/pdfs/autor_skill_2003.pdf	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	483966	56	Canonical PDF recorded in pdf_manifest.tsv	https://academic.oup.com/qje/article/118/4/1279/1925105	ALIGNED	ALIGNED	PASS	
benitez_mirror_2024	Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?: A New Index of Occupational Exposure	2024-08-27	10.18235/0013125	PDF	references/pdfs/benitez_mirror_2024.pdf	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	806636	37	Canonical PDF recorded in pdf_manifest.tsv	https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure	ALIGNED	ALIGNED	PASS	
benjamini_controlling_1995	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	1995	10.1111/j.2517-6161.1995.tb02031.x	PDF	references/pdfs/benjamini_controlling_1995.pdf	9869393631f0bd2ced0932ee405d26e241f6d0fd672bf1efecb72be287ff45da	837548	13	Canonical PDF recorded in pdf_manifest.tsv	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	ALIGNED	ALIGNED	PASS	
bick_rapid_2024	The rapid adoption of generative AI	2025-10-27	10.20955/wp.2024.027	PDF	references/pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	6643846	53	Working Paper 2024-027F, revised 2025-10-27	https://doi.org/10.20955/wp.2024.027	ALIGNED	ALIGNED	PASS	
brasil_decreto_12342_2024	Decreto nº 12.342, de 30 de dezembro de 2024	2024-12-30		LEGAL_HTML	references/claim_audit/runs/codex_sol_max/20260808T152451Z_postedit_blind/source_build/brasil_decreto_12342_2024/official_snapshot.html	fbca3b79c71a174e6f2ad1c66bd2b2fa03a966a4737917191f5450e443cd52e4	15057	N/A	Canonical PDF recorded in pdf_manifest.tsv	https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12342.htm	ALIGNED	ALIGNED	PASS	
brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	2025-11-13		PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	2292240	65	Stanford working paper, revised 2025-11-13	https://digitaleconomy.stanford.edu/publications/canaries-in-the-coal-mine/	ALIGNED	ALIGNED	PASS	
callaway_difference_2021	Difference-in-Differences with Multiple Time Periods	2021	10.1016/j.jeconom.2020.12.001	PDF	references/pdfs/callaway_difference_2021.pdf	4fdd1e24abbe6aad85f7c3120c178ba378ff1c1ae7f12bc7c90b75473d903feb	751407	45	Official author manuscript dated 2020-12-01	https://psantanna.com/files/Callaway_SantAnna_2020.pdf	ALIGNED_OFFICIAL_MANUSCRIPT_FALLBACK	AUDIT_SOURCE_NOTE_ONLY_IN_BIB	PASS_WITH_DECLARED_MANUSCRIPT	Use manuscript page labels only. Do not combine them with the journal page range. The audit-source note is present in library.bib but not in the current Notion reference entry.
de_chaisemartin_two-way_2020	Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects	2020	10.1257/aer.20181169	PDF	references/pdfs/de_chaisemartin_two-way_2020.pdf	ddc65e7599d8364181fd84d388ec543d57bfa51c2e66d50777af7ebac2aba3c4	987638	71	Official arXiv manuscript v7 dated 2020-03-05	https://arxiv.org/pdf/1803.08807	ALIGNED_OFFICIAL_MANUSCRIPT_FALLBACK	AUDIT_SOURCE_NOTE_ONLY_IN_BIB	PASS_WITH_DECLARED_MANUSCRIPT	Use manuscript page labels only. Do not combine them with the journal page range. The audit-source note is present in library.bib but not in the current Notion reference entry.
chandar_tracking_2025	Tracking employment changes in AI-exposed jobs	2025-08-01	10.2139/ssrn.5384519	PDF	references/pdfs/chandar_tracking_2025.pdf	43b8b1867d44fec8e557eea0001f73db5394ab2a05cef2bafbf2d74d3c9c9eba	878600	23	SSRN manuscript, revised 2025-08-01	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5384519	ALIGNED	ALIGNED	PASS	
chen_logs_2024	Logs with Zeros? Some Problems and Solutions	2024	10.1093/qje/qjad054	PDF	references/pdfs/chen_logs_2024.pdf	7b0fd0da42bcf424158222c2cddc0fadf24634d907b7ce0865004f918e5ddd57	742009	60	Official arXiv manuscript v7 dated 2023-11-15	https://arxiv.org/pdf/2212.06080	ALIGNED_OFFICIAL_MANUSCRIPT_FALLBACK	AUDIT_SOURCE_NOTE_ONLY_IN_BIB	PASS_WITH_DECLARED_MANUSCRIPT	Use manuscript page labels only. Do not combine them with the journal page range. The audit-source note is present in library.bib but not in the current Notion reference entry.
eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	2023-08-21	10.48550/arXiv.2303.10130	PDF	references/pdfs/eloundou_gpts_2023.pdf	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	2119311	36	Canonical PDF recorded in pdf_manifest.tsv	http://arxiv.org/abs/2303.10130	ALIGNED	ALIGNED	PASS	
gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	2025-05-20	10.54394/HETP0387	PDF	references/pdfs/gmyrek_generative_2025.pdf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	4211233	76	Canonical PDF recorded in pdf_manifest.tsv	https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure	ALIGNED	ALIGNED	PASS	
