citation_key	date	title	doi	pdf_path	sha256	bytes
acemoglu_automation_2019	2019-05-01	Automation and New Tasks: How Technology Displaces and Reinstates Labor	10.1257/jep.33.2.3	pdfs/acemoglu_automation_2019.pdf	03f51ea85f7f91b7132b414f3baa97401987522ebe2391ab553e961256d3dcdf	962896
acemoglu_culture_2025	2025-06-01	Culture, Institutions, and Social Equilibria: A Framework	10.1257/jel.20241680	pdfs/acemoglu_culture_2025.pdf	c576c523e26a43e98ee6a71c8e71ba227ef9b14c28acc89adf0ea97c9a93409d	7877
acemoglu_learning_2024	2024-08-22	Learning From Ricardo and Thompson: Machinery and Labor in the Early Industrial Revolution and in the Age of Artificial Intelligence	10.1146/annurev-economics-091823-025129	pdfs/acemoglu_learning_2024.pdf	83d8406858477002e9743306a91bd5e6f08f616d02e7b663fb5484749c01b8fb	7147
acemoglu_race_2018	2018-06-01	The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment	10.1257/aer.20160696	pdfs/acemoglu_race_2018.pdf	5c21dde28e04a55cdb12a1cfcbbc3b6199e624205274707a24b9ca7848d456fa	1124399
acemoglu_robots_2020	2020-06	Robots and jobs: Evidence from US labor markets	10.1086/705716	pdfs/acemoglu_robots_2020.pdf	760f34d3d93ba960e0ccf2511dab20d01099c53713dac45e6f7a0d61d24370e4	1303138
acemoglu_skills_2011	2011	Skills, Tasks and Technologies: Implications for Employment and Earnings	10.1016/S0169-7218(11)02410-5	pdfs/acemoglu_skills_2011.pdf	5d860e4e0eb2c0dfc2dab588243683384be86f6d9cb8d6bcc26b81e70680772f	4640928
adamczyk_skills_2024	2024-06	Skills and employment transitions in Brazil	10.1111/ilr.12412	pdfs/adamczyk_skills_2024.pdf	caae13e13f1e95675bd037f3b23e442b4e06e0fb55f395a41ad44ad2d7c1596c	928617
agarwal_combining_2023	2023-07	Combining human expertise with artificial intelligence: Experimental evidence from radiology	10.3386/w31422	pdfs/agarwal_combining_2023.pdf	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	6009920
aldasoro_ai_2026	2026-01	AI adoption, productivity and employment: Evidence from European firms	10.2867/1772538	pdfs/aldasoro_ai_2026.pdf	fa7429942e4314dbe0756b5df338dc2656fc4bd6440dfe1ee1e5094af025fbdd	985239
appel_anthropic_2026	2026-01-15	Anthropic Economic Index report: Economic primitives		pdfs/appel_anthropic_2026.pdf	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	7263335
autor_applying_2024	2024-02	Applying AI to rebuild middle class jobs	10.3386/w32140	pdfs/autor_applying_2024.pdf	73f95792fb4e7d2044c5d1f9c5e2c7465850eb3a0646b9bc62439677b4fd3b26	248804
autor_does_2007	2007-06-01	Does Employment Protection Reduce Productivity? Evidence from US States	10.1111/j.1468-0297.2007.02055.x	pdfs/autor_does_2007.pdf	eb280035ae699b4bb4e6867ce19bbf44caaa1d53d436d42c2a354b08e808d345	198058
autor_places_2025	2025	Places versus people: The ins and outs of labor market adjustment to globalization	10.1016/bs.heslab.2025.07.004	pdfs/autor_places_2025.pdf	47f6eead5e6454d1a5a839148e8c2e9b86be1a57cb94d3c234f3adb15b691e43	8885
autor_polarization_2006	2006-05	The polarization of the U.S. labor market	10.1257/000282806777212620	pdfs/autor_polarization_2006.pdf	e8793bd9c410ff604e3a15fa7a7813e6e277f6f246dc7b2883d63f01ef968fe6	257506
autor_putting_2013	2013-04	Putting tasks to the test: Human capital, job tasks, and wages	10.1086/669332	pdfs/autor_putting_2013.pdf	fdf6ba6dadf9de5a651ee530f280366db3910b2f2e8b8d48c0575ba7929ff72d	22752119
autor_skill_2003	2003-11	The skill content of recent technological change: An empirical exploration	10.1162/003355303322552801	pdfs/autor_skill_2003.pdf	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	483966
autor_skills_2014	2014-05-23	Skills, education, and the rise of earnings inequality among the “other 99 percent”	10.1126/science.1251868	pdfs/autor_skills_2014.pdf	b72b7f031fa24a52888a86cbdaf458a74911018533a9228655509e8694a0d440	7696
autor_work_2019	2019-05-01	Work of the Past, Work of the Future	10.1257/pandp.20191110	pdfs/autor_work_2019.pdf	8268db738227da7b6650fb20e8724374b0df35ec91616895b340398df8697576	3822951
benitez_mirror_2024	2024-08-27	Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?: A New Index of Occupational Exposure	10.18235/0013125	pdfs/benitez_mirror_2024.pdf	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	806636
benjamini_controlling_1995	1995	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	10.1111/j.2517-6161.1995.tb02031.x	pdfs/benjamini_controlling_1995.pdf	9869393631f0bd2ced0932ee405d26e241f6d0fd672bf1efecb72be287ff45da	837548
bick_rapid_2024	2025-10-27	The rapid adoption of generative AI	10.20955/wp.2024.027	pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	6643846
brynjolfsson_canaries_2025	2025-11-13	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence		pdfs/brynjolfsson_canaries_2025.pdf	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	2292240
brynjolfsson_generative_2024	2024-11-06	Generative AI at Work	10.48550/arXiv.2304.11771	pdfs/brynjolfsson_generative_2024.pdf	146dcc7459824f0f1fe4a1f9ac7e8be06ee098b8b34e686a75131b77e42ce951	3374702
callaway_difference_2021	2021	Difference-in-Differences with Multiple Time Periods	10.1016/j.jeconom.2020.12.001	pdfs/callaway_difference_2021.pdf	4fdd1e24abbe6aad85f7c3120c178ba378ff1c1ae7f12bc7c90b75473d903feb	751407
